term,lag,grid_raw,effect,lo,hi,log_effect,log_se,ci_label
temp,0,-26.6666666666667,1.0228285,1.0007009611211806,1.0454453578592242,0.022571845,0.0,pointwise confidence interval
temp,0,-26.3666666666667,1.0229002,1.0009627884008292,1.045318342410579,0.022641899,0.0,pointwise confidence interval
temp,0,-26.0666666666667,1.0229698,1.0012227683442774,1.0451892579397988,0.02271,0.0,pointwise confidence interval
temp,0,-25.7666666666667,1.0230372,1.001480496061134,1.0450578954971061,0.022775844,0.0,pointwise confidence interval
temp,0,-25.4666666666667,1.0231019,1.001735579073857,1.0449239900660308,0.02283911,0.0,pointwise confidence interval
temp,0,-25.1666666666667,1.0231637,1.0019876436056423,1.044787221859861,0.02289946,0.0,pointwise confidence interval
temp,0,-24.8666666666667,1.0232221,1.0022363486402304,1.0446472212047768,0.022956546,0.0,pointwise confidence interval
temp,0,-24.5666666666667,1.0232768,1.0024813561534158,1.04450352961502,0.023009982,0.0,pointwise confidence interval
temp,0,-24.2666666666667,1.0233274,1.002722386776521,1.0443556586257812,0.023059394,0.0,pointwise confidence interval
temp,0,-23.9666666666667,1.0233734,1.0029591603106514,1.0442030273717153,0.023104366,0.0,pointwise confidence interval
temp,0,-23.6666666666667,1.0234144,1.0031914455029918,1.0440450197879179,0.023144487,0.0,pointwise confidence interval
temp,0,-23.3666666666667,1.0234501,1.0034190229525386,1.0438809533290987,0.023179322,0.0,pointwise confidence interval
temp,0,-23.0666666666667,1.0234798,1.0036416990784063,1.0437101151023596,0.023208434,0.0,pointwise confidence interval
temp,0,-22.7666666666667,1.0235033,1.0038593025650298,1.0435317578959495,0.023231378,0.0,pointwise confidence interval
temp,0,-22.4666666666667,1.0235201,1.0040716462833903,1.0433451204281283,0.023247696,0.0,pointwise confidence interval
temp,0,-22.1666666666667,1.0235295,1.0042785639534517,1.0431494592769566,0.02325695,0.0,pointwise confidence interval
