ensemble_member,epoch,objective
0,0,-409.45526123046875
0,1,-344.26068115234375
0,2,-409.9991455078125
0,3,-395.3616027832031
0,4,-421.8399658203125
0,5,-403.8692626953125
0,6,-413.29107666015625
0,7,-428.6104736328125
0,8,-414.7563171386719
0,9,-416.9568176269531
0,10,-428.1190490722656
0,11,-421.8768310546875
0,12,-417.8724670410156
0,13,-423.78594970703125
0,14,-428.9716796875
0,15,-424.0246887207031
0,16,-423.4019775390625
0,17,-429.5403747558594
0,18,-428.80499267578125
0,19,-425.837890625
0,20,-427.4405517578125
0,21,-430.6393127441406
0,22,-429.3180236816406
0,23,-427.2977600097656
0,24,-429.7556457519531
0,25,-430.48291015625
0,26,-428.6881408691406
0,27,-428.7449951171875
0,28,-430.51800537109375
0,29,-430.483154296875
0,30,-429.3611145019531
0,31,-430.3911437988281
0,32,-431.2018127441406
0,33,-430.3997497558594
0,34,-430.2976989746094
0,35,-431.16400146484375
0,36,-431.0611877441406
0,37,-430.4383544921875
0,38,-430.9435119628906
0,39,-431.2390441894531
0,40,-430.7857360839844
0,41,-430.87115478515625
0,42,-431.34375
0,43,-431.189208984375
0,44,-431.0296936035156
0,45,-431.39385986328125
0,46,-431.3951416015625
0,47,-431.1766662597656
0,48,-431.34527587890625
0,49,-431.4603576660156
0,50,-431.2694091796875
0,51,-431.3331298828125
0,52,-431.4776306152344
0,53,-431.3677062988281
0,54,-431.3772888183594
0,55,-431.5154113769531
0,56,-431.4610900878906
0,57,-431.43426513671875
0,58,-431.537353515625
0,59,-431.50323486328125
0,60,-431.4654235839844
0,61,-431.5368957519531
0,62,-431.5232849121094
0,63,-431.4898681640625
0,64,-431.5469970703125
0,65,-431.5424499511719
0,66,-431.5198669433594
0,67,-431.5628967285156
0,68,-431.5611877441406
0,69,-431.54339599609375
0,70,-431.5752868652344
0,71,-431.5705871582031
0,72,-431.558837890625
0,73,-431.5826110839844
0,74,-431.57720947265625
0,75,-431.5712585449219
0,76,-431.5899353027344
0,77,-431.583740234375
0,78,-431.583251953125
0,79,-431.5971374511719
0,80,-431.5910949707031
0,81,-431.5940856933594
0,82,-431.60308837890625
0,83,-431.5973205566406
0,84,-431.6021728515625
0,85,-431.6067199707031
0,86,-431.6025085449219
0,87,-431.60833740234375
0,88,-431.6099548339844
0,89,-431.60845947265625
0,90,-431.6141662597656
0,91,-431.614013671875
0,92,-431.6147766113281
0,93,-431.6188659667969
0,94,-431.6177673339844
0,95,-431.6198425292969
0,96,-431.62200927734375
0,97,-431.621337890625
0,98,-431.6242370605469
0,99,-431.62506103515625
0,100,-431.6257019042969
0,101,-431.62823486328125
0,102,-431.6284484863281
0,103,-431.6299133300781
0,104,-431.6314697265625
0,105,-431.6316833496094
0,106,-431.6335144042969
0,107,-431.63427734375
0,108,-431.6351623535156
0,109,-431.6367492675781
0,110,-431.6372985839844
0,111,-431.6386413574219
0,112,-431.63970947265625
0,113,-431.64044189453125
0,114,-431.6418151855469
0,115,-431.64251708984375
0,116,-431.6435241699219
0,117,-431.64459228515625
0,118,-431.6452941894531
0,119,-431.6464538574219
0,120,-431.6473083496094
0,121,-431.6482849121094
0,122,-431.64923095703125
0,123,-431.6500549316406
0,124,-431.65106201171875
0,125,-431.6518249511719
0,126,-431.6527099609375
0,127,-431.65362548828125
0,128,-431.6544494628906
0,129,-431.6553955078125
0,130,-431.6561279296875
0,131,-431.65704345703125
0,132,-431.6578369140625
0,133,-431.6586608886719
0,134,-431.6595458984375
0,135,-431.6602783203125
0,136,-431.6611633300781
0,137,-431.66192626953125
0,138,-431.6626892089844
0,139,-431.66351318359375
0,140,-431.66424560546875
0,141,-431.66510009765625
0,142,-431.66583251953125
0,143,-431.66656494140625
0,144,-431.6673889160156
0,145,-431.6680908203125
0,146,-431.6688232421875
0,147,-431.6695251464844
0,148,-431.6702880859375
0,149,-431.6710510253906
0,150,-431.6717529296875
0,151,-431.6724853515625
0,152,-431.6731872558594
0,153,-431.67388916015625
0,154,-431.6745910644531
0,155,-431.6752624511719
0,156,-431.67596435546875
0,157,-431.6766357421875
0,158,-431.6773376464844
0,159,-431.677978515625
0,160,-431.6785888671875
0,161,-431.6792297363281
0,162,-431.679931640625
0,163,-431.6805725097656
0,164,-431.6812438964844
0,165,-431.681884765625
0,166,-431.6824645996094
0,167,-431.68310546875
0,168,-431.6837463378906
0,169,-431.6843566894531
0,170,-431.6849670410156
0,171,-431.68560791015625
0,172,-431.6861877441406
0,173,-431.6867980957031
0,174,-431.6873474121094
0,175,-431.6879577636719
0,176,-431.6885070800781
0,177,-431.6891174316406
0,178,-431.6897277832031
0,179,-431.6902770996094
0,180,-431.6908264160156
0,181,-431.69140625
0,182,-431.6919250488281
0,183,-431.6925354003906
0,184,-431.6930236816406
0,185,-431.69354248046875
0,186,-431.6941223144531
0,187,-431.69464111328125
0,188,-431.6951599121094
0,189,-431.6956787109375
0,190,-431.6962585449219
0,191,-431.69671630859375
0,192,-431.6972351074219
0,193,-431.6977233886719
0,194,-431.6982116699219
0,195,-431.69879150390625
0,196,-431.6992492675781
0,197,-431.6997375488281
0,198,-431.7001953125
0,199,-431.70068359375
0,200,-431.70111083984375
0,201,-431.7016296386719
0,202,-431.70208740234375
0,203,-431.70257568359375
0,204,-431.7030029296875
0,205,-431.7034912109375
0,206,-431.70391845703125
