"value","fit","lo","hi"
0,1.63417589984199,1.46858361455311,1.81843978453825
0.2,1.62848260185658,1.47604013476655,1.7966690214484
0.4,1.62282354817979,1.48227817556723,1.77669503062004
0.6,1.61720842592502,1.4874268136282,1.75831379999353
0.8,1.61164678723442,1.4916170478918,1.74133526462044
1,1.60614805222084,1.49497756770241,1.72558546789268
1.2,1.60072151246589,1.49763052567224,1.71090887675446
1.4,1.59537633506065,1.49968762784981,1.69717053285342
1.6,1.5901215671765,1.50124680945916,1.68425776658987
1.8,1.58496614115389,1.50238968252992,1.67208128344839
2,1.57991888009798,1.50317985342305,1.66057552062437
2.2,1.57498850397083,1.50366214757481,1.64969823283848
2.4,1.57018363617074,1.50386277272225,1.63942927241654
2.6,1.56551281059052,1.50379051342232,1.62976846724844
2.8,1.5609844791475,1.50343916983122,1.62073238015539
3,1.55660701977916,1.50279158579851,1.61234960118457
3.2,1.55238874489987,1.501825647174,1.60465418860474
3.4,1.54833791031513,1.50052239384194,1.59767711188958
3.6,1.54446272459152,1.49887570761053,1.59143623153073
3.8,1.54077135888163,1.4969019671613,1.58592642165601
4,1.53727195720532,1.49464712975847,1.58111237318722
4.2,1.53397264718963,1.49218877921111,1.57692653577651
4.4,1.5308815512721,1.48963220274207,1.57327313393954
4.6,1.52800678799254,1.48710175422819,1.57003697797603
4.8,1.52534868765678,1.48471607670653,1.56709330183683
5,1.52288601663646,1.4825443772802,1.56432539572376
5.2,1.52059403076047,1.48062487341149,1.56164214711378
5.4,1.51844819254249,1.47897423186486,1.5589757169253
5.6,1.51642414600461,1.477591755352,1.55627708550527
5.8,1.51449769544963,1.47646295193129,1.55351224121266
6,1.51264478812509,1.47556233896535,1.55065915862719
6.2,1.51084150073078,1.47485552530683,1.54770552177004
6.4,1.50906402972818,1.47430068776047,1.54464707554246
6.6,1.50728868541539,1.4738495765064,1.54148647012309
6.8,1.50549188973465,1.47344818889812,1.5382324584835
7,1.5036501777812,1.47303726510828,1.53489929324717
7.2,1.50174020298254,1.47255279638637,1.5315061319284
7.4,1.49973874591553,1.4719268023836,1.52807619397783
7.6,1.4976227267258,1.47108871559267,1.52463533152862
7.8,1.49536922110934,1.46996775904342,1.52120962768349
8,1.49295547980986,1.46849661401645,1.51782172557963
8.2,1.49035895157797,1.46661631435951,1.51448595164345
8.4,1.48755730952892,1.46428163751106,1.51120296290419
8.6,1.48452848082518,1.46146555070926,1.50795535981782
8.8,1.48125067959797,1.45816108370833,1.50470589314419
9,1.47770244300874,1.45437975684021,1.50139913582
9.2,1.47386267033688,1.45014706887645,1.49796611504763
9.4,1.46971066496433,1.44549660373175,1.49433034511008
9.6,1.4652261791108,1.4404644070959,1.49041360923311
9.8,1.46038946115566,1.43508461251756,1.48614051021916
10,1.45518130536395,1.42938649079716,1.48144161506645
10.2,1.44958385174892,1.42339276603428,1.4762568655633
10.4,1.44359443466654,1.41712141144732,1.47056199628784
10.6,1.43722401754974,1.4105839815828,1.46436717245577
10.8,1.43048424208059,1.40378423764294,1.45769208113973
11,1.42338691671294,1.39672033659564,1.45056262272789
11.2,1.41594399321804,1.38938657597214,1.44300904197771
11.4,1.40816754367569,1.38177478140032,1.43506442421252
11.6,1.40006973795455,1.37387550156381,1.42676339224692
11.8,1.39166282172234,1.36567912147844,1.41814089335096
12,1.38295909502343,1.35717695577849,1.40923101469177
12.2,1.37397089145767,1.34836233522019,1.40006581410826
12.4,1.36471055799161,1.33923165203222,1.39067420058927
12.6,1.35519043542956,1.3297852890446,1.38108093946448
12.8,1.34542283956911,1.32002833421026,1.3713058805796
13,1.33542004306244,1.30997098641451,1.36136350339638
13.2,1.32519425800176,1.29962859346433,1.35126283791558
13.4,1.31475761924444,1.28902132029806,1.34100776313118
13.6,1.30412216849001,1.27817350636333,1.33059762378116
13.8,1.29329983911908,1.26711281581335,1.32002806142545
14,1.28230244180106,1.25586930059214,1.30929193943485
14.2,1.27114165087505,1.24447448480747,1.29838025312294
14.4,1.25982899150602,1.2329605487975,1.28728294622811
14.6,1.24837582761578,1.22135965574895,1.27598959048614
14.8,1.23679335058614,1.20970343263492,1.26448991611295
15,1.22509256872939,1.19802259550224,1.2527742027493
15.2,1.2132842975195,1.18634669716123,1.24083355239225
15.4,1.20137915057516,1.17470397098321,1.22866007018659
15.6,1.18938753138441,1.16312124490027,1.21624697856327
15.8,1.17732736979218,1.15162777499176,1.20360047383511
16,1.1652518313692,1.14026873216279,1.1907823061445
16.2,1.15322236824512,1.12909128417176,1.17786918494942
16.4,1.1412979718503,1.11813959324595,1.16493599584314
16.6,1.12953520986894,1.10745523275825,1.15205540828591
16.8,1.11798829338777,1.09707752838076,1.13929762648307
17,1.10670917089618,1.08704384895458,1.12673025115189
17.2,1.09574764715201,1.07738986460606,1.11441823028303
17.4,1.08515152507473,1.06814978418368,1.1024238826879
17.6,1.07496676900567,1.05935658051926,1.09080698200796
17.8,1.06523768788045,1.05104220969789,1.07962489157031
18,1.0560071370895,1.04323782905365,1.06893274239829
18.2,1.04731673805483,1.03597401774128,1.05878364806995
18.4,1.03920711482571,1.02928100331809,1.04922895110563
18.6,1.03171814728958,1.02318889772539,1.04031849623561
18.8,1.02488924090856,1.01772794635845,1.03210092627266
19,1.0187596132269,1.01292879458413,1.02462399636721
19.2,1.01336859775107,1.0088227771828,1.01793490208032
19.4,1.00875596618564,1.00544223790205,1.01208061582773
19.6,1.00496227041684,1.00282088884916,1.0071082246007
19.8,1.0020292060768,1.00099422318001,1.00306525909924
20,1,1,1
20.2,0.998919824406668,0.997961740281698,0.999878828331619
20.4,0.998836241223265,0.997000972396324,1.00067488839362
20.6,0.999799680588873,0.997169454619204,1.00243684428474
20.8,1.00186395830879,0.99852009182689,1.00521902280577
21,1.00508683781794,1.00110654461238,1.0090829562462
21.2,1.00952971686284,1.0049814409197,1.01409857708068
21.4,1.01521309695967,1.01014592731219,1.020305684923
21.6,1.02209534545152,1.01652907888525,1.02769209154281
21.8,1.03013232041658,1.02405696891864,1.03624371472947
22,1.03928181936304,1.03265932716604,1.0459467819099
22.2,1.04950296587974,1.04227073582307,1.05678537978002
22.4,1.06075562556706,1.05283162625942,1.0687392638174
22.6,1.07299984702754,1.06428864517022,1.08178235006631
22.8,1.08619532462142,1.07659421105502,1.09588206133233
23,1.10030088055912,1.08970539604623,1.11099938768021
23.2,1.11527396472385,1.10358245312604,1.12708933788095
23.4,1.13107017140273,1.1181873070099,1.144101461908
23.6,1.14764277286313,1.13348221269127,1.16198024049956
23.8,1.16494227044622,1.14942865932037,1.18066526571107
24,1.18291596456633,1.16598651257738,1.20009122243859
24.2,1.2015075457029,1.1831133512117,1.22018771988543
24.4,1.2206567091502,1.20076394689226,1.24087902992901
24.6,1.24029879694519,1.21888984418006,1.26208378308257
24.8,1.2603644710203,1.23743900875961,1.28371466275544
25,1.28077942221729,1.25635552221461,1.3056781296139
25.2,1.30146412034195,1.27557930910333,1.32787420150936
25.4,1.32233361092363,1.29504588684166,1.35019631068264
25.6,1.34329736475754,1.31468613131564,1.37253125836112
25.8,1.36425918663334,1.33442605155369,1.39475928707061
26,1.38511718987698,1.35418656528518,1.41675429285378
26.2,1.4057638434347,1.37388326356382,1.43838420331445
26.4,1.42608609819159,1.39342614617865,1.45951155361382
26.6,1.44596559902349,1.4127192990423,1.47999430246104
26.8,1.46528733422259,1.43166603615312,1.49969819609767
27,1.48400008274981,1.45020891459122,1.51857861542811
27.2,1.50208534996012,1.46830983860229,1.53663779894888
27.4,1.51952613481849,1.48592962876282,1.55388224967211
27.6,1.53630675024572,1.50302811036447,1.57032221458469
27.8,1.55241284394172,1.51956441139317,1.58597136124403
28,1.56783141452394,1.53549737829752,1.60084633103935
28.2,1.58255082302995,1.5507861572487,1.6149661226768
28.4,1.59656079985354,1.56539098671126,1.62835126129363
28.6,1.60985244720366,1.57927423359241,1.64102272210977
28.8,1.62241823719428,1.59240167336658,1.65300060933473
29,1.63425200568998,1.60474396075061,1.66430264479855
29.2,1.64534894204891,1.61627816643902,1.67494259176062
29.4,1.65570557491868,1.62698918475444,1.6849288099174
29.6,1.66531975425458,1.63687077600062,1.69426317860384
29.8,1.67419062974113,1.64592602463908,1.70294060775156
30,1.68231862580833,1.65416707945715,1.71094927101948
30.2,1.68970541344335,1.66161417138342,1.71827156592115
30.4,1.69635387900547,1.66829402959738,1.72488568068027
30.6,1.70226809025867,1.67423788821419,1.7307675758095
30.8,1.70745325984077,1.67947927102164,1.73589319311301
31,1.71191570639158,1.68405166972199,1.74024077674171
31.2,1.71566281356448,1.68798611950053,1.74379330247037
31.4,1.71870298714685,1.69130855096115,1.74654113606226
31.6,1.72104561051425,1.69403667497765,1.74848516400003
31.8,1.72270099864169,1.69617604803351,1.74964074876646
32,1.72368035089298,1.69771490445936,1.75004292195967
32.2,1.7239957423191,1.6986174632176,1.74975318686786
32.4,1.72367003145742,1.69882244388458,1.74888104877562
32.6,1.72274993683642,1.69825771845651,1.74759538120473
32.8,1.7212859916523,1.69684934509085,1.74607455495691
33,1.71932910825467,1.69453981170672,1.74448104557333
33.2,1.71693042688581,1.69130911915499,1.742939866746
33.4,1.71414117891944,1.68718830203129,1.74152462871499
33.6,1.71101256487645,1.68225850548187,1.74025810398653
33.8,1.70759564739052,1.67663752043045,1.73912539798015
34,1.70394125920237,1.67046213795728,1.73809136336522
34.2,1.70009992618051,1.66387365000726,1.73711492996259
34.4,1.69612180529702,1.65700904078464,1.73615780457164
34.6,1.69205663743007,1.64999695968642,1.73518844835646
34.8,1.68795371482027,1.64295659563959,1.73418321027915
35,1.68386186297547,1.63599792808077,1.73312613965806
35.2,1.67982943679802,1.62922244166121,1.73200838914047
35.4,1.67590433069966,1.62272384495751,1.73082766632508
35.6,1.67213400247152,1.61658858588291,1.72958794008456
35.8,1.66856551069053,1.61089607072242,1.72829949372053
36,1.6652455654679,1.60571853005862,1.72697938113056
36.2,1.66222059238078,1.60112047049925,1.72565234699245
36.4,1.65953680947341,1.59715762533088,1.72435229830658
36.6,1.65724031727067,1.59387527998995,1.7231244525009
36.8,1.65537720181287,1.59130580783936,1.72202832842198
37,1.65399365079756,1.58946522259066,1.72114177648993
37.2,1.65313608300165,1.58834856725029,1.72056623166355
37.4,1.65285129125496,1.58792407985207,1.72043325349515
37.6,1.65318659934628,1.58812641666551,1.72091207826924
37.8,1.65418792070535,1.58884715249463,1.72221580452921
38,1.6558703185547,1.58989920963784,1.72457882565713
38.2,1.65822523776021,1.59105900158545,1.72822688310421
38.4,1.6612442569264,1.59212512301145,1.73336406874292
38.6,1.66491967965449,1.59293899198238,1.740152983669
38.8,1.66924449675249,1.59339841613358,1.74870086585104
39,1.67421235021519,1.59346012221791,1.75905688164423
39.2,1.679817498826,1.59313108939236,1.77122074143837
39.4,1.68605478524114,1.59245302217662,1.78515830561138
39.6,1.69291960442539,1.59148560290647,1.80081854451827
39.8,1.70040787331619,1.59029248374969,1.81814789743469
40,1.7085160015999,1.58893144748225,1.83710060767458
