"value","lag","rr","lo","hi"
0,0,1.10323780750483,1.07990644399487,1.12707324479476
0.2,0,1.1036520108575,1.08132574025777,1.12643925481645
0.4,0,1.10404774163338,1.08265896265845,1.12585907275246
0.6,0,1.10442383602482,1.08390279587878,1.12533339171882
0.8,0,1.10477912967437,1.08505432540876,1.12486250391588
1,0,1.10511245788609,1.08611128731783,1.12444604787323
1.2,0,1.10542265584903,1.08707232070419,1.12408275400918
1.4,0,1.10570855887283,1.08793720018887,1.12377021114122
1.6,0,1.10596900263546,1.08870702154672,1.12350468085778
1.8,0,1.10620282344303,1.08938431346132,1.123280986767
2,0,1.10640885850166,1.08997305373908,1.12309250028852
2.2,0,1.10658594620135,1.0904785788097,1.12293123416232
2.4,0,1.10673292641182,1.0909073887361,1.12278804145159
2.6,0,1.10684864079012,1.09126686267122,1.12265290510159
2.8,0,1.10693193422825,1.09156490712378,1.12251529800723
3,0,1.1069818873186,1.09180926907209,1.12236535589491
3.2,0,1.10699810103229,1.09200631766379,1.12219570149629
3.4,0,1.10698024896859,1.0921609501717,1.12200062766748
3.6,0,1.10692800787271,1.0922767399291,1.12177580078523
3.8,0,1.10684105773604,1.09235607413145,1.12151811675908
4,0,1.10671908189677,1.09240030184147,1.12122554723733
4.2,0,1.1065617671409,1.09240988411804,1.12089698408998
4.4,0,1.1063688038037,1.09238454155255,1.12053208688797
4.6,0,1.10613988587145,1.0923233969193,1.12013113567511
4.8,0,1.10587471108345,1.09222511218885,1.1196948897861
5,0,1.10557298103435,1.09208801994661,1.11922445267089
5.2,0,1.10523440127669,1.0919102494508,1.11872114249304
5.4,0,1.10485868142362,1.09168984729722,1.11818636853622
5.6,0,1.10444553525174,1.09142489206994,1.11762151404123
5.8,0,1.10399468080412,1.09111360158777,1.11702782686442
6,0,1.10350584049335,1.09075443055744,1.11640632014725
6.2,0,1.10297874120461,1.09034615577388,1.11575768585696
6.4,0,1.10241311439873,1.08988794561624,1.11508222444936
6.6,0,1.10180869621527,1.08937941059221,1.11437979390086
6.8,0,1.1011652275754,1.08882063213284,1.11364978090648
7,0,1.10048245428474,1.08821216769789,1.11289109618261
7.2,0,1.09976012713592,1.08755503138549,1.11210219467902
7.4,0,1.09899800201106,1.08685065044562,1.11128112029843
7.6,0,1.09819583998382,1.08610079914033,1.11042557367821
7.8,0,1.09735340742127,1.08530751206354,1.10953300091834
8,0,1.09647047608535,1.08447297918589,1.10860070098691
8.2,0,1.09554682323391,1.08359942447246,1.10762594995123
8.4,0,1.09458222836046,1.08268895886438,1.1066061446671
8.6,0,1.09357626957213,1.08174279280535,1.10553919593942
8.8,0,1.09252820761323,1.08076065576104,1.10442388707246
9,0,1.091437283078,1.07974167540989,1.10325957589853
9.2,0,1.09030274506204,1.07868457063719,1.10204605521297
9.4,0,1.08912385148527,1.07758775437539,1.10078344808369
9.6,0,1.0878998694188,1.07644942831701,1.09947211150629
9.8,0,1.08663007541547,1.07526767062819,1.09811254727636
10,0,1.08531375584395,1.07404051752823,1.09670531921357
10.2,0,1.08395020722602,1.07276603920219,1.09525097626984
10.4,0,1.08253873657705,1.07144241005805,1.09374998150983
10.6,0,1.08107866174926,1.07006797289117,1.09220264739989
10.8,0,1.07956931177764,1.06864129614016,1.09060907822075
11,0,1.07801002722828,1.06716122316167,1.0889691206749
11.2,0,1.07640016054881,1.06562691236155,1.08728232384993
11.4,0,1.07473907642082,1.06403786711863,1.0855479096
11.6,0,1.07302615211389,1.06239395472204,1.0837647541223
11.8,0,1.07126077784108,1.06069541398193,1.0819313810668
12,0,1.06944235711548,1.05894285170606,1.08004596598398
12.2,0,1.06757030710769,1.05713722878702,1.07810635136342
12.4,0,1.06564405900392,1.05527983713406,1.07611007102573
12.6,0,1.06366305836432,1.05337226904483,1.07405438226967
12.8,0,1.06162676548139,1.05141638079605,1.07193630399136
13,0,1.05953465573814,1.04941425222329,1.06975265900168
13.2,0,1.0573862199656,1.04736814386228,1.067500118965
13.4,0,1.05518096479959,1.04528045286224,1.06517525074405
13.6,0,1.05291841303617,1.0431536683808,1.06277456343652
13.8,0,1.05059810398571,1.04099032654502,1.06029455601347
14,0,1.04821978180191,1.03879308870049,1.05773201892917
14.2,0,1.04578853089529,1.0365680596946,1.05509101995131
14.4,0,1.04331534243477,1.03432499730221,1.05238383157991
14.6,0,1.04081142579219,1.03207352487103,1.04962330488511
14.8,0,1.03828788900351,1.02982297193614,1.04682238581702
15,0,1.03575573610511,1.02758241734105,1.04399406487565
15.2,0,1.03322586564401,1.02536072599807,1.04115133568888
15.4,0,1.03070907034322,1.02316658094016,1.03830716080621
15.6,0,1.02821603790263,1.02100851204371,1.03547444328742
15.8,0,1.02575735291643,1.01889492260021,1.0326660028661
16,0,1.02334349988806,1.01683411477434,1.02989455560856
16.2,0,1.02098486732466,1.01483431490002,1.02717269607567
16.4,0,1.01869175289388,1.01290369952483,1.02451288103778
16.6,0,1.01647436962728,1.01105042311168,1.02192741379728
16.8,0,1.01434285315623,1.00928264833308,1.01942842814986
17,0,1.01230726996814,1.00760857993761,1.01702787097526
17.2,0,1.01037762667298,1.00603650321022,1.01473748241122
17.4,0,1.00856388027265,1.00457482805869,1.01256877255858
17.6,0,1.00687594942863,1.00323213969527,1.01053299373536
17.8,0,1.00532372672613,1.0020172566832,1.00864110750344
18,0,1.00391709193673,1.00093929670517,1.00690374611155
18.2,0,1.00266592628472,1.00000774969711,1.00533116872033
18.4,0,1.00158012772663,0.999232556904923,1.0039332138698
18.6,0,1.00066962725751,0.998624192948253,1.00271925113232
18.8,0,0.999944406262078,0.998193746219607,1.00169813666098
19,0,0.999414514933788,0.997952991182054,1.00087817911868
19.2,0,0.999090091790062,0.997914444783151,1.00026712383142
19.4,0,0.998981384317397,0.998091398537147,0.999872163686983
19.6,0,0.99909814483062,0.998497249669538,0.999699401610119
19.8,0,0.999440315228611,0.999135296047764,0.999745427526677
20,0,1,1,1
20.2,0,1.00076920626517,1.00045351441116,1.00108499773535
20.4,0,1.00174005071691,1.00109711289536,1.00238340145448
20.6,0,1.00290474293147,1.00192258009769,1.00388786855803
20.8,0,1.00425556941373,1.00292224471537,1.00559066668694
21,0,1.00578487834749,1.00408889011418,1.00748373124361
