"value","lag","rr","lo","hi"
0,0,1.11832918112412,1.09361854860234,1.14359815765022
0.2,0,1.11775597375486,1.09441004749014,1.14159991470284
0.4,0,1.11722756900011,1.09506327353045,1.13984047415793
0.6,0,1.11674622341325,1.09558518556282,1.13831598303976
0.8,0,1.11631419530367,1.09598847651318,1.13701686590817
1,0,1.1159337457245,1.09629163406305,1.13592778249286
1.2,0,1.11560713950741,1.09651833868519,1.13502824878628
1.4,0,1.115336646345,1.09669625881111,1.13429386184709
1.6,0,1.11512454192107,1.09685545494452,1.13369791652044
1.8,0,1.11497203920348,1.09702477424055,1.13321292043398
2,0,1.11487570148329,1.09722300016373,1.13281240875592
2.2,0,1.11483083445693,1.09746246643714,1.13247407311412
2.4,0,1.11483275212849,1.09775124902132,1.13218005110578
2.6,0,1.11487677477246,1.09809358858492,1.13191647401273
2.8,0,1.11495822706796,1.09849036952935,1.13167296008171
3,0,1.11507243643023,1.0989395955951,1.13144211335213
3.2,0,1.11521473153859,1.09943683082883,1.13121905921879
3.4,0,1.11538044106068,1.09997559517656,1.13100102743736
3.6,0,1.11556489257269,1.10054771725325,1.13078698000184
3.8,0,1.11576341167539,1.10114365490512,1.13057727326303
4,0,1.11597132130612,1.10175279873517,1.13037333910788
4.2,0,1.11618394124677,1.10236377580112,1.13017736798524
4.4,0,1.11639658782798,1.10296477041473,1.12999197684739
4.6,0,1.11660457382975,1.10354387587373,1.12981984817809
4.8,0,1.11680320857871,1.10408948414994,1.12966333308752
5,0,1.11698779824239,1.10459070935362,1.12952402266037
5.2,0,1.11715364632061,1.10503782561566,1.12940230692293
5.4,0,1.11729605433421,1.10542268335347,1.12929695747127
5.6,0,1.11741032271131,1.10573905453772,1.12920478315186
5.8,0,1.11749175187098,1.10598285354815,1.12912041221379
6,0,1.11753564350434,1.10615218981788,1.12903624473977
6.2,0,1.11753730205285,1.10624723115106,1.12894259647556
6.4,0,1.11749203638335,1.10626988572434,1.12882802604949
6.6,0,1.11739516165923,1.10622333609022,1.12867981226318
6.8,0,1.11724200140711,1.10611147104205,1.12848453558864
7,0,1.11702813640078,1.10593829919701,1.12822917735732
7.2,0,1.11675120176481,1.10570733268769,1.12790537764789
7.4,0,1.11640985357783,1.1054204131888,1.12750854452766
7.6,0,1.11600276774239,1.10507763853054,1.1270359060607
7.8,0,1.11552863363012,1.10467770084014,1.12648615202631
8,0,1.11498615488284,1.104218193091,1.12585912219069
8.2,0,1.1143740502253,1.10369588494677,1.12515552585886
8.4,0,1.11369105428877,1.10310697393277,1.12437668667883
8.6,0,1.1129359184451,1.10244731828369,1.12352430635284
8.8,0,1.11210741165041,1.10171265637342,1.12260024235265
9,0,1.111204321298,1.10089881509923,1.12160629726906
9.2,0,1.11022545407948,1.10000190648643,1.12054402053093
9.4,0,1.10916963685381,1.09901850862172,1.11941452638617
9.6,0,1.10803571752315,1.09794582440191,1.11821833465766
9.8,0,1.106822565915,1.09678181010505,1.11695524226585
10,0,1.10552907466979,1.09552526592999,1.11562423336966
10.2,0,1.1041541601331,1.09417588256283,1.11422343406406
10.4,0,1.10269676325164,1.09273424122015,1.11275011417955
10.6,0,1.10115585047224,1.09120176876059,1.11120073458686
10.8,0,1.09953041464292,1.08958065338248,1.10957103448168
11,0,1.09781947591506,1.08787372923278,1.10785615031663
11.2,0,1.09602208264592,1.08608433936798,1.10605075692974
11.4,0,1.09413731230038,1.08421618580874,1.10414922211748
11.6,0,1.09216427235112,1.0822731731751,1.10214576815281
11.8,0,1.09010210117601,1.08025924902671,1.10003463711049
12,0,1.08794996895199,1.07817823996762,1.09781026092512
12.2,0,1.08570732135827,1.07603377644681,1.09546783144981
12.4,0,1.08337793308239,1.07383071486816,1.09301003374072
12.6,0,1.0809692540538,1.0715746635289,1.09044620779066
12.8,0,1.07848881066895,1.06927059509509,1.08778649677042
13,0,1.07594408037312,1.06692293583982,1.08504150131398
13.2,0,1.07334248709631,1.06453568161708,1.08222215046474
13.4,0,1.07069139719813,1.06211249913869,1.07933958875707
13.6,0,1.06799811591701,1.05965682001749,1.07640507195854
13.8,0,1.06526988431761,1.05717193407868,1.07342986495666
14,0,1.06251387673026,1.05466108749009,1.07042513622176
14.2,0,1.05973719867545,1.05212759007399,1.06740184446405
14.4,0,1.056946885266,1.04957493445612,1.0643706148074
14.6,0,1.0541499000792,1.04700692724068,1.06134160426768
14.8,0,1.0513531344911,1.04442782908638,1.05832435963638
15,0,1.04856340746467,1.04184249662169,1.05532767480608
15.2,0,1.04578746578387,1.03925651523254,1.05235945847876
15.4,0,1.04303198472518,1.03667630895923,1.04942662599473
15.6,0,1.04030356915878,1.03410921327926,1.04653502947974
15.8,0,1.03760875507116,1.03156349930102,1.04368943776107
16,0,1.03495401150173,1.02904834379705,1.04089357159955
16.2,0,1.03234574288575,1.02657374733583,1.03815019195664
16.4,0,1.02979029179687,1.02415041043302,1.03546123135439
16.6,0,1.02729394208241,1.02178958300666,1.03282795302519
16.8,0,1.02486292238565,1.01950290418618,1.03025112078449
17,0,1.02250341004937,1.01730224765169,1.02773116443615
17.2,0,1.02022153539613,1.0151995831416,1.02526833006082
17.4,0,1.01802339019718,1.0132068229662,1.02286285435243
17.6,0,1.01591522974678,1.01133378955395,1.02051742430819
17.8,0,1.01390357166069,1.00958687690234,1.01823872332856
18,0,1.01199492745526,1.00797154231716,1.01603437220148
18.2,0,1.01019578530004,1.00649269761424,1.01391249738515
18.4,0,1.00851261713856,1.00515484560784,1.01188160547801
18.6,0,1.00695188623985,1.00396218622559,1.00995048928483
18.8,0,1.00552005518374,1.00291869975565,1.00812815796839
19,0,1.00422359428397,1.00202821299232,1.00642378551903
19.2,0,1.00306899045523,1.00129445266796,1.00484667315592
19.4,0,1.00206275653166,1.00072108950901,1.00340622232763
19.6,0,1.00121144104583,1.00031177547377,1.00211191576376
19.8,0,1.00052163847965,1.00007017616378,1.00097330459945
20,0,1,1,1
20.2,0,0.99965324469429,0.999201667987448,1.00010502548558
20.4,0,0.999488171323244,0.998588026342016,1.00038912771114
20.6,0,0.999511670610371,0.998168842533804,1.00085630518216
20.8,0,0.999730738090124,0.997953931642597,1.00151070805157
21,0,1.00015248753927,0.997953153146329,1.00235666892503
21.2,0,1.00078416501862,0.998176405295125,1.00339873757675
21.4,0,1.00163316355528,0.998633615523706,1.00464172118582
21.6,0,1.00270703849834,0.99933472496797,1.00609073209812
21.8,0,1.00401352358449,1.0002896646111,1.00775124566788
22,0,1.00556054775318,1.00150831985185,1.00962917147533
22.2,0,1.00735625275458,1.00300047931979,1.01173094219449
22.4,0,1.0094090115977,1.00477576252337,1.01406362563502
22.6,0,1.01172743431514,1.00684350329562,1.01663505598979
22.8,0,1.01431376643129,1.00920481415151,1.01944858203735
23,0,1.01715312252614,1.01184013928334,1.02249400324983
23.2,0,1.02022782624236,1.01472665625655,1.02575881989648
23.4,0,1.02352013563975,1.0178416286529,1.02923032284157
23.6,0,1.02701220147551,1.0211624652983,1.03289544790648
23.8,0,1.03068602869991,1.02466679293065,1.03674062347513
24,0,1.03452344116938,1.02833253662589,1.04075161702122
24.2,0,1.03850604959841,1.0321379993185,1.04491338926055
24.4,0,1.04261522278909,1.03606193028553,1.0492099661378
24.6,0,1.04683206219294,1.04008357289943,1.05362433845601
24.8,0,1.0511373798741,1.04418268432304,1.0581383966206
25,0,1.05551167995511,1.0483395236315,1.0627329041858
25.2,0,1.05993514363756,1.05253480918647,1.06738750957446
25.4,0,1.0643876178985,1.05674964992649,1.07208079152377
25.6,0,1.06884860797082,1.06096545777557,1.07679033128601
25.8,0,1.07329727372055,1.06516384927737,1.08149280371982
26,0,1.07771243003733,1.06932654397601,1.0861640799997
26.2,0,1.08207255135489,1.07343526544344,1.09077933629467
26.4,0,1.08635578041734,1.07747164874324,1.09531316487326
26.6,0,1.09053994140299,1.08141715597785,1.09973968622668
26.8,0,1.09460255751173,1.08525299967044,1.10403266268333
27,0,1.09852087311325,1.08896007218539,1.10816561551584
27.2,0,1.10227188054212,1.09251887815969,1.11211194874774
27.4,0,1.10583235161236,1.09590946589327,1.1158450838599
27.6,0,1.10917887390733,1.09911135269482,1.11933861051105
27.8,0,1.11228789188186,1.10210343817392,1.12256645934876
28,0,1.11514037479764,1.10486788234994,1.12550837558871
28.2,0,1.11773958660985,1.10740539467429,1.12817021614945
28.4,0,1.12009572994336,1.10972224966765,1.13056617961216
28.6,0,1.12221927357081,1.1118247264864,1.13271100018948
28.8,0,1.12412092726704,1.11371923798987,1.13461976413414
29,0,1.12581161879718,1.11541245260723,1.1363077380534
29.2,0,1.12730247180419,1.11691141096512,1.13779020471976
29.4,0,1.12860478465675,1.11822363725414,1.13908230653919
29.6,0,1.12973001031211,1.11935724263409,1.14019889950094
29.8,0,1.1306897372431,1.12032101585942,1.14115442253499
30,0,1.13149567147233,1.12112449498666,1.14196278850893
30.2,0,1.13215961975172,1.12177801373863,1.14263730336849
30.4,0,1.13269347392025,1.12229271695833,1.1431906190559
30.6,0,1.133109196468,1.12268054147529,1.14363472393773
30.8,0,1.13341880733035,1.12295416127073,1.14398097190046
31,0,1.13363437193181,1.12312689851897,1.14424014857081
31.2,0,1.13376799049545,1.12321260431584,1.14442257087656
31.4,0,1.13383178863056,1.12322551421239,1.1445382148487
31.6,0,1.1338379092078,1.12318008382334,1.14459686640856
31.8,0,1.13379850552902,1.12309080881028,1.14460829084835
32,0,1.13372573579621,1.1229720317032,1.14458241854627
32.2,0,1.13363175888249,1.12283773570173,1.14452954677718
32.4,0,1.13352873140639,1.12270132322345,1.14446055985278
32.6,0,1.13342880610975,1.12257537500459,1.14438717178711
32.8,0,1.13334413153884,1.12247138455577,1.14432219668734
33,0,1.13328685302791,1.12239946348214,1.14427985136537
33.2,0,1.13326824909534,1.12236705398475,1.1442753240555
33.4,0,1.13329158821029,1.12237105979425,1.14431837198622
33.6,0,1.13335580680749,1.12240311020727,1.14441538262224
33.8,0,1.13345980294266,1.12245513981681,1.14457235689302
34,0,1.13360247853173,1.12251996358285,1.14479440992002
34.2,0,1.13378273896891,1.12259172439032,1.14508531575179
34.4,0,1.13399949275603,1.1226662263336,1.145447168007
34.6,0,1.13425165114304,1.12274112191103,1.14588018824046
34.8,0,1.13453812777959,1.12281593653401,1.14638269862732
35,0,1.13485783837747,1.12289193563838,1.14695125367928
35.2,0,1.13520970038401,1.12297186060954,1.14758090478461
35.4,0,1.13559263266615,1.12305957291683,1.14826555818079
35.6,0,1.13600555520527,1.12315964827586,1.14899838454691
35.8,0,1.13644738880263,1.12327695564352,1.1497722454178
36,0,1.13691705479536,1.12341624344146,1.15058011403226
36.2,0,1.13741347478299,1.12358174201436,1.15141548161733
36.4,0,1.13793557036443,1.12377678013894,1.15227275130255
36.6,0,1.13848226288545,1.1240034059507,1.15314762930677
36.8,0,1.13905247319652,1.12426199933568,1.15403752636108
37,0,1.13964512142103,1.1245508636394,1.15494198152626
37.2,0,1.14025912673395,1.12486578972103,1.15586311538777
37.4,0,1.1408934071508,1.12519959574281,1.15680610924933
37.6,0,1.14154687932702,1.12554166288258,1.15777969014835
37.8,0,1.14221845836766,1.12587751129211,1.15879657738124
38,0,1.14290705764754,1.12618849091593,1.15987381593484
38.2,0,1.14361158864166,1.12645169226146,1.16103289174334
38.4,0,1.14433097500804,1.12664017840558,1.16229955709199
38.6,0,1.14506443033538,1.12672402691933,1.16370337215962
38.8,0,1.14581144040397,1.12667477694255,1.16527314166329
39,0,1.14657150062952,1.12646889854107,1.16703284729694
39.2,0,1.14734410547885,1.1260891928877,1.1690002041502
39.4,0,1.14812874841204,1.1255252866302,1.17118614622765
39.6,0,1.14892492182682,1.12477327150269,1.17359516752315
39.8,0,1.14973211700521,1.12383472065907,1.17622628716975
40,0,1.1505498240624,1.12271540710341,1.17907431328952
0,1,1.09225302780004,1.07527482423497,1.10949931110603
0.2,1,1.09188181636528,1.07590046452452,1.10810055411215
0.4,1,1.0915394996721,1.07642520475886,1.1068660173294
0.6,1,1.09122755026413,1.07685287716745,1.10579410772219
0.8,1,1.09094744142323,1.07719142006773,1.1048791308355
1,1,1.09070064759314,1.0774530671286,1.10411111068665
1.2,1,1.09048864482352,1.07765404177848,1.10347610493487
1.4,1,1.0903129112343,1.07781376330345,1.10295700878846
1.6,1,1.09017492750063,1.07795370232759,1.10253470996459
1.8,1,1.09007546653389,1.07809477961956,1.10218929281746
2,1,1.09001220987912,1.07825103723641,1.10190166914262
2.2,1,1.08998200115294,1.07843195692658,1.1016557467596
2.4,1,1.08998168750975,1.07864393024699,1.10143861731513
2.6,1,1.09000811874931,1.07889054106964,1.10124025905489
2.8,1,1.09005814649825,1.07917290175677,1.10105318694798
3,1,1.09012862348282,1.07948999342742,1.10087209976204
3.2,1,1.09021640289271,1.07983898325544,1.10069355113767
3.4,1,1.09031833783581,1.080215508234,1.10051565521824
3.6,1,1.09043128088394,1.08061392581492,1.10033782641982
3.8,1,1.09055208370941,1.08102753878231,1.10016054597701
4,1,1.09067759681251,1.08144880606191,1.09998514355992
4.2,1,1.09080466933995,1.08186955377576,1.09981357965127
4.4,1,1.09093014899425,1.08228120189681,1.09964821332829
4.6,1,1.09105088203427,1.08267502078049,1.09949154117328
4.8,1,1.09116371336678,1.08304242748905,1.09934589739831
5,1,1.09126548672938,1.08337532288515,1.09921311420988
5.2,1,1.09135304496453,1.08366645647725,1.09909415543338
5.4,1,1.09142323038497,1.08390978863262,1.0989887537843
5.6,1,1.09147288523049,1.08410080383029,1.0988950981166
5.8,1,1.09149885221587,1.08423672127921,1.09880962432536
6,1,1.09149797517022,1.08431655674767,1.09872695605987
6.2,1,1.09146709976727,1.08434101259351,1.09864001825869
6.4,1,1.09140307434681,1.08431220457639,1.0985403149262
6.6,1,1.09130275082668,1.0842332617159,1.09841833488591
6.8,1,1.09116298570536,1.08410784843606,1.09826403626821
7,1,1.09098078471223,1.0839396381675,1.09806766973069
7.2,1,1.09075434871651,1.08373148521466,1.09782272221086
7.4,1,1.0904824722338,1.08348471982979,1.09752542005018
7.6,1,1.09016396074152,1.0831992967232,1.09717340557261
7.8,1,1.08979762703204,1.08287406852168,1.09676545261265
8,1,1.08938229173588,1.08250702783907,1.09630122209621
8.2,1,1.08891678385633,1.08209552113606,1.09578104613088
8.4,1,1.08839994131532,1.08163644060582,1.09520573437012
8.6,1,1.08783061151001,1.08112640057612,1.09457639616204
8.8,1,1.08720765188008,1.08056190360653,1.09389427330488
9,1,1.08652993048509,1.07993949918031,1.09316058051027
9.2,1,1.08579632659176,1.07925593506191,1.09237635350371
9.4,1,1.08500573127081,1.07850829843936,1.09154230764288
9.6,1,1.08415704800276,1.07769414141617,1.09065871248915
9.8,1,1.08324919329259,1.07681158384538,1.08972528933858
10,1,1.0822810972926,1.07585938641256,1.088741138805
10.2,1,1.08125170443312,1.07483698848157,1.08770470393947
10.4,1,1.08015997406073,1.07374450827075,1.08661377131688
10.6,1,1.07900488108321,1.07258270672618,1.08546550872055
10.8,1,1.07778541662117,1.07135292004977,1.0842565344642
11,1,1.07650058866541,1.07005696834365,1.08298301088658
11.2,1,1.0751494227398,1.06869704872458,1.08164075366098
11.4,1,1.07373096256902,1.06727562049375,1.08022534933014
11.6,1,1.07224427075059,1.06579528784371,1.07873227557941
11.8,1,1.07068842943062,1.06425868263416,1.0771570217113
12,1,1.06906254098275,1.06266834638234,1.07549521016907
12.2,1,1.06736591437746,1.06102668801485,1.07374301517936
12.4,1,1.06560116702619,1.05933717970702,1.07190219405082
12.6,1,1.06377373277188,1.05760398995505,1.06997946800817
12.8,1,1.06188911354297,1.05583083562888,1.06798215340002
13,1,1.05995278435813,1.05402104110545,1.06591790984575
13.2,1,1.05797019059539,1.05217762024201,1.06379465087938
13.4,1,1.05594674553932,1.05030334693733,1.0616204667599
13.6,1,1.05388782820435,1.04840082017818,1.05940355354597
13.8,1,1.05179878143175,1.04647252876324,1.05715214323759
14,1,1.04968491025782,1.04452092025299,1.05487443042893
14.2,1,1.04755148055022,1.04254847789201,1.05257849171847
14.4,1,1.04540371790945,1.04055780802284,1.05027219534824
14.6,1,1.04324680683226,1.03855173860909,1.04796310044537
14.8,1,1.04108589013346,1.03653342677366,1.04565834794989
15,1,1.03892606862278,1.03450646987169,1.04336454869911
15.2,1,1.03677240103317,1.03247501110406,1.04108767765203
15.4,1,1.03462990419689,1.03044382801591,1.03883298589851
15.6,1,1.03250355346597,1.02841839159779,1.03660494272529
15.8,1,1.03039828337338,1.0264048859915,1.03440721772598
16,1,1.02831898853147,1.02441018399321,1.03224270775251
16.2,1,1.02627052476439,1.02244178047569,1.03011360657637
16.4,1,1.0242577104712,1.02050769252539,1.02802150845483
16.6,1,1.02228532821668,1.01861633953195,1.02596753235598
16.8,1,1.02035812654692,1.01677641758978,1.02395245247553
17,1,1.01848082202716,1.0149967805215,1.02197682272861
17.2,1,1.01665810149943,1.01328633568271,1.02004108705171
17.4,1,1.01489463475928,1.01165393952795,1.0181457111152
17.6,1,1.01319560423125,1.01010733072989,1.01629331973241
17.8,1,1.01156695876602,1.00865236232648,1.01448997720775
18,1,1.0100146842485,1.00729425270063,1.01274246295216
18.2,1,1.00854474409902,1.00603782121717,1.01105791392527
18.4,1,1.00716308409823,1.00488758705784,1.00944373384111
18.6,1,1.00587563756997,1.00384784554687,1.0079075257721
18.8,1,1.00468833092285,1.00292272772567,1.00645704239006
19,1,1.00360708955195,1.00211624753328,1.00510014948689
19.2,1,1.00263784410335,1.00143233986272,1.0038447995059
19.4,1,1.00178653710492,1.00087489194949,1.00269901263077
19.6,1,1.00105912996817,1.00044776995366,1.00167086357646
19.8,1,1.00046161036691,1.00015484216971,1.00076847265627
20,1,1,1,1
20.2,1,0.999680362746424,0.999373642000861,0.999987177628567
20.4,1,0.999508813222687,0.998897629192844,1.00012037121069
20.6,1,0.999491525753731,0.998580224818218,1.00040365833939
20.8,1,0.999634743770283,0.998429723343346,1.00084121855519
21,1,0.999944789647117,0.99845444811949,1.00143735573078
21.2,1,1.00042807499847,0.998662747258028,1.00219652329392
21.4,1,1.00109111144873,0.999062986584356,1.00312335346139
21.6,1,1.00194052189834,0.999663538232295,1.00422269196403
21.8,1,1.00298305230714,1.00047276301381,1.00549964017507
22,1,1.00422558401922,1.00149898411183,1.00695960714637
22.2,1,1.00567514665602,1.00275044885476,1.00860837485209
22.4,1,1.00733893160661,1.00423527429972,1.01045218097717
22.6,1,1.00922429458534,1.00596135765909,1.01249781517597
22.8,1,1.01133313336626,1.00792978010045,1.01474797831896
23,1,1.01365273877827,1.01012442686739,1.01719337489853
23.2,1,1.01616802927366,1.01252643595395,1.01982271973477
23.4,1,1.01886387968674,1.01511698271969,1.02262460682028
23.6,1,1.02172509190368,1.01787732798097,1.02558740108326
23.8,1,1.02473636786269,1.02078887913495,1.02869912190883
24,1,1.02788228488533,1.02383325985238,1.0319473228809
24.2,1,1.03114727335085,1.02699238096821,1.03531897513833
24.4,1,1.03451559673612,1.0302485034601,1.03880036350058
24.6,1,1.0379713340528,1.03358428439604,1.04237700454676
24.8,1,1.04149836472177,1.03698279866913,1.04603359391327
25,1,1.04508035593198,1.04042753285443,1.04975398657365
25.2,1,1.04870075253745,1.04390235172694,1.05352120967372
25.4,1,1.05234276955051,1.04739144176888,1.05731750371664
25.6,1,1.05598938729425,1.05087923848813,1.06112438540737
25.8,1,1.05962334927896,1.0543503451924,1.06492272464924
26,1,1.06322716286982,1.05778945018129,1.06869282887106
26.2,1,1.06678310281272,1.06118124764157,1.0724145295405
26.4,1,1.07027321768456,1.06451036545165,1.07606726779675
26.6,1,1.07367933933188,1.06776130108875,1.07963017814251
26.8,1,1.07698309535799,1.07091836514753,1.08308217081242
27,1,1.08016592471383,1.07396563068914,1.0864020147127
27.2,1,1.08320909644098,1.07688688567902,1.08956842377427
27.4,1,1.08609373160736,1.07966558500729,1.09256015030694
27.6,1,1.08880082846666,1.08228479787169,1.09535608963643
27.8,1,1.09131129086132,1.08472714550476,1.09793540107933
28,1,1.09360976528991,1.08697806666422,1.10028192418615
28.2,1,1.09569925041193,1.08903863308059,1.1024006044278
28.4,1,1.09758842352647,1.09091459910591,1.10430307601224
28.6,1,1.09928614463293,1.09261171030902,1.10600135105651
28.8,1,1.10080143863209,1.0941357961018,1.10750768927564
29,1,1.10214347923154,1.09549285896794,1.10883447470118
29.2,1,1.10332157352299,1.09668916206062,1.10999409560496
29.4,1,1.10434514726621,1.09773131528024,1.11099882759478
29.6,1,1.10522373091156,1.09862635758092,1.11186072220199
29.8,1,1.10596694638897,1.0993818312653,1.11259150526181
30,1,1.10658449468837,1.10000584267615,1.11320249073007
30.2,1,1.1070861442532,1.10050710327163,1.11370451599429
30.4,1,1.10748172020568,1.1008949457565,1.1141079040443
30.6,1,1.10778109442,1.10117931168073,1.11442245612237
30.8,1,1.10799417645654,1.10137070937147,1.11465747601205
31,1,1.1081309053684,1.1014801436787,1.11482182450561
31.2,1,1.10820124238896,1.1015190211728,1.11492400042702
31.4,1,1.10821516450742,1.1014990356504,1.11497224336564
31.6,1,1.10818265893751,1.10143203886268,1.11497465321409
31.8,1,1.10811371848304,1.10132990034921,1.11493932263254
32,1,1.10801833780273,1.10120435843124,1.1148744803881
32.2,1,1.10790651057564,1.10106686218889,1.11478864574649
32.4,1,1.10778822756762,1.1009284020316,1.11469079630684
32.6,1,1.10767347559896,1.1007993246852,1.11459055345656
