"value","fit","lo","hi"
0,1.48520944598007,1.39196238782602,1.58470309091723
0.2,1.48642352822765,1.40065010897012,1.57744956511183
0.4,1.48767901813297,1.40835765894562,1.57146790585142
0.6,1.48897838038234,1.41502588303504,1.56679580481648
0.8,1.49032409164988,1.42063937040001,1.56342696424543
1,1.49171864133024,1.42524220012627,1.56129569044124
1.2,1.49316453231349,1.42894520224335,1.56026999290017
1.4,1.49466428180229,1.43191985840144,1.56015806484418
1.6,1.4962204221722,1.43437980155703,1.56072718626897
1.8,1.49783550187555,1.43655660837949,1.56172835625988
2,1.49951056194529,1.43867161926347,1.5629222786341
2.2,1.50123536853911,1.44087656255564,1.56412262529653
2.4,1.50299457888475,1.44326325833466,1.56519795755317
2.6,1.50477275684122,1.44588710892228,1.56605659996463
2.8,1.50655439401903,1.44877413825651,1.56663905173616
3,1.50832390862359,1.4519270059927,1.56691142456578
3.2,1.51006564590438,1.45532974700677,1.56686019758105
3.4,1.51176388022337,1.45895127015957,1.56648825515471
3.6,1.51340281875518,1.46274778751034,1.56581203634188
3.8,1.51496660683123,1.46666437319758,1.56485959688921
4,1.51643933493829,1.47063584681698,1.56366938934969
4.2,1.51780504738052,1.47458718717914,1.56228955594059
4.4,1.51904775261144,1.47843374744417,1.56077746378758
4.6,1.52015143523968,1.48208170153679,1.55919905337547
4.8,1.52110006970905,1.48542943474357,1.55762728807666
5,1.52187763564972,1.48837096209341,1.55613862194217
5.2,1.52246813489322,1.49080268297582,1.55480617806402
5.4,1.52285561013882,1.49263429488174,1.55368881532702
5.6,1.52302416525436,1.49380281287599,1.55281713754632
5.8,1.52295798718816,1.49428561433335,1.5521805259264
6,1.52264136946332,1.49410654881571,1.55172115525417
6.2,1.52205873721857,1.49333133730607,1.5513387696816
6.4,1.52119467375325,1.49205407443291,1.55090440427553
6.6,1.52003394852662,1.49038082875174,1.55027705677653
6.8,1.51856154655388,1.48841586209866,1.5493177877187
7,1.51676292958526,1.48625195878795,1.54790025403242
7.2,1.51462995564686,1.48394749117685,1.5459468183227
7.4,1.5121613584071,1.48151872500081,1.54343778129322
7.6,1.50935643964835,1.4789604965897,1.54037708725898
7.8,1.50621474193046,1.47625248422444,1.53678511843488
8,1.50273605169711,1.47336279425579,1.53269490031536
8.2,1.49892040210473,1.47025038649799,1.52814948561069
8.4,1.49476807556496,1.46686693241177,1.52319992383669
8.6,1.49027960599212,1.46315865147886,1.51790327165906
8.8,1.48545578074747,1.45906865899149,1.51232011115999
9,1.48029764227245,1.45454030193104,1.50651109962937
9.2,1.47480648940368,1.44952173013491,1.50053230384119
9.4,1.46898387836291,1.44397143913052,1.4944295824781
9.6,1.46283162341567,1.43786379963367,1.4882330016307
9.8,1.45635179719295,1.43119304094961,1.48195281593869
10,1.44954673067057,1.42397430789696,1.47557839544236
10.2,1.44241901280201,1.41624140150068,1.46908048747065
10.4,1.43497148980046,1.408042071102,1.46241594537625
10.6,1.42720726406692,1.39943242608834,1.45553335526098
10.8,1.41912969276169,1.39047187358957,1.44837815358238
11,1.4107423860173,1.3812193208273,1.44089649608561
11.2,1.40204920479142,1.37173072919253,1.43303779001392
11.4,1.39305425835932,1.36205773531217,1.4247561732677
11.6,1.38376190144601,1.35224694728798,1.4160113311653
11.8,1.37417673099865,1.3423395589943,1.40676900666842
12,1.36430359398564,1.33237098749455,1.39700152137225
12.2,1.35415359997784,1.32236618269382,1.38670513230867
12.4,1.34375371816986,1.31233257279031,1.37592717923329
12.6,1.3331330077492,1.30227040689889,1.36472702361608
12.8,1.32231992960147,1.29217584162918,1.35316722375546
13,1.31134230590745,1.28204183535492,1.34131242510242
13.2,1.30022728537702,1.27185882667371,1.32922849469095
13.4,1.28900131395352,1.26161536354139,1.31698173261774
13.6,1.27769011080523,1.2512988329729,1.30463800990762
13.8,1.26631864940635,1.24089643385505,1.29226168927941
14,1.2549111434983,1.23039651497048,1.27991420563639
14.2,1.2434910377138,1.21979033958185,1.2676522437492
14.4,1.23208100263934,1.20907421367689,1.25552557476876
14.6,1.22070293408853,1.19825173107399,1.243574797056
14.8,1.20937795635632,1.18733570302157,1.23182941235451
15,1.19812642922533,1.17634926292551,1.22030674532683
15.2,1.1869679584971,1.1653257673269,1.20901208400342
15.4,1.17592140982571,1.1543074419273,1.19794009105381
15.6,1.16500492563649,1.14334309521868,1.18707716208117
15.8,1.15423594492001,1.13248544910392,1.17640418038001
16,1.14363122569958,1.12178862652495,1.16589912704559
16.2,1.13320686998055,1.11130615128102,1.15553919025
16.4,1.12297835100011,1.10108958638779,1.14530224643392
16.6,1.11296054260786,1.09118776484744,1.1351677587543
16.8,1.10316775062017,1.08164648129705,1.12511722365058
17,1.09361374600417,1.07250849641497,1.11513431310526
17.2,1.08431410118205,1.06381278665947,1.10521050768174
17.4,1.0753001612715,1.05558853887686,1.09537987032408
17.6,1.06660928845908,1.04785840818563,1.08569570596568
17.8,1.05827772243853,1.04064229555328,1.07621201117359
18,1.05034067910445,1.03395826188023,1.066982665408
18.2,1.04283249096574,1.02782318108368,1.05806098191638
18.4,1.03578675915836,1.02225322920775,1.04949945844558
18.6,1.02923651678649,1.01726426493859,1.04134967087509
18.8,1.02321440348525,1.01287213794998,1.03366227213903
19,1.017752851273,1.0090929495934,1.02648707107871
19.2,1.01288428194784,1.0059432829101,1.01987317381261
19.4,1.00864131648303,1.00344041417492,1.01386917543395
19.6,1.00505699708879,1.00160251521194,1.00852339331775
19.8,1.002165022838,1.00044885397184,1.00388413561834
20,1,1,1
20.2,0.998597708494935,0.996920198435586,1.00027804128774
20.4,0.997995386172883,0.994694904074261,1.00130681955118
20.6,0.998232032942053,0.993375615642945,1.00311219230671
20.8,0.999348737122998,0.993015533396675,1.00572233243242
21,1.00138902679681,0.993669937868937,1.00916807963383
21.2,1.0043992493511,0.995396557907306,1.01348336407548
21.4,1.00842898291603,0.998255906565366,1.01870573156329
21.6,1.0135314839324,1.00231155046656,1.02487701398237
21.8,1.01976417571589,1.00763025716076,1.03204421133972
22,1.02718918358744,1.01428193077353,1.04026068775015
22.2,1.0358715878307,1.02233632090208,1.04958605552435
22.4,1.04582282883611,1.03179242031673,1.06004402414492
22.6,1.05699506722167,1.04257298522171,1.07161665223212
22.8,1.06933836636333,1.05459565597475,1.08428717233781
23,1.08280282927158,1.06777564536202,1.0980414960495
23.2,1.09733784693317,1.08202535714897,1.11286703435929
23.4,1.1128913755764,1.09725475378926,1.12875082979154
23.6,1.12940924076739,1.11337257642458,1.14567689212091
23.8,1.1468344675933,1.13028829533613,1.16362285753731
24,1.1651066374896,1.14791436388144,1.18255639918321
24.2,1.18416127352929,1.1661681189478,1.20243204984175
24.4,1.20392925721742,1.18497269951378,1.22318907176412
24.6,1.22433628102197,1.20425668516356,1.24475068105861
24.8,1.24530234201657,1.22395261154254,1.26702448150956
25,1.26674128310133,1.24399483904686,1.28990364585648
25.2,1.28856038929001,1.26431730443838,1.31326833146903
25.4,1.3106600474853,1.28485153509896,1.3369869694259
25.6,1.3329334789861,1.30552509757063,1.36091727589776
25.8,1.35526655465389,1.32626049103733,1.38490699721201
26,1.37753770317905,1.34697441215162,1.40879448530031
26.2,1.39961792319899,1.3675772927166,1.43240922569617
26.4,1.42137091009373,1.38797301749966,1.45557243447002
26.6,1.44265330808458,1.40805874381708,1.47809782543969
26.8,1.46331509775277,1.42772475486404,1.49979263721257
27,1.48320012824398,1.44685427850285,1.5204590075922
27.2,1.50214689827762,1.4653232543715,1.53989592212737
27.4,1.52003208115274,1.483029565412,1.55795783281749
27.6,1.53684152960375,1.49994208001433,1.57464872716434
27.8,1.55258235924373,1.51604017565133,1.59000534481166
28,1.56726585956547,1.53130233890231,1.60407400430164
28.2,1.58090730563525,1.54570640621173,1.61690984715281
28.4,1.59352575642901,1.55922981172535,1.62857605550318
28.6,1.60514384239232,1.57184996378276,1.63914292975488
28.8,1.61578754475311,1.58354489868127,1.64868668514132
29,1.62548596903943,1.59429438819089,1.65728779773368
29.2,1.63427111515857,1.60408167988529,1.66502872723579
29.4,1.64217764627938,1.61289598530652,1.67199090735364
29.6,1.64924265863167,1.62073565576266,1.67825106912362
29.8,1.65550545419718,1.62761169015424,1.68387725736775
30,1.66100731811862,1.63355088567195,1.68892523339347
30.2,1.66579130250011,1.63859775876491,1.69343613992037
30.4,1.66990201811621,1.642814525532,1.69743614191964
30.6,1.67338543539001,1.64627895285761,1.70093823438294
30.8,1.67628869584598,1.64908052377876,1.70394577542049
31,1.67865993509235,1.65131575210873,1.70645691115451
31.2,1.68054811824238,1.65308345747513,1.70846908240293
31.4,1.68200288854595,1.65448046947794,1.70998314532515
31.6,1.68307442987328,1.65559779075519,1.71100707690673
31.8,1.68381334357302,1.65651687254378,1.71155961221254
32,1.68427054011803,1.65730537555286,1.71167444102639
32.2,1.68449714585467,1.65801156450825,1.7114058159384
32.4,1.68454089646146,1.6586497180726,1.71083623077972
32.6,1.6844252210612,1.65915594514632,1.71007935308748
32.8,1.68416329504161,1.65942313921916,1.70927229910757
33,1.68376828958989,1.65933075163971,1.70856572761452
33.2,1.68325339731821,1.65876096767916,1.70810746984692
33.4,1.68263182238839,1.65762136465895,1.70801964192625
33.6,1.6819167716618,1.65586665849944,1.70837670550161
33.8,1.68112144687857,1.65350861363892,1.70919540173151
34,1.68025903786862,1.65060919808211,1.71044147677088
34.2,1.67934271679494,1.6472627379838,1.71204744417642
34.4,1.67838563342873,1.64357720299612,1.71393125273629
34.6,1.67740091145429,1.63966093249783,1.71600954928004
34.8,1.67640164580129,1.63561563935871,1.7182046994532
35,1.67540090100066,1.63153381500871,1.72044744230988
35.2,1.6744117105604,1.62749844140522,1.72267727276043
35.4,1.67344707735712,1.62358359549096,1.72484196594032
35.6,1.67251997503915,1.61985518917984,1.7268970001703
35.8,1.67164335043718,1.61637149380746,1.72880522934644
36,1.67083012697904,1.61318329597465,1.73053695769526
36.2,1.67009320910541,1.61033360597419,1.73207049567386
36.4,1.66944548768475,1.60785685006168,1.73339326585204
36.6,1.66889984642614,1.60577745689155,1.73450354870021
36.8,1.66846916929039,1.60410771491311,1.73541299190332
37,1.66816634890136,1.60284474654536,1.73615003799005
37.2,1.66800429596073,1.6019664394085,1.73676443082712
37.4,1.66799556810144,1.60142483634501,1.73733362444658
37.6,1.66814361543982,1.60111037722901,1.73798331539676
37.8,1.66844257325941,1.60085858605936,1.73887977645595
38,1.66888619073142,1.60049104161324,1.74020412810725
38.2,1.66946824904403,1.59982549624679,1.74214265312359
38.4,1.67018255607903,1.59868830104551,1.74487407508167
38.6,1.67102294133335,1.59692894371959,1.7485547377947
38.8,1.67198325108194,1.59443317614085,1.75330520822754
39,1.67305734377844,1.59113090543825,1.75920212850118
39.2,1.67423908569128,1.58699674164082,1.76627742358073
39.4,1.67552234677262,1.58204391074633,1.77452415540732
39.6,1.67690099675857,1.57631435364668,1.7839062027346
39.8,1.67836890149915,1.56986820401007,1.7943685733133
40,1.679919919517,1.56277485087478,1.80584614246275
