"value","lag","rr","lo","hi"
0,0,1.15528191551883,1.12807474687043,1.18314527297733
0.2,0,1.15339939996313,1.12727445530891,1.18012979853318
0.4,0,1.15153426419181,1.12646667641955,1.17715968822313
0.6,0,1.14968826324501,1.12565092122933,1.17423890276731
0.8,0,1.14786314129299,1.12482664316527,1.17137142789516
1,0,1.14606063194767,1.12399324343964,1.16856127006677
1.2,0,1.14428245860053,1.12315008058169,1.16581244813046
1.4,0,1.14253033478653,1.12229648541711,1.16312897961385
1.6,0,1.14080596457393,1.12143178299157,1.1605148601511
1.8,0,1.13911104297968,1.12055532305625,1.15797403442714
2,0,1.13744725641017,1.11966652070973,1.15551035704357
2.2,0,1.13581628312731,1.1187649085253,1.15312754197632
2.4,0,1.1342197937395,1.11785020087762,1.15082909991023
2.6,0,1.13265945171763,1.11692237011625,1.14861826380267
2.8,0,1.13113691393579,1.11598173266657,1.14649790459469
3,0,1.12965383123659,1.11502904112753,1.14447044100042
3.2,0,1.1282118490212,1.11406557619888,1.14253774954142
3.4,0,1.12681260786378,1.11309323022081,1.14070108304307
3.6,0,1.12545774415049,1.11211457280835,1.13896100711072
3.8,0,1.12414889074295,1.11113288909522,1.13731736407122
4,0,1.12288767766629,1.11015218285573,1.13576927211128
4.2,0,1.12167573282169,1.10917714022701,1.13431516389128
4.4,0,1.12051468272361,1.10821305436418,1.13295286430238
4.6,0,1.11940615326187,1.10726571616044,1.13167970223597
4.8,0,1.11835177048853,1.10634128005852,1.13049264733995
5,0,1.11735316142995,1.10544611611817,1.1293884605987
5.2,0,1.11641195492418,1.10458665956009,1.12836384751743
5.4,0,1.11552978248389,1.10376926722572,1.12741560447349
5.6,0,1.11470827918515,1.10300008742646,1.12654075176287
5.8,0,1.11394883150519,1.10228468341125,1.1257364071971
6,0,1.11324862511781,1.10162378958511,1.12499613120506
6.2,0,1.1126013951347,1.10101389829547,1.12431084328008
6.4,0,1.1120007956439,1.10045075895818,1.12367205842389
6.6,0,1.11144050066824,1.09992956066545,1.12307190451206
6.8,0,1.11091420170675,1.0994450068638,1.12250304094257
7,0,1.11041560563582,1.09899138672829,1.12195858141372
7.2,0,1.10993843296801,1.09856264221206,1.12143202184521
7.4,0,1.10947641646681,1.09815243051689,1.12091717369022
7.6,0,1.10902330011602,1.09775418219457,1.12040810242363
7.8,0,1.10857283844231,1.09736115532478,1.11989907075609
8,0,1.10811879619011,1.09696648628712,1.11938448605295
8.2,0,1.10765494834747,1.09656323760279,1.11885885147926
8.4,0,1.1071750805222,1.09614444320369,1.11831672051048
8.6,0,1.10667298966698,1.09570315132423,1.11775265461114
8.8,0,1.10614248515248,1.09523246502758,1.11716118406743
9,0,1.10557739018718,1.09472558019648,1.11653677214131
9.2,0,1.10497154358233,1.09417582065839,1.11587378287344
9.4,0,1.10431880186045,1.0935766699941,1.1151664529832
9.6,0,1.10361304170531,1.09292179951238,1.11440886837966
9.8,0,1.10284816275097,1.092205091871,1.11359494579873
10,0,1.10201809070715,1.09142065989022,1.11271842001597
10.2,0,1.10111678081766,1.09056286023258,1.11177283695473
10.4,0,1.10013822164808,1.08962630180128,1.11075155283075
10.6,0,1.09907643919848,1.08860584891744,1.10964773926438
10.8,0,1.09792550133614,1.08749661955127,1.10845439407582
11,0,1.09667952254268,1.08629397907868,1.10716435728061
11.2,0,1.09533266896942,1.08499353019181,1.1057703316439
11.4,0,1.09387916379377,1.08359109969396,1.10426490704853
11.6,0,1.09231329286888,1.08208272294792,1.10264058789106
11.8,0,1.09062941065793,1.0804646267218,1.1008898227432
12,0,1.08882194644341,1.07873321109282,1.09900503559708
12.2,0,1.08688541080106,1.07688503093693,1.09697865814366
12.4,0,1.084814402327,1.07491677735893,1.09480316270393
12.6,0,1.08260361460573,1.07282525921227,1.0924710956358
12.8,0,1.08024796469759,1.07060748910002,1.08997524967272
13,0,1.07774955411357,1.06826663791828,1.08731664938584
13.2,0,1.07512136705649,1.06581511403399,1.08450887839873
13.4,0,1.07237723823964,1.06326588833009,1.08156666523046
13.6,0,1.06953091116221,1.06063170891061,1.07850478193451
13.8,0,1.06659602457109,1.057925113483,1.0753380037321
14,0,1.06358610065001,1.05515843974783,1.07208107416195
14.2,0,1.06051453491842,1.05234383436919,1.06874867513945
14.4,0,1.05739458781884,1.04949326100544,1.06535540140335
14.6,0,1.05423937796797,1.04661850780195,1.0619157388994
14.8,0,1.05106187704463,1.04373119468326,1.05844404670863
15,0,1.04787490628507,1.04084278073123,1.05495454217451
15.2,0,1.0446911345552,1.03796457189639,1.0514612889188
15.4,0,1.04152307796802,1.03510772926137,1.04797818746272
15.6,0,1.03838310101438,1.03228327805567,1.04451896818781
15.8,0,1.03528341917508,1.02950211761121,1.04109718638151
16,0,1.03223610298317,1.02677503244542,1.03772621911559
16.2,0,1.02925308350633,1.0241127046643,1.03441926370257
16.4,0,1.02634615922075,1.02152572789065,1.03118933746517
16.6,0,1.02352700425001,1.01902462294246,1.02804927853853
16.8,0,1.02080717794501,1.01661985551209,1.025011747404
17,0,1.01819813578383,1.01432185612801,1.02208922882839
17.2,0,1.01571124157379,1.01214104271369,1.01929403385652
17.4,0,1.01335778094177,1.01008784608984,1.01663830148087
17.6,0,1.01114897610296,1.00817273878958,1.01413399959772
17.8,0,1.00909600190289,1.0064062675605,1.01179292486389
18,0,1.00721000313256,1.00479908989924,1.00962670110702
18.2,0,1.00550211312195,1.00336201488229,1.00764677603558
18.4,0,1.00398347362282,1.002106048397,1.00586441616648
18.6,0,1.00266525599842,1.00104244261136,1.00429070016632
18.8,0,1.00155868374398,1.00018274912788,1.00293651121023
19,0,1.00067505636938,0.999538874735728,1.00181252950727
19.2,0,1.00002577468287,0.999123138031317,1.00092922680241
19.4,0,0.99962236752311,0.998948324492249,1.00029686536629
19.6,0,0.999476519995257,0.999027736996867,0.999925504595836
19.8,0,0.999600099359687,0.999375234453245,0.999825014861967
20,0,1,1,1
20.2,0,1.00066792268736,1.00044002206761,1.00089587522295
20.4,0,1.00159291056193,1.0011323623678,1.00205367062079
20.6,0,1.00276416845469,1.00206482923954,1.0034639957374
20.8,0,1.00417103487051,1.00322570622992,1.00511725428396
21,0,1.00580295533857,1.00460369618052,1.00700364612834
21.2,0,1.00764945707248,1.00618786420925,1.00911317305185
21.4,0,1.00970012489113,1.00796758188834,1.0114356458719
21.6,0,1.01194457835893,1.00993247420291,1.01396069126131
21.8,0,1.01437245011162,1.01207237024107,1.01667775724413
22,0,1.01697336534074,1.01437725806677,1.01957611686164
22.2,0,1.01973692241642,1.01683724386959,1.02264486987327
22.4,0,1.02265267463422,1.0194425152519,1.02587294260345
22.6,0,1.02571011307782,1.02218330837878,1.02924908619253
22.8,0,1.02889865059444,1.02504987865037,1.03276187358697
23,0,1.0322076068853,1.02803247453798,1.03639969563288
23.2,0,1.035626194718,1.0311213142352,1.0401507566368
23.4,0,1.03914350727205,1.03430656480114,1.044003069741
23.6,0,1.0427485066332,1.03757832350553,1.0479444524363
23.8,0,1.04643001345549,1.04092660111918,1.05196252250939
24,0,1.05017669781369,1.04434130692492,1.05604469469688
24.2,0,1.05397707127169,1.04781223525162,1.06017817829708
24.4,0,1.05781948019504,1.05132905335619,1.06434997597369
24.6,0,1.06169210033825,1.05488129049502,1.06854688397374
24.8,0,1.06558293273927,1.05845832803684,1.0727554939751
25,0,1.06947980095507,1.06204939047363,1.0769621967777
25.2,0,1.07337034967349,1.06564353718395,1.08115318805646
25.4,0,1.07724204473699,1.06922965479455,1.08531447640415
25.6,0,1.0810821746143,1.0727964499693,1.08943189390888
25.8,0,1.08487785335558,1.07633244243004,1.09349110953505
26,0,1.0886160250662,1.07982595797896,1.09747764560965
26.2,0,1.09228346993281,1.0832651212463,1.1013768977587
26.4,0,1.0958668118336,1.08663784782714,1.10517415869485
26.6,0,1.0993525275628,1.08993183539536,1.1088546463278
26.8,0,1.10272695769609,1.09313455328727,1.1124035367585
27,0,1.10597794750473,1.09623458043374,1.11580791392552
27.2,0,1.10910314118494,1.09922849955975,1.11906648915942
27.4,0,1.11210392582699,1.10211595897641,1.12218240899847
27.6,0,1.11498176440478,1.10489666364316,1.12515891835176
27.8,0,1.11773818712698,1.10757038428241,1.12799933321741
28,0,1.12037478923929,1.11013697181292,1.13070702105624
28.2,0,1.12289322881902,1.11259637193221,1.1332853810568
28.4,0,1.12529522456559,1.11494863987769,1.13573782427237
28.6,0,1.12758255359041,1.11719395526663,1.13806775373934
28.8,0,1.12975704920985,1.11933263679692,1.14027854480483
29,0,1.13182059874443,1.1213651564842,1.14237352599626
29.2,0,1.13377514132769,1.12329215301955,1.14435596085773
29.4,0,1.13562266572776,1.12511444376046,1.14622903124795
29.6,0,1.13736520818479,1.12683303482189,1.14799582264084
29.8,0,1.13900485026717,1.12844912871976,1.14965931198331
30,0,1.14054371674934,1.12996412903825,1.15122235864567
30.2,0,1.141983973514,1.13137964164633,1.15268769894526
30.4,0,1.1433278254812,1.13269747207406,1.15405794463899
30.6,0,1.14457751456699,1.1339196187675,1.15533558567079
30.8,0,1.14573531767393,1.13504826206424,1.15652299733761
31,0,1.14680354471567,1.1360857488544,1.15762245191315
31.2,0,1.14778453667792,1.13703457300499,1.15863613465619
31.4,0,1.14868066371783,1.13789735171471,1.15956616404011
31.6,0,1.14949432330354,1.13867679802571,1.16041461598064
31.8,0,1.1502279383961,1.13937568974334,1.16118355181421
32,0,1.15088395567507,1.13999683500576,1.16187504978783
32.2,0,1.15146484380981,1.14054303470832,1.1624912398584
32.4,0,1.1519730917777,1.14101704193305,1.16303434165335
32.6,0,1.15241120723085,1.14142151847597,1.16350670550217
32.8,0,1.15278171491256,1.14175898852295,1.16391085648986
33,0,1.15308715512482,1.14203178952111,1.16424954148728
33.2,0,1.15333008224783,1.14224202035349,1.16452577905175
33.4,0,1.15351306331277,1.14239148708225,1.16474291193436
33.6,0,1.15363867662857,1.1424816468134,1.16490466164196
33.8,0,1.15370951046369,1.14251355069143,1.16501518404648
34,0,1.1537281145382,1.14248774075607,1.16507907681791
34.2,0,1.15369640793841,1.14240365525432,1.16510079039765
34.4,0,1.15361585805139,1.14225995003525,1.16508466212666
34.6,0,1.15348792815449,1.14205505709901,1.16503525125829
34.8,0,1.15331408683943,1.14178727830304,1.16495726321208
35,0,1.15309580742157,1.14145487515767,1.16485545774164
35.2,0,1.15283456736689,1.14105616306485,1.16473455272024
35.4,0,1.15253184773683,1.14058960652891,1.16459912701652
35.6,0,1.1521891326512,1.14005391070023,1.16445352710044
35.8,0,1.15180790876936,1.13944810396674,1.1643017826658
36,0,1.15138966478977,1.13877160639592,1.16414753646727
36.2,0,1.15093589096816,1.13802427973043,1.16399399266987
36.4,0,1.15044807865431,1.13720645624223,1.16384388640639
36.6,0,1.14992771984762,1.13631894577485,1.16369947521404
36.8,0,1.1493763067716,1.1353630223695,1.16356255095472
37,0,1.14879533146721,1.13434039360829,1.16343446908634
37.2,0,1.14818628540532,1.13325315695165,1.16331619100807
37.4,0,1.14755065911813,1.13210374779668,1.16320833475321
37.6,0,1.14688994184971,1.13089488379488,1.16311122949125
37.8,0,1.14620562122563,1.12962950931,1.16302496995828
38,0,1.14549918294173,1.12831074298006,1.16294946785185
38.2,0,1.14477211047194,1.12694183036898,1.16288449820459
38.4,0,1.14402588479523,1.12552610279736,1.16282973964679
38.6,0,1.14326198414162,1.12406694271389,1.16278480819636
38.8,0,1.14248188375721,1.12256775543663,1.16274928474651
39,0,1.14168705568821,1.12103194674925,1.16272273676567
39.2,0,1.1408789685839,1.11946290564915,1.1627047349124
39.4,0,1.14005908751843,1.11786399147452,1.16269486533771
39.6,0,1.13922887383153,1.11623852464773,1.16269273843691
39.8,0,1.13838978498785,1.11458978033218,1.16269799475324
40,0,1.13754327445504,1.11292098438448,1.16271030865105
0,1,1.1220801794723,1.10370015530677,1.14076628793681
0.2,1,1.12062185781216,1.10299016169559,1.13853540295944
0.4,1,1.11917693871018,1.10227762821312,1.13633533701594
0.6,1,1.11774684658724,1.10156246711029,1.13416901025427
0.8,1,1.11633299887995,1.10084454423789,1.13203937005569
1,1,1.11493680624158,1.10012368001122,1.12994939068986
1.2,1,1.11355967276098,1.09939965260708,1.12790207078837
1.4,1,1.11220299619927,1.0986722042637,1.12590042776555
1.6,1,1.11086816824411,1.09794105175353,1.12394748811619
1.8,1,1.1095565747816,1.09720590228623,1.12204627233214
2,1,1.1082695961855,1.09646647623216,1.12019977304724
2.2,1,1.10700860762379,1.09572253806832,1.11841092500806
2.4,1,1.10577497938254,1.09497393674927,1.11668256566773
2.6,1,1.1045700772068,1.09422065618681,1.11501738571853
2.8,1,1.10339526265865,1.09346287558394,1.11341786981783
3,1,1.1022518934923,1.09270103795612,1.11188622917382
3.2,1,1.1011413240461,1.09193592334198,1.11042432948902
3.4,1,1.1000649056516,1.09116872117955,1.10903361978531
3.6,1,1.09902398705951,1.09040109452373,1.10771506943485
3.8,1,1.09801991488263,1.08963522777293,1.10646912172897
4,1,1.09705403405575,1.08887384991528,1.10529567197489
4.2,1,1.09612768831256,1.08812022730751,1.10419407610726
4.4,1,1.09524222067962,1.08737812351074,1.10316319229074
4.6,1,1.09439897398747,1.08665172804413,1.10220145365304
4.8,1,1.09359929139892,1.08594556004537,1.10130696615975
5,1,1.09284451695471,1.0852643557238,1.10047762274607
5.2,1,1.09213599613658,1.08461294952399,1.09971122378791
5.4,1,1.09147507644792,1.08399615804568,1.09900559486743
5.6,1,1.09086310801224,1.08341867347004,1.09835869508393
5.8,1,1.09030123944089,1.08288475828532,1.09776851472974
6,1,1.08978721956815,1.08239482319185,1.0972301035512
6.2,1,1.08931600198234,1.08194590145873,1.09673630684763
6.4,1,1.08888247055039,1.08153446539036,1.09628039846514
6.6,1,1.08848152148459,1.08115656704141,1.09585610329833
6.8,1,1.08810806170274,1.08080789285526,1.09545753854063
7,1,1.08775700742759,1.08048381631657,1.09507915744771
7.2,1,1.08742328302428,1.08017944757903,1.09471569664982
7.4,1,1.08710182007515,1.07988967972477,1.09436212735352
7.6,1,1.08678755669114,1.07960923174292,1.094013610343
7.8,1,1.08647543705908,1.07933268854502,1.09366545446147
8,1,1.08616041122442,1.07905453841978,1.09331307816831
8.2,1,1.08583743510898,1.07876920831332,1.09295197378455
8.4,1,1.08550147076297,1.07847109723678,1.09257767412366
8.6,1,1.08514748685114,1.07815460797634,1.09218572133134
8.8,1,1.08477045937223,1.07781417713317,1.09177163790567
9,1,1.08436537261123,1.0774443033705,1.09133090001958
9.2,1,1.08392722032367,1.0770395736092,1.09085891340229
9.4,1,1.08345100715111,1.07659468680899,1.09035099214179
9.6,1,1.08293175026675,1.07610447491138,1.08980234082977
9.8,1,1.08236448124992,1.07556392051451,1.08920804047703
10,1,1.08174424818804,1.0749681709014,1.08856303857506
10.2,1,1.08106611800424,1.07431254814875,1.08786214357327
10.4,1,1.08032517900873,1.07359255519282,1.08710002389187
10.6,1,1.07951654367148,1.07280387790373,1.08627121141427
10.8,1,1.07863535161365,1.07194238339963,1.08537010922252
11,1,1.07767677281474,1.07100411499539,1.08439100317499
11.2,1,1.07663601103188,1.0699852843078,1.08332807679734
11.4,1,1.0755083074276,1.06888226111941,1.08217542887687
11.6,1,1.0742889444017,1.06769156162764,1.0809270931245
11.8,1,1.07297324962244,1.06640983567869,1.07957705929507
12,1,1.07155660025176,1.06503385351082,1.07811929522995
12.2,1,1.07003442735892,1.06356049241998,1.07654776939685
12.4,1,1.06840222051602,1.0619867236211,1.07485647363971
12.6,1,1.06665553256871,1.06030959941782,1.073039446011
12.8,1,1.06479008268758,1.05852632722759,1.07109090348212
13,1,1.06280738896951,1.05663921317994,1.06901157174434
13.2,1,1.0607177754732,1.0546582416552,1.06681212431338
13.4,1,1.05853226782466,1.05259389731629,1.06450414056441
13.6,1,1.05626183389084,1.05045651306297,1.06209923767455
13.8,1,1.053917374659,1.0482562788135,1.05960904318679
14,1,1.05150971623437,1.04600324872069,1.05704517140609
14.2,1,1.04904960294717,1.04370734726418,1.05441920316871
14.4,1,1.04654769155789,1.0413783745855,1.05174266859642
14.6,1,1.04401454654804,1.0390260113706,1.04902703250528
14.8,1,1.04146063648206,1.03665982353365,1.04628368218653
15,1,1.03889633142501,1.03428926691611,1.04352391731422
15.2,1,1.03633190139958,1.03192369218451,1.04075894176334
15.4,1,1.03377751586563,1.0295723500877,1.0379998571429
15.6,1,1.03124324420507,1.02724439721936,1.03525765786339
15.8,1,1.02873905719489,1.0249489024234,1.03254322756576
16,1,1.02627482945132,1.02269485397737,1.02986733674191
16.2,1,1.02386034282891,1.02049116769357,1.0272406413737
16.4,1,1.02150529075883,1.01834669608674,1.02467368240905
16.6,1,1.01921928351184,1.01627023877314,1.02217688588072
16.8,1,1.01701185437273,1.01427055428653,1.01976056345463
17,1,1.01489246671459,1.01235637352208,1.01743491317246
17.2,1,1.01287052196279,1.01053641504829,1.01521002012792
17.4,1,1.01095536844103,1.00881940255579,1.01309585679109
17.6,1,1.00915631109361,1.00721408473729,1.01110228267479
17.8,1,1.00748262208088,1.0057292579051,1.00923904302955
18,1,1.0059435522473,1.00437379164145,1.00751576627077
18.2,1,1.00454834346476,1.00315665772366,1.00594195990052
18.4,1,1.00330624185678,1.00208696244982,1.00452700480991
18.6,1,1.00222651191264,1.00117398228389,1.00328014806097
18.8,1,1.00131845150437,1.00042720241764,1.00221049457684
19,1,1.00059140782328,0.999856357396267,1.00132699862705
19.2,1,1.00005479425696,0.999471472388807,1.00063845656946
19.4,1,0.999718108232122,0.999282903064108,1.00015350293959
19.6,1,0.999590950053542,0.99930137148121,0.999880612540249
19.8,1,0.999683039574194,0.999537991830961,0.999828108365999
20,1,1,1,1
20.2,1,1.00053500694456,1.00038794995197,1.00068208555452
20.4,1,1.00127903519848,1.00098169034405,1.00157646838016
20.6,1,1.00222316668973,1.00177132544183,1.00267521173715
20.8,1,1.00335857178948,1.00274729606866,1.00397022014458
21,1,1.00467649152208,1.00390034011292,1.00545324300178
21.2,1,1.00616822064805,1.00522145168474,1.00711588132677
21.4,1,1.00782509159355,1.00670184089594,1.00894959558392
21.6,1,1.00963845920395,1.00833289561488,1.01094571320329
21.8,1,1.0115996863033,1.01010614600027,1.01309543495112
22,1,1.01370013004524,1.01201323218986,1.01538983974564
22.2,1,1.01593112904439,1.01404587521992,1.01781988782072
22.4,1,1.01828399128093,1.01619585105925,1.02037642233845
22.6,1,1.02074998277377,1.01845496753409,1.02305016966573
22.8,1,1.02332031702121,1.02081504387117,1.02583173858529
23,1,1.02598614521024,1.02326789257531,1.02871161872783
23.2,1,1.02873854719869,1.02580530336929,1.03168017850604
23.4,1,1.03156852327645,1.02841902894737,1.03472766281265
23.6,1,1.03446698671432,1.0311007723207,1.0378441907218
23.8,1,1.03742475711107,1.03384217556134,1.04101975340926
24,1,1.04043255455109,1.03663480977643,1.04424421248517
24.2,1,1.04348099458644,1.03947016616586,1.04750729891498
24.4,1,1.04656058405878,1.04233964803418,1.05079861268939
24.6,1,1.04966171777758,1.04523456363982,1.05410762339415
24.8,1,1.05277467607218,1.04814611977306,1.05742367182436
25,1,1.05588962323583,1.05106541595697,1.06073597278625
25.2,1,1.05899660688065,1.0539834391643,1.06403361923213
25.4,1,1.0620855582223,1.05689105893594,1.06730558788156
25.6,1,1.06514629331372,1.05977902277438,1.07054074649438
25.8,1,1.06816851524657,1.06263795166632,1.07372786297995
26,1,1.07114181733901,1.06545833556215,1.07685561655206
26.2,1,1.07405568732741,1.06823052860481,1.07991261117302
26.4,1,1.07689951257876,1.0709447438545,1.0828873915739
26.6,1,1.07966258633924,1.07359104719725,1.08576846219413
26.8,1,1.08233411503282,1.07615935005133,1.0885443094538
27,1,1.08490454050062,1.0786405262564,1.09120493190062
27.2,1,1.08737222298304,1.08103215001583,1.09374947941907
27.4,1,1.08973853703742,1.08333435405901,1.09618057865057
27.6,1,1.09200490943799,1.08554731414366,1.09850091902936
