"value","fit","lo","hi"
0,1.60329797147876,1.4785279408143,1.73859709673945
0.2,1.5948072915331,1.47878576193189,1.71993155641721
0.4,1.58652658908073,1.47898564248419,1.70188712152224
0.6,1.57846650766216,1.4791194908048,1.68448629830136
0.8,1.57063750217218,1.47917773695035,1.66775236106225
1,1.56304985620839,1.47914897523511,1.65170979657728
1.2,1.55571370011111,1.47901953077181,1.63638482545963
1.4,1.54863902968421,1.47877295397245,1.62180599653159
1.6,1.54183572559008,1.47838947355231,1.60800482365026
1.8,1.53531357341636,1.47784549441481,1.59501637865729
2,1.52908228441605,1.4771133329486,1.58287964800082
2.2,1.52315151692702,1.47616156276469,1.57163728011721
2.4,1.51753089848155,1.47495660246873,1.56133409212971
2.6,1.51223004862118,1.47346643289305,1.55201344862859
2.8,1.50725860243677,1.47166730992679,1.54371064662206
3,1.50262623485918,1.46955353295065,1.53644324691837
3.2,1.49834268573064,1.467148364817,1.53020025630642
3.4,1.49441778569277,1.46451181750922,1.52493444675178
3.6,1.49086148293248,1.46174055868854,1.52056255679584
3.8,1.48768387083343,1.45895848796336,1.51697482676665
4,1.48489514693557,1.45630152458761,1.51405018821029
4.2,1.48249246079095,1.45388466069844,1.51166317089156
4.4,1.48044444124828,1.45176701561844,1.50968834533638
4.6,1.47871635998433,1.44998032216169,1.50802189510093
4.8,1.47727386682078,1.44853652369272,1.50658132666771
5,1.47608292050701,1.44743134537448,1.50530164706968
5.2,1.47510972756782,1.44664765246546,1.50413177988215
5.4,1.47432068904725,1.44615821269733,1.50303160129249
5.6,1.47368235501639,1.44592780517538,1.50196965278168
5.8,1.47316138674438,1.44591475790971,1.50092144749389
6,1.47272452645829,1.44607204040391,1.49986824323495
6.2,1.47233857463903,1.44634804425908,1.49879614866875
6.4,1.47197037481727,1.44668718358701,1.49769543058193
6.6,1.47158680584517,1.44703045138672,1.49655988584227
6.8,1.47115478162712,1.44731608044395,1.49538612936606
7,1.47064125829506,1.44748047060933,1.4941726361871
7.2,1.47001324881187,1.44745953971057,1.49291838037458
7.4,1.4692378449794,1.44719060258096,1.49162096635364
7.6,1.46828224681629,1.44661475106946,1.49027427981231
7.8,1.46711379925449,1.44567949570993,1.4888658975591
8,1.4657000360827,1.44434120108189,1.48737472431281
8.2,1.46400873103979,1.44256673366871,1.48576943758426
8.4,1.46200795593157,1.44033386584101,1.48400819691838
8.6,1.45966614561029,1.43763033460446,1.48203971866454
8.8,1.45695216961846,1.43445186415186,1.47980540693224
9,1.45383541025642,1.43079970843474,1.47724198408436
9.2,1.45028584678777,1.42667826076457,1.4742840731769
9.4,1.44627414544787,1.42209308586795,1.47086637617278
9.6,1.44177175486874,1.41704949836512,1.46692532302896
9.8,1.43675100647969,1.41155164108361,1.46240023711476
10,1.43118521938634,1.40560193268005,1.45723414614581
10.2,1.42504890351485,1.39920079448783,1.45137451708798
10.4,1.41833492050034,1.392357097861,1.44479742287459
10.6,1.41107388751009,1.38509961299269,1.43753524824885
10.8,1.40330137461124,1.37745643905449,1.42963123344758
11,1.3950529316726,1.36945275041242,1.42113167583344
11.2,1.38636397794834,1.36111140938328,1.41208505497989
11.4,1.37726969929005,1.3524534047166,1.40254135038388
11.6,1.36780495311371,1.34349817907447,1.39255148901746
11.8,1.35800418118831,1.3342638933045,1.38216687521805
12,1.347901330258,1.32476766578413,1.37143896476059
12.2,1.33752978045904,1.31502581930322,1.36041885060684
12.4,1.32692228144687,1.30505416368267,1.34915683195222
12.6,1.31611089610716,1.29486833732029,1.33770194306909
12.8,1.30512695168825,1.28448422268168,1.32610142650634
13,1.29400099816012,1.27391843722102,1.31440014864066
13.2,1.2827627735776,1.26318888134753,1.30263997536232
13.4,1.27144117620222,1.25231530053604,1.2908591501282
13.6,1.26006424311831,1.24131979504719,1.27909174019493
13.8,1.24865913506392,1.23022719691392,1.26736723061381
14,1.23725212718614,1.21906523901469,1.25571034037841
14.2,1.22586860542301,1.20786446920304,1.24414110695158
14.4,1.21453306821018,1.19665790815479,1.23267523970203
14.6,1.20326913320969,1.18548049857317,1.22132469380797
14.8,1.1920995487603,1.17436842909545,1.2100983804964
15,1.18104620975383,1.16335842819693,1.19900291755807
15.2,1.17013017764902,1.15248711165358,1.18804333584295
15.4,1.15937170434418,1.14179044033892,1.17722368426465
15.6,1.14879025964159,1.13130331461104,1.16654750640515
15.8,1.13840456204974,1.12105930598026,1.15601818742539
16,1.12823261268508,1.11109051003414,1.14563918675455
16.2,1.11829173205095,1.10142749655237,1.13541418013261
16.4,1.10859861255434,1.09209931830969,1.12534717598724
16.6,1.09917161495634,1.08313129614214,1.1154494782202
16.8,1.09003327235813,1.07454216141143,1.10574771052919
17,1.08120599673646,1.06634827010935,1.09627074019541
17.2,1.07271151647228,1.0585646404601,1.08704745425098
17.4,1.06457095217113,1.05120530128059,1.0781065419152
17.6,1.05680489673152,1.04428356738648,1.0694763612443
17.8,1.04943349952923,1.03781226307243,1.06118486851731
18,1.04247655463929,1.03180390855776,1.05325959512176
18.2,1.03595359307311,1.0262708800429,1.04572766105984
18.4,1.02988397906749,1.02122555108621,1.03861581725186
18.6,1.02428701052277,1.01668042097877,1.03195051097337
18.8,1.01918202375214,1.01264823438919,1.02575797030452
19,1.01458850277111,1.00914209558094,1.02006430458412
19.2,1.01052619342725,1.00617557984538,1.01489561867471
19.4,1.00701522274522,1.00376284435781,1.01027813944378
19.6,1.00407622394216,1.00191874039737,1.00623835330807
19.8,1.00173046765339,1.00065892873816,1.00280315400818
20,1,1,1
20.2,0.998907788228644,0.997857080976999,0.999959601836851
20.4,0.998477874760652,0.996403493068933,1.00055657504362
20.6,0.99873554060447,0.995669422182936,1.00181110099737
20.8,0.999707479212966,0.99568633473132,1.00374486334999
21,1.00142198200772,0.996487174576288,1.00638122761056
21.2,1.00390913694754,0.998106564336008,1.00974544328062
21.4,1.00720104169054,1.0005810081196,1.01386487465815
21.6,1.01133203309038,1.00394909111063,1.01876926849273
21.8,1.01633893498113,1.00825166893313,1.02449106962707
22,1.02226132644415,1.01353203601866,1.03106580000015
22.2,1.02914183301889,1.01983605668551,1.03853252248375
22.4,1.0370264436215,1.02721223456469,1.04693441976574
22.6,1.04596469136967,1.03571149806862,1.05631938781427
22.8,1.05598221612039,1.04535576680674,1.06671668743822
23,1.06704819423192,1.05610168910811,1.07810815999655
23.2,1.0791248366081,1.06789714781039,1.09047057141425
23.4,1.09217425324681,1.08068907485722,1.10378149201964
23.6,1.10615794955848,1.09442302743136,1.11801869907946
23.8,1.12103633899447,1.10904295005544,1.13315942658786
24,1.13676827083217,1.12449115089697,1.14917943154998
24.2,1.15331057266999,1.14070849092146,1.16605187707327
24.4,1.17061760787163,1.15763473957466,1.18374607897703
24.6,1.18864084886846,1.17520900144817,1.20222621325884
24.8,1.20732846788392,1.19337008503137,1.221450116478
25,1.22662494728422,1.21205668703805,1.24136831007211
25.2,1.24647071238376,1.23120730978188,1.26192333694457
25.4,1.26680179013697,1.25075989942196,1.28304942957949
25.6,1.28754949772602,1.27065126088551,1.30467246216653
25.8,1.30864016559718,1.29081634609056,1.32671009954353
26,1.32999489999927,1.31118751780952,1.349072051097
26.2,1.35152939052309,1.33169387083602,1.37166035937447
26.4,1.37315376852003,1.35226066069792,1.39436968537382
26.6,1.39477252257492,1.37280886100387,1.41708758224903
26.8,1.41628447740888,1.39325484994575,1.43969477014736
27,1.4375828426755,1.41351021510815,1.46206543643327
27.2,1.45855533807155,1.43348166121361,1.4840675899655
27.4,1.47908440099468,1.45307100477532,1.50556349832612
27.6,1.49904748262916,1.47217524036082,1.52641023539158
27.8,1.51831743781172,1.4906866635865,1.54646036506208
28,1.53676301330855,1.50849303493989,1.56556278641837
28.2,1.55424943821227,1.52547776521693,1.58356376688297
28.4,1.57063911903514,1.54152009687515,1.60030819399902
28.6,1.58579244072968,1.55649524473099,1.61564108440949
28.8,1.59956900902801,1.57027472586499,1.62940979211993
29,1.61188292406017,1.58277225657709,1.64152900082768
29.2,1.62276581199158,1.59399743302472,1.65205340109721
29.4,1.63226956801539,1.60397448792288,1.66106379043433
29.6,1.64045164908373,1.61273024156397,1.66864956309854
29.8,1.64737449949469,1.62029403230049,1.6749075707773
30,1.65310498251673,1.6266978239858,1.6799408242434
30.2,1.65771382441688,1.63197659454713,1.68385694552525
30.4,1.66127507662644,1.63616910218754,1.6867662862783
30.6,1.66386560112981,1.63931908067896,1.68877967154293
30.8,1.6655645835107,1.64147681505992,1.69000582670058
31,1.66645307744949,1.64270089648985,1.69054869652471
31.2,1.66661358384635,1.64305979418521,1.69050502464433
31.4,1.66612966715624,1.64263279917305,1.68996264361438
31.6,1.66508561097328,1.64150997230246,1.68899984687963
31.8,1.66356611439839,1.63979097482292,1.68768596697112
32,1.66165603027238,1.63758297154599,1.68608297162122
32.2,1.65944014595915,1.63499802180798,1.68424766347781
32.4,1.65700300702462,1.63215041846276,1.68223402342697
32.6,1.65442878387713,1.62915431895623,1.68009535319821
32.8,1.65180118121596,1.6261218265916,1.6778860585036
33,1.64920338997601,1.62316151182627,1.67566308201096
33.2,1.64671808135883,1.62037725335666,1.67348710546064
33.4,1.64442744250189,1.61786722429063,1.67142369475898
33.6,1.64241325335895,1.61572282841089,1.66954458238498
33.8,1.64075700444311,1.61402738554232,1.66792928778255
34,1.63954005522056,1.61285436634782,1.66666727558273
34.2,1.63884383313647,1.6122649988886,1.66586083011222
34.4,1.6387500735045,1.61230515660872,1.66562873808556
34.6,1.63934110079967,1.61300168010872,1.66611062958715
34.8,1.64070015226101,1.61435881479113,1.66747129880018
35,1.64291142432883,1.61635601250985,1.6699031199191
35.2,1.64601095826368,1.61890176385171,1.67357410759626
35.4,1.64993285744684,1.62180543319611,1.67854810346631
35.6,1.65459895094549,1.62489942183816,1.68484132105413
35.8,1.65993120634164,1.62806528299743,1.69242083751942
36,1.66585138394636,1.63123280681326,1.70120464829132
36.2,1.67228072935199,1.63436816533756,1.71107275402935
36.4,1.67913970403374,1.63745846700253,1.72188193012542
36.6,1.6863477541108,1.64049884574688,1.73347805465834
36.8,1.69382311772308,1.64348426181506,1.74570382010509
37,1.70148267177327,1.64640539303249,1.75840245336682
37.2,1.70924181902416,1.64924714243312,1.77141892244903
37.4,1.71701441672719,1.65198850342463,1.78459989348437
37.6,1.72471274808725,1.65460298913079,1.7977932367796
37.8,1.7322475379395,1.65705920597884,1.81084750736166
38,1.73952801402261,1.65932137831829,1.82361159875867
38.2,1.7464620151773,1.66134974872293,1.83593465060669
38.4,1.75295614767675,1.66310083248138,1.84766623626358
38.6,1.75891599070298,1.66452752527284,1.85865683527435
38.8,1.76424635171988,1.66557906746045,1.86875858994956
39,1.76885157215668,1.66620086563737,1.87782634665976
39.2,1.77263588340603,1.66633416623287,1.88571898651183
39.4,1.7755038126574,1.66591556907594,1.89230105491453
39.6,1.77736063753287,1.66487636184567,1.89744470415161
39.8,1.77811288787069,1.66314165021348,1.90103196658325
40,1.77766889231704,1.66062925458442,1.90295737714347
