"value","fit","lo","hi"
0,1.5595442480412,1.47051438352299,1.72119777997783
0.2,1.55861957873503,1.47121788604947,1.71650999565111
0.4,1.55764464045943,1.47220706342795,1.71110553564436
0.6,1.55661880379256,1.47389148616629,1.70498181213367
0.8,1.55554159785569,1.47481017565203,1.69867791828491
1,1.55441271388999,1.47555345612793,1.6923448534104
1.2,1.553232006273,1.47674717793894,1.6864449825275
1.4,1.5519994906848,1.47827097600979,1.68034759790453
1.6,1.55071533914959,1.47833838884558,1.67390081598277
1.8,1.54937987169952,1.47931025680139,1.66849356774266
2,1.54799354443504,1.47993063132408,1.6628973397028
2.2,1.54655693378877,1.48078761909827,1.65731588831623
2.4,1.54507071683915,1.48151394161258,1.6497680880708
2.6,1.54353564756436,1.48241877909284,1.64204446115772
2.8,1.54195252897708,1.48391230939229,1.63476187925866
3,1.54032218113537,1.48422726888676,1.63002123574534
3.2,1.53864540508477,1.48542980767578,1.62280462252104
3.4,1.53692294285005,1.48595939402203,1.61518759954401
3.6,1.53515543366256,1.48651556227187,1.60827680486197
3.8,1.53334336667932,1.48718887179615,1.60089338005283
4,1.53148703052233,1.48730781762161,1.5943485794923
4.2,1.52958646004142,1.48733053985908,1.58925161860438
4.4,1.52764138077881,1.48766822484453,1.58382260973038
4.6,1.52565115168952,1.48763991058179,1.57848288742996
4.8,1.52361470674687,1.48743877443933,1.57373862758317
5,1.52153049613637,1.48701204822434,1.56799930668925
5.2,1.51939642781321,1.48652795144679,1.56280957812149
5.4,1.51720981026796,1.48596166271427,1.55743956575786
5.6,1.51496729740979,1.48550788887362,1.55166982291096
5.8,1.51266483653754,1.48493148652668,1.54740194650687
6,1.51029762042274,1.48369046356946,1.54342867891494
6.2,1.50786004457587,1.4822977072861,1.53945101855693
6.4,1.50534567080543,1.48109910447157,1.53524457133488
6.6,1.50274719820681,1.47899125859977,1.53091790160274
6.8,1.50005644273371,1.47680820606972,1.52652175954543
7,1.49726432650614,1.47437702117652,1.52163572498112
7.2,1.49436087799402,1.47200872091068,1.51754594197588
7.4,1.49133524418179,1.46951909065427,1.51403340644599
7.6,1.4881757157651,1.46633508247651,1.51072150229286
7.8,1.48486976635302,1.46314657253594,1.50746475285314
8,1.48140410654572,1.45969658537286,1.50319082381631
8.2,1.47776475362737,1.45614862373274,1.49990103906953
8.4,1.4739371174535,1.45270440728711,1.49569895258979
8.6,1.46990610292205,1.44838363626819,1.49129312429268
8.8,1.46565622919518,1.44411740897966,1.4868889367616
9,1.46117176558679,1.4396378426561,1.48280595978068
9.2,1.45643688374796,1.43412909591866,1.47804684494649
9.4,1.45143582547312,1.42857730166504,1.47279136813446
9.6,1.44615308511588,1.4228455671205,1.46762067503605
9.8,1.4405736052517,1.41692751286135,1.46168648740704
10,1.43468298385975,1.41011512522473,1.45645460281849
10.2,1.42846769092812,1.40350687927712,1.45024370072017
10.4,1.42191529202304,1.39653302011443,1.44394784721653
10.6,1.41501467601573,1.38943947356567,1.43742029790069
10.8,1.40775628384047,1.3820933117724,1.43092591652068
11,1.40013233487842,1.37374063245512,1.4235423264371
11.2,1.39213704733463,1.36530109218618,1.41568951611369
11.4,1.38376684881427,1.35664695298992,1.40746603875817
11.6,1.37502057321963,1.34743796236302,1.39887131804017
11.8,1.36589964009172,1.33840686439146,1.38970820331519
12,1.35640821261839,1.32911756382549,1.38018691327899
12.2,1.34655333072939,1.31971495074578,1.37024217497287
12.4,1.33634501600092,1.30925696422008,1.36049315009014
12.6,1.32579634549607,1.29893003456041,1.35002466169222
12.8,1.31492349216798,1.28831881695876,1.33927148788951
13,1.30374573004085,1.27717535716515,1.32778116032032
13.2,1.29228540304585,1.26604749115945,1.31674353899694
13.4,1.28056785710798,1.25504957235874,1.30521206541893
13.6,1.26862133583604,1.24375975678018,1.29369446568321
13.8,1.25647684093762,1.23206669727391,1.28150562231838
14,1.24416795924008,1.22008883587847,1.2686648986157
14.2,1.23173065892262,1.20803106943309,1.25575322048624
14.4,1.21920305822808,1.19613778818598,1.24258069583244
14.6,1.20662517050346,1.18446005010804,1.2293255234816
14.8,1.19403862989599,1.17269765598664,1.21616255116463
15,1.18148640238835,1.16110761225144,1.20338400722115
15.2,1.16901248708271,1.14988087069075,1.19017075786085
15.4,1.15666161272904,1.1383234246672,1.17738995348221
15.6,1.14447893443887,1.12678166569457,1.16484094417495
15.8,1.1325097353338,1.11530626039408,1.15227792992397
16,1.12079913755788,1.10459739343642,1.13998692652608
16.2,1.10939182664716,1.09406849212538,1.12811737921272
16.4,1.09833179271685,1.08429477803169,1.11660088551965
16.6,1.08766209131526,1.0744037020221,1.10537663346256
16.8,1.07742462612762,1.06509257941373,1.09410978928997
17,1.06765995501452,1.05591179520397,1.0839401029442
17.2,1.0584071201631,1.04755798708441,1.07374066640979
17.4,1.04970350243512,1.03939949564077,1.0642567842836
17.6,1.04158469933722,1.03207999593486,1.05517539560735
17.8,1.03408442543071,1.02523665491996,1.04679004666352
18,1.02723443345838,1.01903243412222,1.03922736260556
18.2,1.02106445400456,1.01354800007651,1.0319938505308
18.4,1.01560215113119,1.00892014696863,1.02545229696613
18.6,1.01087309115329,1.0049663297494,1.0196865767234
18.8,1.00690072153281,1.00173168344915,1.01454774437837
19,1.0037063567823,0.999374299994452,1.01012014882818
19.2,1.00130916827578,0.997800056611986,1.00641270909945
19.4,0.999726174959971,0.99707533929024,1.00351531756377
19.6,0.998972232139296,0.997202821520984,1.00156075756826
19.8,0.999060015766453,0.998177462866911,1.00038509940323
20,1,1,1
20.2,1.0018004261832,1.00046657671607,1.00268476018907
20.4,1.00446726184727,1.00178246216396,1.00625268825211
20.6,1.00800414883843,1.00400870936696,1.01070548248309
20.8,1.01241234020337,1.00707226890635,1.0160019242237
21,1.01769062603324,1.01109823049659,1.0221486220583
21.2,1.02383524905192,1.01587749598201,1.02917317081499
21.4,1.03083981132989,1.02160331344121,1.03715394366536
21.6,1.0386951740992,1.02820955302075,1.04600402791226
21.8,1.04738935322438,1.0355373240945,1.05561785968021
22,1.05690741343534,1.04377591635315,1.06602027639293
22.2,1.06723136493592,1.05310018837065,1.07723985247373
22.4,1.07834006644857,1.06326609798377,1.08918694742114
22.6,1.09020913912606,1.07419435820345,1.10189071008152
22.8,1.10281089603543,1.08553412006377,1.11523559767422
