"value","lag","rr","lo","hi"
0,0,1.11013943403382,1.08649634944067,1.14962654471191
0.2,0,1.11009109889369,1.08649204614567,1.14956093920306
0.4,0,1.11004025118763,1.08643265895729,1.14949209558485
0.6,0,1.10998683705642,1.08637002711147,1.14941996977318
0.8,0,1.10993080332571,1.0863040601919,1.14934452090892
1,0,1.10987209659936,1.0862486749162,1.14923636463545
1.2,0,1.10981066212158,1.08623568219336,1.14910834301766
1.4,0,1.10974644238555,1.08622042879547,1.1489754748372
1.6,0,1.10967937546675,1.08620269668231,1.14883776349792
1.8,0,1.10960939305956,1.08618225263859,1.14869520994576
2,0,1.10953641819712,1.08615884700146,1.1485479413322
2.2,0,1.10946036263514,1.08613221220622,1.148203620459
2.4,0,1.10938112388303,1.08610206113184,1.14802781165157
2.6,0,1.10929858186718,1.08606694624933,1.14787303680912
2.8,0,1.10921259521478,1.0860266983721,1.14771346493619
3,0,1.10912299714954,1.08598211637061,1.14746717720539
3.2,0,1.10902959099479,1.08593283850393,1.14717899792586
3.4,0,1.10893214528397,1.08587847186819,1.14689501389926
3.6,0,1.1088303884838,1.08574337815446,1.14669755002846
3.8,0,1.10872400334119,1.08567197289325,1.14643525202621
4,0,1.10861262087148,1.0857067203254,1.14618016084719
4.2,0,1.10849581401266,1.08564860918819,1.14598808133406
4.4,0,1.10837309097817,1.08558220894192,1.14579067257281
4.6,0,1.10824388834902,1.08550669859163,1.1455435038508
4.8,0,1.10810756395506,1.08542118981243,1.14524020496918
5,0,1.10796338960472,1.0852936815861,1.14493476943707
5.2,0,1.10781054373244,1.08515312532579,1.14470283727406
5.4,0,1.10764810404324,1.08500214778452,1.14458375811951
5.6,0,1.10747504024455,1.08480558936829,1.14446184177258
5.8,0,1.10729020696618,1.08462660965739,1.14431732536055
6,0,1.10709233697986,1.08442168864331,1.14414846513341
6.2,0,1.10688003484054,1.08419888426497,1.14395339999769
6.4,0,1.10665177108166,1.08397322520949,1.14362156743413
6.6,0,1.10640587710643,1.08373503652713,1.14347657588092
6.8,0,1.10614054092569,1.08351824320571,1.14318816152431
7,0,1.10585380390101,1.0832927440397,1.1428553234403
7.2,0,1.10554355865786,1.08304324218245,1.14248986459616
7.4,0,1.10520754833849,1.08267359109398,1.14208947319215
7.6,0,1.10484336736708,1.08224953564815,1.14165168369198
7.8,0,1.10444846390006,1.0818494178836,1.14111496278983
8,0,1.1040201441327,1.08142243268188,1.14058101896127
8.2,0,1.10355557862786,1.08088104486675,1.14005238453256
8.4,0,1.10305181082487,1.0801696310344,1.13938149337656
8.6,0,1.10250576787449,1.07950482335404,1.13862990240578
8.8,0,1.10191427393095,1.07882290312988,1.13785689907101
9,0,1.10127406601222,1.07814583938135,1.13710746692956
9.2,0,1.10058181251658,1.07755583721632,1.13638597142867
9.4,0,1.09983413445555,1.0769232446465,1.13562503383488
9.6,0,1.09902762943189,1.0761889195634,1.13476733626818
9.8,0,1.09815889835497,1.07529501330482,1.13370398939056
10,0,1.09722457484642,1.07435629816013,1.13247253705933
10.2,0,1.09622135724559,1.07332313318995,1.13104945012663
10.4,0,1.09514604307794,1.07223667775304,1.12973746946286
10.6,0,1.09399556580066,1.07108027753243,1.12834665079845
10.8,0,1.09276703358914,1.06983036875873,1.12659365892507
11,0,1.09145776987631,1.0686784536213,1.12475453707456
11.2,0,1.09006535530544,1.06744989290827,1.12302434496991
11.4,0,1.08858767070634,1.06612268343804,1.12125552170794
11.6,0,1.08702294065689,1.06473060948807,1.11941142549514
11.8,0,1.08536977714699,1.06326806092752,1.11745571625547
12,0,1.08362722282239,1.06167952026331,1.11538819969993
12.2,0,1.08179479325175,1.06014134609842,1.11306632286191
12.4,0,1.07987251763382,1.05843869656323,1.11039550233673
12.6,0,1.07786097734358,1.05657598414881,1.10776188161306
12.8,0,1.07576134170749,1.0546465374517,1.10498803197304
13,0,1.07357540039966,1.05259856678992,1.10212522941355
13.2,0,1.07130559186345,1.05057477203387,1.09929128904681
13.4,0,1.06895502718722,1.04836977430182,1.09636699878283
13.6,0,1.0665275088984,1.04626771637075,1.09321613009717
13.8,0,1.06402754418724,1.04425516650973,1.09014558184557
14,0,1.06146035212925,1.04208392188792,1.08699796846889
14.2,0,1.05883186454353,1.03976296788439,1.08363893112735
14.4,0,1.05614872020069,1.037416749145,1.08015837030536
14.6,0,1.05341825217879,1.035014728085,1.07661251142998
14.8,0,1.05064846825564,1.03255971783888,1.07294970412372
15,0,1.04784802432009,1.03011014059842,1.06933687510477
15.2,0,1.04502619088098,1.02761899687999,1.06567803770328
15.4,0,1.04219281284831,1.02526714344822,1.06198368839282
15.6,0,1.03935826285466,1.02300958373957,1.05832897261219
15.8,0,1.03653338847403,1.02065441951607,1.0544055987903
16,0,1.03372945377784,1.01842083360298,1.05082699433711
16.2,0,1.03095807574252,1.01627621182969,1.04722418807073
16.4,0,1.02823115608784,1.0141365059889,1.04351243458915
16.6,0,1.02556080917919,1.01209824046494,1.03982082851442
16.8,0,1.02295928666944,1.01022257519435,1.03632696508093
17,0,1.0204388995859,1.00843185936279,1.03285377122799
17.2,0,1.0180119385863,1.0067137909432,1.02949392085568
