"value","lag","rr"
0,0,1.00155714720705
0.2,0,1.00154014929249
0.4,0,1.00152317241395
0.6,0,1.00150621631723
0.8,0,1.00148928074811
1,0,1.00147236545244
1.2,0,1.00145547017605
1.4,0,1.00143859466481
1.6,0,1.00142173866458
1.8,0,1.00140490192128
2,0,1.0013880841808
2.2,0,1.0013712851891
2.4,0,1.00135450469212
2.6,0,1.00133774243583
2.8,0,1.00132099816621
3,0,1.00130427162928
3.2,0,1.00128756257105
3.4,0,1.00127087073757
3.6,0,1.00125419587489
3.8,0,1.0012375377291
4,0,1.00122089608023
4.2,0,1.00120427099434
4.4,0,1.00118766268078
4.6,0,1.00117107134997
4.8,0,1.0011544972123
5,0,1.00113794047818
5.2,0,1.00112140135797
5.4,0,1.00110488006203
5.6,0,1.00108837680072
5.8,0,1.00107189178438
6,0,1.00105542522332
6.2,0,1.00103897732786
6.4,0,1.00102254830829
6.6,0,1.00100613837491
6.8,0,1.00098974773798
7,0,1.00097337660777
7.2,0,1.00095702519451
7.4,0,1.00094069370845
7.6,0,1.00092438235981
7.8,0,1.0009080913588
8,0,1.00089182091561
8.2,0,1.00087557124043
8.4,0,1.00085934254342
8.6,0,1.00084313503476
8.8,0,1.00082694892459
9,0,1.00081078442303
9.2,0,1.00079464174022
9.4,0,1.00077852108627
9.6,0,1.00076242298025
9.8,0,1.00074634930157
10,0,1.00073030230375
10.2,0,1.00071428424018
10.4,0,1.00069829736413
10.6,0,1.0006823439287
10.8,0,1.00066642618688
11,0,1.00065054639148
11.2,0,1.00063470679522
11.4,0,1.00061890965064
11.6,0,1.00060315721017
11.8,0,1.00058745172608
12,0,1.00057179545053
12.2,0,1.00055619063553
12.4,0,1.00054063953296
12.6,0,1.00052514439457
12.8,0,1.00050970747198
13,0,1.00049433101668
13.2,0,1.00047901728003
13.4,0,1.00046376851327
13.6,0,1.0004485869675
13.8,0,1.00043347489371
14,0,1.00041843454278
14.2,0,1.00040346816543
14.4,0,1.0003885780123
14.6,0,1.0003737663339
14.8,0,1.00035903538061
15,0,1.0003443873987
15.2,0,1.00032982345328
15.4,0,1.00031534179206
15.6,0,1.00030094025164
15.8,0,1.00028661666881
16,0,1.00027236888048
16.2,0,1.0002581947237
16.4,0,1.00024409203567
16.6,0,1.00023005865371
16.8,0,1.00021609241529
17,0,1.00020219115801
17.2,0,1.0001883527196
17.4,0,1.00017457493793
17.6,0,1.000160855651
17.8,0,1.00014719269693
18,0,1.00013358391396
18.2,0,1.00012002714049
18.4,0,1.00010652021501
18.6,0,1.00009306097615
18.8,0,1.00007964726267
19,0,1.00006627691343
19.2,0,1.00005294776744
19.4,0,1.00003965766381
19.6,0,1.00002640444177
19.8,0,1.00001318594067
20,0,1
20.2,0,0.999986844459336
20.4,0,0.999973717158386
