"value","lag","rr"
0,0,0.994282264887227
0.2,0,0.994843970636013
0.4,0,0.995348778060931
0.6,0,0.995801615449986
0.8,0,0.996207428902036
1,0,0.996571179851083
1.2,0,0.996897842835366
1.4,0,0.997192403513034
1.6,0,0.997459856925874
1.8,0,0.997705206012337
2,0,0.997933460370837
2.2,0,0.998149635274144
2.4,0,0.998358750935514
2.6,0,0.998565832027081
2.8,0,0.998775907450963
3,0,0.998994010363459
3.2,0,0.999225178452736
3.4,0,0.999474454470383
3.6,0,0.999746451209131
3.8,0,1.00004084518535
4,0,1.0003541826814
4.2,0,1.00068295720643
4.4,0,1.00102365847372
4.6,0,1.00137277191973
4.8,0,1.00172677834652
5,0,1.00208215368767
5.2,0,1.00243536889814
5.4,0,1.00278288996817
5.6,0,1.00312117806178
5.8,0,1.00344668977984
6,0,1.00375587754836
6.2,0,1.00404519013194
6.4,0,1.00431107327273
6.6,0,1.00454997045501
6.8,0,1.00475832379549
7,0,1.00493257505926
7.2,0,1.00506916680137
7.4,0,1.00516454363378
7.6,0,1.0052151536173
7.8,0,1.00521744977827
8,0,1.00516789174909
8.2,0,1.00506294753205
8.4,0,1.0048990953855
8.6,0,1.00467282583117
8.8,0,1.00438064378148
9,0,1.00401985784902
9.2,0,1.00359409110948
9.4,0,1.00310999498703
9.6,0,1.00257423830683
9.8,0,1.00199348452419
10,0,1.00137438853199
10.2,0,1.00072359390885
10.4,0,1.00004773060766
10.6,0,0.999353413083435
10.8,0,0.998647238859088
11,0,0.997935787527476
11.2,0,0.997225620187751
11.4,0,0.996523279313988
11.6,0,0.99583528905397
11.8,0,0.995168155956001
12,0,0.994528370121759
12.2,0,0.993922406783319
12.4,0,0.993356728302789
12.6,0,0.992837786593261
12.8,0,0.992372025960245
13,0,0.991965886363195
13.2,0,0.991625807097308
13.4,0,0.991358230896427
13.6,0,0.991169608458552
13.8,0,0.991066403396306
14,0,0.991055097615531
14.2,0,0.991142197126156
14.4,0,0.9913323932441
14.6,0,0.991619707254664
14.8,0,0.991994331694304
15,0,0.992446463990795
15.2,0,0.992966303340279
15.4,0,0.993544043499051
15.6,0,0.994169866548517
15.8,0,0.994833937632717
16,0,0.995526400669407
16.2,0,0.996237375037031
16.4,0,0.996956953240964
16.6,0,0.997675199563192
16.8,0,0.998382149700122
17,0,0.999067811393436
17.2,0,0.999722166058868
17.4,0,1.00033517141749
17.6,0,1.00089676513348
17.8,0,1.00139686946141
18,0,1.00182539690507
18.2,0,1.00217225688828
18.4,0,1.0024273634364
18.6,0,1.00258064386538
18.8,0,1.00262204847268
19,0,1.00254156122211
19.2,0,1.00232921141142
19.4,0,1.00197508630881
19.6,0,1.00146934474072
19.8,0,1.0008065821989
20,0,1
20.2,0,0.999067749672398
20.4,0,0.998027968519446
20.6,0,0.99689875860835
20.8,0,0.99569816906789
21,0,0.994444181647668
21.2,0,0.993154699526433
21.4,0,0.991847539350584
21.6,0,0.990540426479162
21.8,0,0.989250993408443
22,0,0.987996781347673
22.2,0,0.986795244917452
22.4,0,0.985663759943888
22.6,0,0.984619634324685
22.8,0,0.983680121948018
23,0,0.982862439651134
23.2,0,0.982183787213317
23.4,0,0.981661370386967
23.6,0,0.981312426981232
23.8,0,0.981154256024801
24,0,0.981204250048214
24.2,0,0.981479930541404
24.4,0,0.981998986659119
24.6,0,0.982779317265654
24.8,0,0.983839076430771
25,0,0.985196720188905
25.2,0,0.986865506629549
25.4,0,0.988841564600183
25.6,0,0.991117832407865
25.8,0,0.993687445489883
26,0,0.996543712764413
26.2,0,0.999680093784955
26.4,0,1.00309017663955
26.6,0,1.00676765654138
26.8,0,1.01070631506246
27,0,1.01489999996749
27.2,0,1.0193426056092
27.4,0,1.02402805385166
27.6,0,1.02895027549198
27.8,0,1.03410319215532
28,0,1.039480698642
28.2,0,1.04507664570973
28.4,0,1.05088482327749
28.6,0,1.05689894404142
28.8,0,1.06311262749691
29,0,1.06951938436418
29.2,0,1.07611260141841
29.4,0,1.08288552672872
29.6,0,1.08983125531361
29.8,0,1.09694271522349
30,0,1.10421265406441
30.2,0,1.11163362597978
30.4,0,1.11919795544139
30.6,0,1.12689137183475
30.8,0,1.13468415455636
31,0,1.1425435741885
31.2,0,1.15043597577257
31.4,0,1.1583267640107
31.6,0,1.16618039866056
31.8,0,1.17396040061623
32,0,1.1816293691675
32.2,0,1.18914901091981
32.4,0,1.19648018083669
32.6,0,1.2035829358359
32.8,0,1.21041660132892
33,0,1.21693985103982
33.2,0,1.22311080037471
33.4,0,1.22888711353561
33.6,0,1.23422612448301
33.8,0,1.23908497174972
34,0,1.24342074699473
34.2,0,1.24719065706014
34.4,0,1.25035219915759
34.6,0,1.25286334866335
34.8,0,1.25468275884492
35,0,1.25576997167716
35.2,0,1.2560856387352
35.4,0,1.25559175097499
35.6,0,1.25425187603433
35.8,0,1.25203200933091
36,0,1.24895361641531
36.2,0,1.24513392139268
36.4,0,1.2406998410663
36.6,0,1.23577761656216
36.8,0,1.23049226636279
37,0,1.22496716507101
37.2,0,1.21932374628024
37.4,0,1.21368132693604
37.6,0,1.20815704992295
37.8,0,1.20286594129094
38,0,1.19792107853413
38.2,0,1.19343386663693
38.4,0,1.18951441919726
38.6,0,1.18627204281127
38.8,0,1.18381582405362
39,0,1.18225531980931
39.2,0,1.18170135341342
39.4,0,1.18226692104707
39.6,0,1.18406821514514
39.8,0,1.18722577422776
40,0,1.19186577162341
0,1,0.98649036116684
0.2,1,0.986835980815764
0.4,1,0.987145502558171
0.6,1,0.987422872534399
0.8,1,0.987672044773517
1,1,0.987896979981003
1.2,1,0.988101644484661
1.4,1,0.988290009339366
1.6,1,0.988466049591103
1.8,1,0.988633743700692
2,1,0.988797073127497
2.2,1,0.988960022073365
2.4,1,0.989126577387027
2.6,1,0.989300728629135
2.8,1,0.989486468298137
3,1,0.989687792217195
3.2,1,0.989908700082386
3.4,1,0.99015319617249
3.6,1,0.990424942480608
3.8,1,0.990723663201564
4,1,0.991046585773307
4.2,1,0.99139089629507
4.4,1,0.991753778439367
4.6,1,0.992132412882225
4.8,1,0.992523976813603
5,1,0.992925643528116
5.2,1,0.993334582096222
5.4,1,0.993747957116041
5.6,1,0.99416292854603
5.8,1,0.994576651618717
6,1,0.994986276835747
6.2,1,0.995388950044456
6.4,1,0.995781812596219
6.6,1,0.996162001586794
6.8,1,0.996526650178866
7,1,0.99687288800698
7.2,1,0.997197841665018
7.4,1,0.997498635276334
7.6,1,0.997772391146638
7.8,1,0.998016230499645
8,1,0.998227274295469
8.2,1,0.998402644131662
8.4,1,0.99853946322676
8.6,1,0.998634857486075
8.8,1,0.998685956649433
9,1,0.998690437570515
9.2,1,0.998650321663403
9.4,1,0.998569718566452
9.6,1,0.998452755038787
9.8,1,0.998303560199206
10,1,0.99812626411003
10.2,1,0.99792499653124
10.4,1,0.997703885845119
10.6,1,0.99746705815149
10.8,1,0.997218636533522
11,1,0.996962740493985
