"value","fit","lo","hi"
0,1.51994407563184,1.39656418627749,1.65422399897437
0.2,1.51683660305935,1.39999962151977,1.6434242159887
0.4,1.51394616431776,1.40266646047671,1.63405417683795
0.6,1.51127644664883,1.40467591202773,1.62596687153159
0.8,1.50881884558891,1.40616166990342,1.61897053342424
1,1.50656277498317,1.40725794222843,1.61287517153452
1.2,1.50449778934863,1.4080917027808,1.60750439313345
1.4,1.50261357084596,1.40877756124567,1.60269981961809
1.6,1.50089991700854,1.4094144015057,1.59832378501996
1.8,1.49934672920709,1.41008374701837,1.59426035449136
2,1.49794400183082,1.41084953784158,1.59041497511756
2.2,1.49668181216746,1.41175889601431,1.58671317970585
2.4,1.49555031096716,1.41284347291083,1.58309874768069
2.6,1.49453971367649,1.41412105432931,1.57953164541177
2.8,1.49364029233076,1.41559719872068,1.57598596895368
3,1.49284236809436,1.41726677391979,1.57244802248057
3.2,1.49213630444001,1.41911532794824,1.56891459571994
3.4,1.49151250095943,1.42112028016397,1.56539145318619
3.6,1.49096138779892,1.42325195507296,1.56189201215137
3.8,1.49047342071437,1.42547450836984,1.5584361591962
4,1.49003907674124,1.42774681824759,1.55504913184886
4.2,1.4896488504759,1.4300234376447,1.55176036931187
4.4,1.48929325096532,1.43225572442227,1.54860221505872
4.6,1.48896279920285,1.43439328081264,1.54560833982294
4.8,1.48864802622825,1.43638582807517,1.54281175898464
5,1.48833947183046,1.43818559722649,1.54024236348942
5.2,1.48802768385212,1.43975021064165,1.53792398955336
5.4,1.48770321809467,1.44104585487056,1.53587122689308
5.6,1.48735663882332,1.44205033174014,1.53408637851238
5.8,1.48697851987081,1.44275540348709,1.53255715640573
6,1.48655944633891,1.44316782806522,1.53125571712757
6.2,1.48609001689643,1.44330868215307,1.53013943976609
6.4,1.48556084667191,1.44321094562579,1.52915347257682
6.6,1.48496169155673,1.44291453995392,1.52823411527994
6.8,1.4842750414132,1.44245085989651,1.52731192431762
7,1.48347982588719,1.44183836298017,1.52632392806194
7.2,1.48255501538735,1.4410859164521,1.52521744092921
7.4,1.48147966378317,1.4401938430754,1.52394901891564
7.6,1.48023292830983,1.43915510534994,1.52248323610672
7.8,1.47879409239321,1.43795650582502,1.52079145567924
8,1.47714259135341,1.43657982607665,1.51885067267668
8.2,1.47525804093517,1.4350028759334,1.516642456851
8.4,1.47312026860324,1.43320045339196,1.51415199502187
8.6,1.47070934752888,1.43114522976925,1.51136721830641
8.8,1.46800563318094,1.42880857874875,1.50827799545983
9,1.4649898024214,1.42616136551547,1.5048753760224
9.2,1.46164289499085,1.4231747054441,1.50115087368039
9.4,1.4579463572539,1.41982069252069,1.49709578950861
9.6,1.45388208805883,1.41607308744272,1.49270058496454
9.8,1.44943248654911,1.41190794593979,1.48795432386746
10,1.44458050174748,1.40730416124286,1.48284420916231
10.2,1.43930968371588,1.40224389260295,1.47735524224164
10.4,1.43360423607723,1.39671285540584,1.47147002889252
10.6,1.42744906966716,1.39070045759981,1.46516874669785
10.8,1.42082985706648,1.38419978025269,1.45842927555083
11,1.41373308774811,1.37720741436305,1.45122747855533
11.2,1.40614612355524,1.36972317850436,1.44353760805044
11.4,1.39805725421149,1.36174975001414,1.4353328032798
11.6,1.38945575254865,1.35329224505791,1.42658564352294
11.8,1.38033192912339,1.34435778023685,1.41726872307892
12,1.37067718588118,1.33495504178435,1.40735522102973
12.2,1.36048406851467,1.32509387956323,1.39681944745856
12.4,1.34974631715329,1.31478493361528,1.38563735717552
12.6,1.33845974308387,1.3040398968642,1.37378809357295
12.8,1.3266523464465,1.29289298963507,1.36129321022058
13,1.3143915306019,1.28140521653932,1.34822698816834
13.2,1.30174579182574,1.26963627527027,1.33466736855427
13.4,1.28878188196274,1.25764288163055,1.32069187806475
13.6,1.27556464195653,1.24547897994284,1.30637705012441
13.8,1.26215686736551,1.23319591176045,1.29179795573905
14,1.24861920458474,1.22084255568329,1.27702782869103
14.2,1.23501007633971,1.2084654481905,1.2621377722834
14.4,1.22138563490213,1.19610889321824,1.2471965367062
14.6,1.20779974140031,1.18381506666558,1.23227035742633
14.8,1.19430396955236,1.1716241210345,1.21742284584335
15,1.18094763213878,1.15957429495327,1.20271492385091
15.2,1.16777782854755,1.14770203237205,1.18820479391219
15.4,1.15483951176764,1.1360421167462,1.17394793580323
15.6,1.14217557327324,1.12462782652044,1.1599971203081
15.8,1.12982694432737,1.11349111962473,1.14640242892851
16,1.11783271233906,1.10266285629326,1.13321126729145
16.2,1.10623025102906,1.09217307086887,1.12046835884562
16.4,1.09505536329419,1.0820513035036,1.10821570548145
