"value","fit","lo","hi"
0,1.453333523298,1.31630026955737,1.60463260457437
0.2,1.45080126319518,1.32320229009662,1.59070485370384
0.4,1.44820574826445,1.32971477568158,1.57725545933801
0.6,1.44553848902317,1.33576986109882,1.56432749690016
0.8,1.44279107107245,1.34129446279176,1.55196799249709
1,1.43995515962345,1.34621048327221,1.54022783769016
1.2,1.43702250450363,1.35043586020635,1.52916087264917
1.4,1.43398494563265,1.35388704603172,1.51882155186298
1.6,1.43083441895667,1.3564836253703,1.50926048511068
1.8,1.42756296282895,1.3581556462584,1.50051727757073
2,1.42416272482368,1.35885358036868,1.49261075371116
2.2,1.42062596896879,1.35855948546111,1.48552799145449
2.4,1.4169450833824,1.35729631778719,1.47921521852706
2.6,1.41311258829652,1.35513160236825,1.47357436260234
2.8,1.40912114445004,1.35217302623868,1.46846768956749
3,1.40496356183219,1.34855672645778,1.46372975741335
3.2,1.40063280875591,1.34443202277192,1.45918293504995
3.4,1.3961220212396,1.33994706542094,1.45465201461359
3.6,1.3914245126739,1.33523831174504,1.44997500254432
3.8,1.38653485005181,1.33042139148445,1.44501501758263
4,1.38145421022604,1.3255708838547,1.43969346203627
4.2,1.3761862584011,1.32072928982863,1.43397184600771
4.4,1.37073471797939,1.31591850258397,1.42783437073386
4.6,1.36510336275087,1.31114463359097,1.42128270463188
4.8,1.35929601332376,1.30640172964079,1.41433190871993
5,1.35331653357487,1.30167458109762,1.4070073017042
5.2,1.34716882712327,1.29694083797018,1.39934204833359
5.4,1.34085683383104,1.29217263569103,1.39137526919529
5.6,1.33438452633443,1.2873379091156,1.38315049336504
5.8,1.32775590660903,1.28240155429506,1.37471429415433
6,1.32097500257197,1.27732658521426,1.36611496043301
6.2,1.31404586472458,1.27207542217329,1.35740106640041
6.4,1.30697256283824,1.26661142922899,1.34861982182789
6.6,1.29975918268647,1.26090077465284,1.33981512815149
6.8,1.29240982282593,1.2549146047165,1.33102534934184
7,1.28492859142899,1.24863139140156,1.32228093610432
7.2,1.2773196031703,1.24203915880394,1.31360219770711
7.4,1.26958697616973,1.23513716690325,1.30499764176077
7.6,1.2617348289939,1.22793661231366,1.29646332125947
7.8,1.25376727771834,1.22046004527542,1.28798348849062
8,1.24568843305226,1.21273947320905,1.27953258430198
8.2,1.23750239752775,1.2048134113624,1.27107830095883
8.4,1.22921326275499,1.19672331738816,1.26258528047271
8.6,1.22082510982485,1.18850984339083,1.2540190197556
8.8,1.21234727155215,1.18021252714208,1.24535697854272
9,1.20380487437653,1.17187221222534,1.236607678256
9.2,1.19522542669814,1.16352099688102,1.22779376088201
9.4,1.18663570969575,1.15518250439207,1.21894532004376
9.6,1.17806177193612,1.14687414959409,1.21009749760987
9.8,1.16952892981404,1.1386090998906,1.20128841215426
10,1.16106177354999,1.13039799356864,1.19255735561175
10.2,1.15268417847367,1.12225046626511,1.18394320630172
10.4,1.14441932132716,1.11417650894628,1.17548303389159
10.6,1.13628970132945,1.10618764951869,1.16721090305895
10.8,1.12831716575493,1.09829792472209,1.15915690804877
11,1.12052293979213,1.09052459718088,1.15134648209328
11.2,1.11292766046481,1.08288857907741,1.14380001909608
11.4,1.10555141441571,1.07541454804204,1.13653282089392
11.6,1.0984137793734,1.06813077555441,1.12955534877377
11.8,1.09153386914485,1.06106872252286,1.12287372363354
12,1.08493038200031,1.05426248034788,1.11649039563556
12.2,1.07862165234262,1.04774814290933,1.11040489718435
12.4,1.0726257055805,1.04156318597092,1.10461460213725
12.6,1.06696031615418,1.03574591061388,1.09911543418319
12.8,1.06164306869239,1.03033498324535,1.09390249154939
13,1.05669142231176,1.02536908202088,1.08897057807378
13.2,1.05212277810374,1.02088664109227,1.08431464929383
13.4,1.04795454988961,1.01692567018166,1.07993019631234
13.6,1.0442039772378,1.01352320528605,1.07581349927898
13.8,1.04087102414651,1.01068804670998,1.07195537973816
14,1.03792803286699,1.00838370271402,1.06833797344368
14.2,1.03534553029091,1.00656891101545,1.06494483920824
14.4,1.03309469954868,1.00520190862646,1.06176147207474
14.6,1.0311472880959,1.00424056172045,1.05877492931172
14.8,1.02947552412796,1.00364241937635,1.05597355623639
15,1.02805204095402,1.00336472188852,1.05334677994304
15.2,1.02684980902088,1.00336438785288,1.05088494573999
15.4,1.0258420753303,1.00359800190297,1.04857917365575
15.6,1.02500231003999,1.00402182635159,1.04642121118531
15.8,1.02430416008002,1.0045918650642,1.04440325354435
16,1.02372140965242,1.00526401661272,1.04251769411985
16.2,1.0232279475123,1.00599436533336,1.0407567563495
16.4,1.02279774095479,1.00673967039929,1.03911194687232
16.6,1.02240481645322,1.00745811728042,1.03757326560483
16.8,1.0220232469097,1.00811037981866,1.0361281245926
17,1.02162714549101,1.00866098669587,1.03475998196688
17.2,1.0211906660293,1.0090798804426,1.0334468029706
17.4,1.02068800996908,1.00934391362682,1.03215960351036
17.6,1.02009343983965,1.00943790618231,1.03086145232983
17.8,1.01938129922434,1.00935488685462,1.02950730881831
18,1.01852603918689,1.00909532435752,1.02804489076611
18.2,1.01750225109806,1.00866546616803,1.02641645393375
18.4,1.01628470578542,1.00807517695376,1.02456109110277
18.6,1.01484969050893,1.00733646357754,1.02241895490244
18.8,1.01319789806937,1.0064732606265,1.01996746541799
19,1.01135154151188,1.00551528761017,1.01722167044266
19.2,1.0093335405873,1.00448643084077,1.01420403987119
19.4,1.00716673564452,1.00340591041979,1.01094165666659
19.6,1.00487385216722,1.00228949778955,1.00746487017607
19.8,1.00247747039478,1.00115041593665,1.0038062839028
20,1,1,1
20.2,0.997463659779648,0.996081055976397,0.998848182697077
20.4,0.994890462299447,0.992085004151867,0.997703853835179
20.6,0.992302203424321,0.988047597289958,0.996575130207819
20.8,0.989720456656729,0.984004553720209,0.995469562230631
21,0.987166572200998,0.979991382433891,0.994394296458834
21.2,0.984661680669565,0.976043253654524,0.993356208086853
21.4,0.982226701347842,0.972194903777633,0.992362014130996
21.6,0.979882354938054,0.968480565747474,0.991418375832753
21.8,0.977649180708698,0.96493391716433,0.990531997620324
22,0.975547557985223,0.96158803884625,0.989709729576928
22.2,0.97359773192909,0.958475376245892,0.98895868074371
22.4,0.971819843566454,0.95562769497791,0.988286351800801
22.6,0.9702339640443,0.953076019548955,0.987700797918106
22.8,0.968860133111012,0.950850540839397,0.987210836209049
23,0.967718401839965,0.948980472370035,0.986826317849178
23.2,0.966828879638921,0.947493826973265,0.986558493462593
23.4,0.966211785614837,0.946417072783564,0.986420513226
23.6,0.965889939754011,0.945774955579041,0.98643273456826
23.8,0.965906020171396,0.945592947669312,0.986655454762995
24,0.966312520075547,0.945897348443254,0.987168309533297
24.2,0.96716251647881,0.946714673187959,0.988052007403408
24.4,0.968509836711728,0.948072101404376,0.989388151405263
24.6,0.970409317404623,0.949998090116584,0.991259091047374
24.8,0.972917095964373,0.952523181060645,0.99374765301327
25,0.97609093648735,0.955681015636724,0.996936740087882
25.2,0.979990592543218,0.959509533897266,1.00090882637966
25.4,0.984678209825241,0.964052285097803,1.00574542677037
25.6,0.990218772299398,0.969359731262276,1.01152666589245
25.8,0.996680596207705,0.975490402682754,1.01833109595442
26,1.00413587710366,0.982511783136502,1.02623589558178
26.2,1.01266129603522,0.990500864668549,1.03531752173774
26.4,1.0223386920622,0.999544397238793,1.04565280359203
26.6,1.03325580952289,1.00973893491382,1.05732039341824
26.8,1.04550712987627,1.02119082081146,1.07040245206427
27,1.05919479957347,1.03401625012086,1.08498645288441
27.2,1.074429667294,1.0483415154943,1.10116702706102
27.4,1.0913324460645,1.06430349112061,1.11904782589703
27.6,1.11003501831551,1.08205036655065,1.13874342634773
27.8,1.13068190489097,1.10174260582633,1.16038134795471
28,1.15343192248443,1.12355408067422,1.18410428362095
28.2,1.17846005802945,1.14767330278856,1.21007267921664
28.4,1.20595959333389,1.17430465214568,1.23846783549455
28.6,1.23607641924886,1.20359944219326,1.26942972941139
28.8,1.26869352710265,1.23543362911035,1.30284883605705
29,1.30360882181504,1.26959190738961,1.33853717121441
29.2,1.34059423537621,1.30582935249409,1.37628465809207
29.4,1.37939046816807,1.34386685075525,1.41585311268272
29.6,1.41970213682392,1.38338725168526,1.45697031315493
29.8,1.46119346040903,1.42403249064591,1.49932416764851
30,1.50348464932208,1.46540187766136,1.5425571136531
30.2,1.54614919052057,1.50705166628453,1.58626102397744
30.4,1.58871224664649,1.54849591986901,1.62997304045724
30.6,1.63065040316362,1.58920861181132,1.67317287206682
30.8,1.67139300420465,1.62862686457886,1.71528214059433
31,1.71032531178483,1.66615526613583,1.75566631248963
31.2,1.74679370170464,1.70117128760088,1.79363962850451
31.4,1.78011307042564,1.73303192167573,1.82847326922645
31.6,1.80957656859238,1.76108172045228,1.85940681773563
31.8,1.83446769768672,1.78466240324528,1.88566292859452
32,1.85407470674853,1.80312412657006,1.90646498904305
32.2,1.86770710792541,1.81583837688733,1.92105744949322
32.4,1.87471399639684,1.82221228791687,1.92872838779065
32.6,1.87450371752918,1.8217040214774,1.92883374335478
32.8,1.86656427958124,1.81383870164719,1.92082251119942
33,1.85048377341713,1.79822427157602,1.90426202660414
33.2,1.82596994253279,1.77456656927412,1.87886230292111
33.4,1.79287081734331,1.74268563151759,1.84450121671232
33.6,1.75161141115506,1.70292852280238,1.80168603356271
33.8,1.70358440044227,1.65655252809614,1.75195157425265
34,1.65027851596787,1.60491578650534,1.69692341689485
34.2,1.59312231451736,1.54933875626164,1.63814317479357
34.4,1.53345084933084,1.4910790842274,1.57702668636914
34.6,1.4724821744901,1.43131200996033,1.51483655492501
34.8,1.41130298086807,1.3711149159357,1.45266897811248
35,1.35086229516828,1.311455303092,1.39145340005485
35.2,1.29197196736124,1.25318246677904,1.33196211142139
35.4,1.23531260235015,1.19702376408395,1.27482617414275
35.6,1.18144363060215,1.14358620544858,1.22055429283783
35.8,1.13081633038702,1.09336336850517,1.16955223661667
36,1.08378878392722,1.04674683269111,1.12214156420864
36.2,1.0406419480878,1.00404085519088,1.07857728948101
36.4,1.00159622933791,0.965478932272089,1.03906462698576
36.6,0.966828160241199,0.93124108967641,1.00377517894984
36.8,0.936486973666815,0.901471053593674,0.972863020228412
37,0.910711059143991,0.876292750053831,0.946481222395392
37.2,0.889644465611354,0.855825808865179,0.924799494236327
37.4,0.873453792583349,0.840199903245535,0.908023822463216
37.6,0.862345997795758,0.829567882311625,0.896419251239785
37.8,0.856587858372115,0.824117873918967,0.890337149977496
38,0.856528074482808,0.824085112200013,0.890248266248457
38.2,0.862623326546521,0.829765593610957,0.896782186718474
38.4,0.875452364400089,0.841519063708833,0.910753986910139
38.6,0.895254536959566,0.859330359208524,0.932680519613994
38.8,0.921833349696357,0.882773817944002,0.962621123711568
39,0.955046219802754,0.911530703991815,1.00063912050923
39.2,0.994802040403164,0.945397588627079,1.04678826294391
39.4,1.04103052121984,0.984246446232308,1.10109063665896
39.6,1.09365159225083,1.02797712919718,1.16352180536046
39.8,1.15254386438565,1.0764737749558,1.23398952230634
40,1.21751157091266,1.12956896377868,1.3123009509286
