"value","lag","rr"
0,0,1.00093542987671
0.2,0,1.00091584408456
0.4,0,1.00089630457405
0.6,0,1.00087681626195
0.8,0,1.00085738406468
1,0,1.00083801289825
1.2,0,1.00081870767832
1.4,0,1.00079947332019
1.6,0,1.00078031473877
1.8,0,1.00076123684864
2,0,1.00074224456401
2.2,0,1.00072334279872
2.4,0,1.0007045364663
2.6,0,1.0006858304799
2.8,0,1.00066722975236
3,0,1.00064873919616
3.2,0,1.00063036372348
3.4,0,1.00061210824616
3.6,0,1.00059397767572
3.8,0,1.00057597692339
4,0,1.00055811090006
4.2,0,1.00054038451635
4.4,0,1.00052280268259
4.6,0,1.00050537030881
4.8,0,1.00048809230477
5,0,1.00047097357996
5.2,0,1.00045401904361
5.4,0,1.00043723360469
5.6,0,1.00042062217193
5.8,0,1.00040418965382
6,0,1.00038794095863
6.2,0,1.00037188099438
6.4,0,1.00035601466892
6.6,0,1.00034034688987
6.8,0,1.00032488256468
7,0,1.00030962660059
7.2,0,1.00029458390469
7.4,0,1.00027975938391
7.6,0,1.00026515794501
7.8,0,1.00025078449463
8,0,1.00023664393927
8.2,0,1.00022274118532
8.4,0,1.00020908113905
8.6,0,1.00019566870665
8.8,0,1.00018250879423
9,0,1.00016960630781
9.2,0,1.00015696615338
9.4,0,1.00014459323685
9.6,0,1.00013249246414
9.8,0,1.00012066874112
10,0,1.00010912697367
10.2,0,1.00009787206767
10.4,0,1.00008690892904
10.6,0,1.00007624246371
10.8,0,1.00006587757768
11,0,1.00005581917701
11.2,0,1.00004607216785
11.4,0,1.00003664145643
11.6,0,1.00002753194911
11.8,0,1.00001874855237
12,0,1.00001029617282
12.2,0,1.00000217971725
12.4,0,0.999994404092605
12.6,0,0.999986974206045
12.8,0,0.999979894964923
13,0,0.999973171276824
13.2,0,0.999966808049575
13.4,0,0.999960810191264
13.6,0,0.999955182610261
13.8,0,0.999949930215229
14,0,0.999945057915148
14.2,0,0.999940570619334
14.4,0,0.999936473237452
14.6,0,0.999932770679542
14.8,0,0.999929467856032
15,0,0.999926569677764
15.2,0,0.999924081056007
15.4,0,0.999922006902483
15.6,0,0.999920352129383
15.8,0,0.999919121649389
16,0,0.999918320375697
16.2,0,0.999917953222031
16.4,0,0.999918025102675
16.6,0,0.999918540932483
16.8,0,0.99991950562691
17,0,0.999920924102029
17.2,0,0.999922801274552
17.4,0,0.999925142061857
17.6,0,0.999927951382009
17.8,0,0.99993123415378
18,0,0.999934995296676
18.2,0,0.999939239730958
18.4,0,0.999943972377667
18.6,0,0.999949198158648
18.8,0,0.999954921996572
19,0,0.999961148814963
19.2,0,0.999967883538221
19.4,0,0.999975131091647
19.6,0,0.999982896401469
19.8,0,0.999991184394868
20,0,1
20.2,0,1.00000934814603
20.4,0,1.00001923376314
20.6,0,1.00002966168949
20.8,0,1.00004063278903
21,0,1.0000521425464
21.2,0,1.0000641860647
21.4,0,1.00007675844769
21.6,0,1.0000898547997
21.8,0,1.00010347022563
22,0,1.00011759983095
22.2,0,1.00013223872163
22.4,0,1.00014738200415
22.6,0,1.00016302478544
22.8,0,1.00017916217288
23,0,1.0001957892743
23.2,0,1.00021290119789
23.4,0,1.00023049305224
23.6,0,1.00024855994626
23.8,0,1.00026709698923
24,0,1.00028609929069
24.2,0,1.00030556196049
24.4,0,1.00032548010872
24.6,0,1.00034584884572
24.8,0,1.00036666328202
25,0,1.00038791852836
25.2,0,1.00040960969565
25.4,0,1.00043173189494
25.6,0,1.0004542802374
25.8,0,1.00047724983433
26,0,1.00050063579709
26.2,0,1.0005244332371
26.4,0,1.00054863726586
26.6,0,1.00057324299485
26.8,0,1.00059824553559
27,0,1.00062363999957
27.2,0,1.00064942149823
27.4,0,1.00067558514297
27.6,0,1.00070212604513
27.8,0,1.00072903931594
28,0,1.00075632006653
28.2,0,1.00078396340789
28.4,0,1.00081196445088
28.6,0,1.00084031830619
28.8,0,1.00086902008432
29,0,1.00089806489559
29.2,0,1.00092744785009
29.4,0,1.00095716405768
29.6,0,1.00098720862798
29.8,0,1.00101757667034
30,0,1.00104826329384
30.2,0,1.00107926360724
30.4,0,1.00111057271902
30.6,0,1.0011421857373
30.8,0,1.00117409776988
31,0,1.00120630392421
31.2,0,1.00123879930734
31.4,0,1.00127157902597
31.6,0,1.00130463818637
31.8,0,1.00133797189441
32,0,1.00137157525554
32.2,0,1.00140544337476
32.4,0,1.00143957135661
32.6,0,1.00147395430519
32.8,0,1.0015085873241
33,0,1.00154346551644
33.2,0,1.00157858398483
33.4,0,1.00161393783137
33.6,0,1.00164952215762
33.8,0,1.00168533206461
34,0,1.00172136265282
34.2,0,1.00175760902218
34.4,0,1.00179406627203
34.6,0,1.00183072950114
34.8,0,1.00186759380769
35,0,1.00190465428925
35.2,0,1.00194190604278
35.4,0,1.00197934416463
35.6,0,1.00201696375051
35.8,0,1.00205475989548
36,0,1.00209272769398
36.2,0,1.00213086223977
36.4,0,1.00216915862596
36.6,0,1.00220761194497
36.8,0,1.00224621728856
37,0,1.00228496974778
37.2,0,1.002323864413
37.4,0,1.00236289637389
37.6,0,1.00240206071939
37.8,0,1.00244135253775
38,0,1.00248076691648
38.2,0,1.00252029894236
38.4,0,1.00255994370145
38.6,0,1.00259969627905
38.8,0,1.00263955175973
39,0,1.0026795052273
39.2,0,1.00271955176483
39.4,0,1.00275968645461
39.6,0,1.00279990437817
39.8,0,1.00284020061628
