"value","lag","rr"
0,0,1.04826544960362
0.2,0,1.04474990961628
0.4,0,1.04127490908368
0.6,0,1.03784844415465
0.8,0,1.03447840688749
1,0,1.03117258936149
1.2,0,1.02793868838123
1.4,0,1.02478431076126
1.6,0,1.0217169791801
1.8,0,1.01874413859338
2,0,1.01587316319764
2.2,0,1.01311136393744
2.4,0,1.01046599655017
2.6,0,1.00794427014456
2.8,0,1.00555335631067
3,0,1.003300398761
3.2,0,1.0011925235045
3.4,0,0.999236849557182
3.6,0,0.997440500195429
3.8,0,0.995810614760478
4,0,0.99435436102489
4.2,0,0.993078948134611
4.4,0,0.991991640142912
4.6,0,0.991099770155424
4.8,0,0.990410216757364
5,0,0.989919288850292
5.2,0,0.989613625338871
5.4,0,0.98947962676465
5.6,0,0.989503795127155
5.8,0,0.989672711442173
6,0,0.989973015191812
6.2,0,0.990391385633426
6.4,0,0.990914524941959
6.6,0,0.991529143167068
6.8,0,0.992221944992416
7,0,0.99297961828989
7.2,0,0.993788824466164
7.4,0,0.99463619060304
7.6,0,0.995508303396279
7.8,0,0.996391704900292
8,0,0.997272890088013
8.2,0,0.998138306236521
8.4,0,0.998974354149598
8.6,0,0.999767391228253
8.8,0,1.00050373639944
9,0,1.0011696769117
9.2,0,1.00175147700417
9.4,0,1.00223538845248
9.6,0,1.00260766299138
9.8,0,1.00285456660966
10,0,1.00296337577172
10.2,0,1.00293486917049
10.4,0,1.00277965141616
10.6,0,1.00250859098487
10.8,0,1.00213258742349
11,0,1.00166255939886
11.2,0,1.00110943391638
11.4,0,1.0004841367165
11.6,0,0.999797583854095
11.8,0,0.999060674463217
12,0,0.998284284707316
12.2,0,0.99747926291295
12.4,0,0.99665642588339
12.6,0,0.995826556387218
12.8,0,0.995000401816084
13,0,0.994188674005195
13.2,0,0.993402050209874
13.4,0,0.99265117523168
13.6,0,0.991946664687999
13.8,0,0.991299109419867
14,0,0.990719081033925
14.2,0,0.990217138575892
14.4,0,0.989803836334809
14.6,0,0.989489732779437
