"value","lag","rr"
0,0,0.995890537410082
0.2,0,0.995972326208051
0.4,0,0.996053963064208
0.6,0,0.996135427573898
0.8,0,0.996216699325882
1,0,0.996297757902383
1.2,0,0.99637858287912
1.4,0,0.99645915382536
1.6,0,0.996539450303963
1.8,0,0.99661945187144
2,0,0.996699138078008
2.2,0,0.996778488467655
2.4,0,0.996857482578205
2.6,0,0.996936099941389
2.8,0,0.997014320082923
3,0,0.997092122522584
3.2,0,0.997169486774293
3.4,0,0.997246392346205
3.6,0,0.997322818740801
3.8,0,0.997398745454984
4,0,0.997474151980176
4.2,0,0.997549017802426
4.4,0,0.99762332240252
4.6,0,0.99769704525609
4.8,0,0.997770165833733
5,0,0.997842663601134
5.2,0,0.99791451801919
5.4,0,0.997985708544139
5.6,0,0.998056214627695
5.8,0,0.998126015717188
6,0,0.998195091255706
6.2,0,0.998263420682237
6.4,0,0.998330983431828
6.6,0,0.998397758935734
6.8,0,0.99846372662158
7,0,0.998528865913524
7.2,0,0.998593156232426
7.4,0,0.998656576996019
7.6,0,0.998719107619086
7.8,0,0.998780727513641
8,0,0.99884141608911
8.2,0,0.998901152752529
8.4,0,0.998959916908727
8.6,0,0.999017687960531
8.8,0,0.999074445308963
9,0,0.999130168353449
9.2,0,0.99918483649203
9.4,0,0.999238429121572
9.6,0,0.99929092563799
9.8,0,0.999342305436466
10,0,0.999392547911682
10.2,0,0.999441632458045
10.4,0,0.999489538469927
10.6,0,0.999536245341904
10.8,0,0.999581732468999
11,0,0.999625979246931
11.2,0,0.999668965072368
11.4,0,0.999710669343183
11.6,0,0.999751071458715
11.8,0,0.999790150820035
12,0,0.999827886830213
12.2,0,0.999864258894595
12.4,0,0.999899246421079
12.6,0,0.999932828820396
12.8,0,0.999964985506399
13,0,0.999995695896349
13.2,0,1.00002493941122
13.4,0,1.00005269547597
13.6,0,1.00007894351989
13.8,0,1.00010366297688
14,0,1.00012683328574
14.2,0,1.00014843389054
14.4,0,1.00016844424091
14.6,0,1.00018684379234
14.8,0,1.00020361200655
15,0,1.0002187283518
15.2,0,1.00023217230325
15.4,0,1.00024392334324
15.6,0,1.00025396096172
15.8,0,1.00026226465654
16,0,1.00026881393379
16.2,0,1.00027358830822
16.4,0,1.00027656730356
16.6,0,1.00027773045287
16.8,0,1.00027705729896
17,0,1.00027452739471
17.2,0,1.00027012030348
17.4,0,1.00026381559948
17.6,0,1.00025559286816
17.8,0,1.0002454317066
18,0,1.0002333117239
18.2,0,1.00021921254159
18.4,0,1.00020311379399
18.6,0,1.00018499512868
18.8,0,1.00016483620686
19,0,1.0001426167038
19.2,0,1.00011831630922
19.4,0,1.00009191472773
19.6,0,1.00006339228813
19.8,0,1.00003274754953
20,0,1
20.2,0,0.999965170290666
20.4,0,0.999928279082909
20.6,0,0.999889347047927
20.8,0,0.999848394866313
21,0,0.999805443227637
21.2,0,0.999760512830037
21.4,0,0.999713624379803
21.6,0,0.999664798590978
21.8,0,0.999614056184954
22,0,0.999561417890075
22.2,0,0.999506904441248
22.4,0,0.999450536579549
22.6,0,0.999392335051844
22.8,0,0.999332320610408
23,0,0.999270514012546
23.2,0,0.999206936020225
23.4,0,0.999141607399706
23.6,0,0.999074548921182
23.8,0,0.999005781358415
24,0,0.998935325488388
24.2,0,0.998863202090947
24.4,0,0.998789431948463
24.6,0,0.998714035845485
24.8,0,0.998637034568401
25,0,0.998558448905112
25.2,0,0.998478299644696
25.4,0,0.998396607577085
25.6,0,0.998313393492747
25.8,0,0.998228678182367
26,0,0.998142482436536
26.2,0,0.998054827045445
26.4,0,0.997965732798578
26.6,0,0.997875220484416
26.8,0,0.99778331089014
27,0,0.997690024801344
27.2,0,0.997595383001744
27.4,0,0.9974994062729
27.6,0,0.997402115393936
27.8,0,0.997303531141268
28,0,0.997203674288333
28.2,0,0.997102565605328
28.4,0,0.997000225858944
28.6,0,0.996896675812115
28.8,0,0.996791936223765
29,0,0.996686027848556
29.2,0,0.996578971436651
29.4,0,0.99647078773347
29.6,0,0.99636149747946
29.8,0,0.996251121409859
30,0,0.996139680254474
30.2,0,0.996027194737459
30.4,0,0.995913685577096
30.6,0,0.995799173485579
30.8,0,0.995683679168813
31,0,0.995567223326202
31.2,0,0.995449826650451
31.4,0,0.995331509827372
31.6,0,0.995212293535686
31.8,0,0.995092198446845
32,0,0.994971245224839
32.2,0,0.994849454526026
32.4,0,0.994726846998948
32.6,0,0.994603443284168
32.8,0,0.994479264014102
33,0,0.994354329812855
33.2,0,0.994228661296066
33.4,0,0.994102279070751
33.6,0,0.99397520373516
33.8,0,0.993847455878625
34,0,0.993719056081427
34.2,0,0.993590024914653
34.4,0,0.993460382940069
34.6,0,0.993330150709987
34.8,0,0.993199348767147
35,0,0.993067997644595
35.2,0,0.992936117865568
35.4,0,0.992803729943384
35.6,0,0.992670854381333
35.8,0,0.99253751167258
36,0,0.992403722300059
36.2,0,0.992269506736388
36.4,0,0.992134885443773
36.6,0,0.991999878873925
36.8,0,0.991864507467977
37,0,0.99172879165641
37.2,0,0.991592751858979
37.4,0,0.991456408484642
37.6,0,0.991319781931501
37.8,0,0.991182892586734
38,0,0.991045760826547
38.2,0,0.990908407016118
38.4,0,0.99077085150955
38.6,0,0.990633114649827
38.8,0,0.990495216768775
39,0,0.99035717818703
39.2,0,0.990219019214001
39.4,0,0.990080760147851
39.6,0,0.989942421275465
39.8,0,0.989804022872442
40,0,0.98966558520307
0,1,0.996789370992727
0.2,1,0.996856029384028
0.4,1,0.996922557601192
0.6,1,0.996988938335852
0.8,1,0.997055154275099
1,1,0.997121188101512
1.2,1,0.997187022493182
1.4,1,0.997252640123751
1.6,1,0.997318023662443
1.8,1,0.997383155774108
2,1,0.997448019119259
2.2,1,0.997512596354123
2.4,1,0.997576870130683
2.6,1,0.997640823096735
2.8,1,0.997704437895938
3,1,0.997767697167871
3.2,1,0.997830583548099
3.4,1,0.997893079668229
3.6,1,0.997955168155979
3.8,1,0.998016831635251
4,1,0.998078052726197
4.2,1,0.998138814045299
4.4,1,0.998199098205445
4.6,1,0.998258887816012
4.8,1,0.998318165482948
5,1,0.998376913808864
5.2,1,0.998435115393118
5.4,1,0.998492752831916
5.6,1,0.998549808718401
5.8,1,0.998606265642758
6,1,0.998662106192316
6.2,1,0.998717312951651
6.4,1,0.998771868502696
6.6,1,0.998825755424854
6.8,1,0.99887895629511
7,1,0.998931453688153
7.2,1,0.998983230176492
7.4,1,0.999034268330583
7.6,1,0.999084550718955
7.8,1,0.99913405990834
8,1,0.999182778463805
