"value","fit","lo","hi"
0,1.33487173700348,1.21705566829041,1.46409289293536
0.2,1.33521422235024,1.22277353273877,1.45799444609604
0.4,1.33553166141367,1.22842727813797,1.45197428482863
0.6,1.3358121446485,1.233988202816,1.44603820499935
0.8,1.33604375503793,1.23942641201679,1.44019273598607
1,1.33621457191828,1.24471073760075,1.434445231547
1.2,1.33631267586596,1.24980866561416,1.42880395760622
1.4,1.33632615464599,1.25468628328598,1.42327816553002
1.6,1.33624311021972,1.25930826428772,1.41787813218204
1.8,1.33605166680803,1.26363792145818,1.41261513766591
2,1.3357399800041,1.26763737003391,1.40750133781054
2.2,1.33529624692806,1.27126786115578,1.40254947170547
2.4,1.33470871741307,1.27449036231432,1.39777232768049
2.6,1.33396570621007,1.27726647189933,1.39318188059725
2.8,1.33305560619535,1.27955974719706,1.38878802111551
3,1.33196690256205,1.2813374821392,1.38459684060659
3.2,1.33068818797321,1.28257287668728,1.38060852977415
3.4,1.32920817865072,1.28324739232136,1.3768150964218
3.6,1.32751573137035,1.28335291952708,1.37319827634411
3.8,1.32559986132946,1.28289326732631,1.36972812712543
4,1.32344976084943,1.28188451294548,1.36636276653958
4.2,1.32105481887094,1.28035396736278,1.36304949955113
4.4,1.31840464119552,1.2783378612133,1.35972722913498
4.6,1.31548907142226,1.27587818421996,1.35632971739334
4.8,1.31229821252398,1.27301927050472,1.35278910421432
5,1.30882244900243,1.26980466333704,1.34903914946329
5.2,1.30505246955703,1.26627458432678,1.3450178731988
5.4,1.30098059694069,1.26246460839005,1.34067165318367
5.6,1.29661258411049,1.25840852157322,1.33597648494298
5.8,1.29196189270631,1.25413435425514,1.33093039556883
6,1.28704211524372,1.24966230970438,1.32554002273054
6.2,1.28186685671157,1.24500620032278,1.31981883938376
6.4,1.27644970994667,1.24017471505878,1.31378574505587
6.6,1.27080423221847,1.23517249639031,1.30746385735103
6.8,1.26494392304506,1.23000106538104,1.30087946546041
7,1.25888220325672,1.22465963960003,1.29406110108609
7.2,1.25263239531744,1.21914588754146,1.28703868325631
7.4,1.24620770490963,1.21345665727905,1.27984269933342
7.6,1.23962120378272,1.2075887071418,1.27250339439227
7.8,1.23288581386134,1.20153945201493,1.26504995526493
8,1.22601429260493,1.19530772046418,1.25750969389527
8.2,1.21901921960646,1.18889449654109,1.24990725593673
8.4,1.21191298441443,1.18230359920257,1.24226390140647
8.6,1.20470777555899,1.17554223714323,1.23459691930701
8.8,1.19741557076015,1.168621373509,1.22691924142513
9,1.19004812829318,1.16155584746521,1.21923930798903
9.2,1.18261697948417,1.15436422723569,1.21156121020259
9.4,1.17513342230652,1.14706840555773,1.20388509833499
9.6,1.16760851604735,1.13969298318706,1.19620780934695
9.8,1.16005307701137,1.13226450911787,1.18852364500233
10,1.1524776752286,1.12481065192976,1.18082522566942
10.2,1.14489263213114,1.11735936554735,1.17310435614962
10.4,1.13730801916373,1.10993808972722,1.16535286285383
10.6,1.12973365729225,1.10257299727156,1.15756338997713
10.8,1.12217916236616,1.09528825607035,1.14973027919322
11,1.11465732952236,1.08810406679082,1.14185857784941
11.2,1.10718637197881,1.08103500549156,1.13397036735011
11.4,1.09978456503511,1.07409205858175,1.12609164161081
11.6,1.09246968905497,1.06728351543205,1.11825021584889
11.8,1.08525904249364,1.060615559737,1.11047511843619
12,1.07816945771688,1.05409277559441,1.10279607873983
12.2,1.07121731947699,1.04771860785896,1.09524307093526
12.4,1.06441858591965,1.04149581010896,1.08784587998742
12.6,1.05778881200397,1.03542690639898,1.08063366316426
12.8,1.05134317522847,1.0295146836514,1.07363448977649
13,1.04509650356671,1.02376271899011,1.06687485440453
13.2,1.03906330552811,1.0181759303648,1.0603791748526
13.4,1.03325780227245,1.01276112101374,1.05416930390084
13.6,1.02769396172008,1.0075274724149,1.04826409986067
13.8,1.02238553461438,1.00248693175995,1.04267910959564
14,1.01734609250824,0.997654443705349,1.03742641399737
14.2,1.01258906766225,0.993047994109472,1.03251466800311
14.4,1.00812779485928,0.98868846232617,1.02794933843635
14.6,1.00397555515768,0.984599310285491,1.02373311135258
