"value","lag","rr","lo","hi"
0,0,1.00850190846705,0.984545808598614,1.0306069103061
0.2,0,1.00842212927869,0.984613876961876,1.03033322338789
0.4,0,1.00833667669509,0.98460299248513,1.03007826101733
0.6,0,1.00824528307271,0.984576866688751,1.02985710503867
0.8,0,1.00814768007309,0.984544759766591,1.02962751595772
1,0,1.00804359980205,0.984506145912932,1.02943934495908
1.2,0,1.00793277602451,0.984464645201885,1.02907790889537
1.4,0,1.00781494545173,0.984499683821693,1.0286025301555
1.6,0,1.00768984909737,0.984555419539291,1.02818589427935
1.8,0,1.00755723369793,0.984612976759478,1.02793526436413
2,0,1.00741685319235,0.984672274333354,1.02768834560659
2.2,0,1.00726847025521,0.984733218087845,1.0274171696201
2.4,0,1.00711185787692,0.984795700749545,1.02705371513555
2.6,0,1.00694680098396,0.984859601975755,1.02679696180556
2.8,0,1.0067730980916,0.98492478849879,1.02653457081992
3,0,1.00659056298089,0.984991114388904,1.02625747916434
3.2,0,1.00639902639138,0.985058421440257,1.02596415861626
3.4,0,1.00619833772053,0.985038664939963,1.02551541236715
3.6,0,1.00598836672046,0.984892047249275,1.02524245918508
3.8,0,1.00576900518247,0.9846680403964,1.02486863472636
4,0,1.00554016859932,0.984537418744873,1.02456040998557
4.2,0,1.00530179779559,0.984434183790997,1.02416268300989
4.4,0,1.0050538605159,0.984514954871913,1.02370974146056
4.6,0,1.00479635296122,0.984488228176721,1.02328449811458
4.8,0,1.00452930126341,0.984497155856788,1.02281968607947
5,0,1.0042527628884,0.984444750450234,1.02228657849729
5.2,0,1.00396682795887,0.984386837263511,1.02175356343638
5.4,0,1.00367162048729,0.984381530091643,1.0212231386556
5.6,0,1.00336729951117,0.984502313702781,1.02076305273907
5.8,0,1.00305406012236,0.98443981807376,1.02025432071892
6,0,1.00273213438319,0.984276661475994,1.01956600689314
6.2,0,1.00240179212269,0.984098495753053,1.01890394744785
6.4,0,1.00206334160687,0.98387302546219,1.01840804048461
6.6,0,1.00171713007768,0.983570156929524,1.01784918733597
6.8,0,1.00136354415609,0.983415131800115,1.01722998856617
