"value","lag","rr","lo","hi"
0,0,1.10867180567075,1.07274874717551,1.1737645143861
0.2,0,1.10857710941751,1.07275194124491,1.17354703850649
0.4,0,1.10847505367774,1.07281261833472,1.17334914975727
0.6,0,1.1083652000677,1.07284383645478,1.17316141972661
0.8,0,1.10824709236894,1.07283832543015,1.17296620562503
1,0,1.10812025587288,1.07283133177734,1.17276983526558
1.2,0,1.10798419663696,1.072801006546,1.17260864396124
1.4,0,1.10783840064359,1.0727778369716,1.17247234136038
1.6,0,1.10768233285408,1.07280310283026,1.172244340148
1.8,0,1.10751543615125,1.07282564741263,1.17182680432538
2,0,1.10733713016561,1.07281811878919,1.17121365308053
2.2,0,1.10714680998218,1.07280815489945,1.17047123613627
2.4,0,1.10694384472758,1.07269330260634,1.17004559799777
2.6,0,1.10672757603923,1.07253948847749,1.16958726295091
2.8,0,1.10649731642222,1.07247798645563,1.16930030106065
3,0,1.10625234750253,1.07248662766487,1.16897480173522
3.2,0,1.10599191818934,1.07235275950709,1.16844868320962
3.4,0,1.10571524276336,1.0722335224538,1.16772448908014
3.6,0,1.10542149891272,1.07210435103372,1.16696053141403
3.8,0,1.10510982574277,1.07196451726272,1.16615529536237
4,0,1.1047793217911,1.07184521932735,1.16555717556273
4.2,0,1.10442904308448,1.07173216455939,1.1649393249811
4.4,0,1.10405800127961,1.07160345531125,1.1641674755498
4.6,0,1.10366516193485,1.07145789927416,1.16325497168151
4.8,0,1.10324944296549,1.0713447170303,1.16229995631603
5,0,1.10280971333992,1.07119654672591,1.1613009374305
5.2,0,1.10234479207902,1.07099676791795,1.16025638421818
5.4,0,1.1018534476253,1.0709224977721,1.15916472962608
5.6,0,1.10133439765206,1.07062397647584,1.15803392027057
5.8,0,1.10078630938618,1.07028106626566,1.1570074641917
6,0,1.10020780052009,1.07003293167553,1.15599652600877
6.2,0,1.09959744079039,1.06964438336581,1.15524778837763
6.4,0,1.09895375430034,1.06939116175832,1.15468845427538
6.6,0,1.09827522266317,1.06897008592375,1.15379614498948
6.8,0,1.0975602890406,1.06844648862065,1.15304526025065
7,0,1.09680736314756,1.06799491716896,1.15210191497148
7.2,0,1.09601482728924,1.06735608169315,1.15102189861224
7.4,0,1.09518104348964,1.06674307793088,1.14965003505748
7.6,0,1.09430436176283,1.06605339946904,1.14855134112377
7.8,0,1.09338312956815,1.06550412879049,1.14722102683422
8,0,1.09241570247889,1.06477023298888,1.14580239620809
8.2,0,1.09140045608107,1.06404130551112,1.14418836132642
8.4,0,1.09033579910371,1.06322473461989,1.14277091147039
8.6,0,1.08922018776625,1.06249365288244,1.1411895970024
8.8,0,1.08805214131068,1.06171543082468,1.1396001612998
9,0,1.0868302586674,1.06089082684468,1.13792893321752
9.2,0,1.08555323618404,1.06003204457955,1.13595332466362
9.4,0,1.08421988632587,1.05915031650532,1.13405429855511
9.6,0,1.08282915723558,1.05814995208175,1.13207761725551
9.8,0,1.08138015301929,1.05711529937884,1.12994431012888
10,0,1.07987215460462,1.05585683919917,1.12770551265868
10.2,0,1.07830464099672,1.05457559860393,1.12543634297328
10.4,0,1.07667731073898,1.05311532629613,1.12293610846565
10.6,0,1.07499010336734,1.0519295898211,1.12041139717357
10.8,0,1.07324322063138,1.05060530905598,1.11781828673399
11,0,1.07143714724187,1.04926796412458,1.11458648428801
11.2,0,1.0695726708932,1.0478455136137,1.11175534026343
11.4,0,1.06765090130158,1.04634348355202,1.10880823177555
11.6,0,1.06567328799517,1.04466271905729,1.10587325072278
11.8,0,1.06364163659107,1.04307179800886,1.10276932806885
12,0,1.06155812329752,1.04131061326858,1.09928538097632
12.2,0,1.0594253073859,1.03952176873441,1.0959597956285
12.4,0,1.05724614138854,1.03773180192415,1.0926565604848
12.6,0,1.05502397879283,1.03593126511364,1.08917630964414
12.8,0,1.0527625790213,1.03397810602274,1.08571078621796
13,0,1.05046610950978,1.03199138856174,1.08265348465129
13.2,0,1.04813914472183,1.03006043180348,1.07943346298825
13.4,0,1.04578666196685,1.02815890817504,1.07589441555578
13.6,0,1.04341403392092,1.02627284236814,1.07232656974304
13.8,0,1.04102701778362,1.02428649295762,1.06884134968747
14,0,1.03863174103936,1.02236075543442,1.06555400130342
14.2,0,1.03623468382844,1.02031385768709,1.06224287393342
14.4,0,1.03384265796964,1.01845119606001,1.05896149660919
14.6,0,1.0314627827128,1.01654763921979,1.05582622035612
14.8,0,1.02910245733536,1.01461393564348,1.05222209192856
15,0,1.02676933073063,1.01289565324917,1.04881410336784
15.2,0,1.02447126816737,1.0110697327171,1.04546735742475
15.4,0,1.02221631542961,1.00931713441606,1.04209822416485
15.6,0,1.02001266057141,1.0076064537671,1.03866454696138
15.8,0,1.01786859354398,1.00576310415204,1.03531360307681
16,0,1.01579246397162,1.00412773750309,1.03235995187448
16.2,0,1.01379263736797,1.00266016501566,1.02941099956349
16.4,0,1.01187745009535,1.00131055621911,1.02650428990525
16.6,0,1.01005516337746,1.00004965588177,1.02358056301709
16.8,0,1.0083339166796,0.998909924627312,1.02099567409716
17,0,1.00672168077104,0.99792390203375,1.01853657083582
17.2,0,1.00522621078165,0.997032144601343,1.01606982652116
17.4,0,1.00385499955967,0.996122408458781,1.01366138536916
17.6,0,1.00261523163018,0.995326262419751,1.01152582842127
17.8,0,1.00151373804486,0.994807996245034,1.0097952456083
