"value","fit","lo","hi"
0,1.48802238430159,1.36638407751979,1.71439797448038
0.2,1.48617962268272,1.36723183596565,1.70491553168114
0.4,1.48425103258401,1.3673416105528,1.6950985744875
0.6,1.48223670429019,1.36718155563123,1.68613450215054
0.8,1.48013704419034,1.36691605861441,1.67746008657892
1,1.47795277363289,1.36663374075329,1.66787565200395
1.2,1.4756849233501,1.36633364973273,1.65936017462788
1.4,1.47333482321702,1.3666452222986,1.64920260936819
1.6,1.47090408716698,1.36699723744875,1.6404228520272
1.8,1.4683945931492,1.36690598798869,1.6305922375506
2,1.46580845808432,1.36680105707483,1.62099033425302
2.2,1.46314800784813,1.36668048921947,1.6098034407356
2.4,1.46041574239347,1.3665420877739,1.600719520486
2.6,1.45761429620226,1.36677783436846,1.59178617249469
2.8,1.45474639434384,1.36671999335538,1.58150385521029
3,1.45181480450065,1.36713143611518,1.5718185096138
3.2,1.44882228540648,1.36691254932524,1.56349659607827
3.4,1.44577153222496,1.3666130527578,1.55313413680272
3.6,1.44266511947503,1.36630022870018,1.54386166899194
3.8,1.43950544218558,1.36596624159642,1.53570255895263
4,1.4362946560305,1.36531211454877,1.52830019556306
4.2,1.43303461725921,1.36450183995011,1.51814378368766
4.4,1.42972682329274,1.36353498549022,1.50830048333173
4.6,1.42637235490327,1.36229616222125,1.5017046238703
4.8,1.42297182093249,1.36174042183896,1.49423594241088
5,1.41952530653222,1.36069738788861,1.48786219269614
5.2,1.41603232592706,1.35946820322742,1.48161932492584
5.4,1.41249178070414,1.35763553520515,1.47553176761987
5.6,1.40890192462659,1.35514754761389,1.47014579078316
5.8,1.40526033594669,1.35287019008489,1.46460508171223
6,1.40156389815817,1.34992399494489,1.45919097322015
6.2,1.39780879007701,1.34775800977282,1.45343408450279
6.4,1.3939904860722,1.34421650392847,1.44797317390282
6.6,1.39010376718487,1.33923793956387,1.44304168621518
6.8,1.38614274377221,1.33612136002843,1.43916152683663
7,1.38210089019331,1.33231658631509,1.43517328171604
7.2,1.37797109191616,1.32829689978822,1.43046391241537
7.4,1.37374570526803,1.32434227367102,1.42529013077092
7.6,1.36941662987748,1.31977160724473,1.42035520668138
7.8,1.36497539366335,1.31557726763616,1.41447688136686
8,1.36041325001865,1.31119916027341,1.40963778354411
