"value","fit","lo","hi"
0,1.29629540320111,1.10949227176382,1.51455022727552
0.2,1.29944489306145,1.12642547526581,1.49904016482316
0.4,1.30260014409585,1.14254980692539,1.48507060708763
0.6,1.30574540933017,1.15789863049497,1.47247006696776
0.8,1.30886479011197,1.17250420807617,1.4610839150895
1,1.31194223829153,1.18639547561412,1.45077461267495
1.2,1.31496156035625,1.19959575325837,1.441422162856
1.4,1.31790642354906,1.21212042897994,1.43292473231685
1.6,1.32076036399952,1.22397465022645,1.42519940162927
1.8,1.323506796894,1.2351510683397,1.41818299503982
2,1.32612902870806,1.24562772618257,1.41183289663258
2.2,1.32861027152023,1.25536629957319,1.40612764114284
2.4,1.33093365942213,1.26431115612092,1.40106681587594
2.6,1.33308226703413,1.27239014297274,1.39666936316319
2.8,1.33503913013014,1.27951864398262,1.3929687444264
3,1.33678726836797,1.28560895998896,1.39000291417233
3.2,1.33830971011456,1.29058659485253,1.38779752349092
3.4,1.33958951934691,1.29441228466693,1.3863435179046
3.6,1.34060982460097,1.29710348415679,1.38557541766606
3.8,1.3413538499308,1.29874509165329,1.38536050090766
4,1.3418049478305,1.2994821815404,1.38550612205254
4.2,1.3419466340604,1.29949739490806,1.38578251539585
4.4,1.34176343525846,1.29898311302042,1.38595267186379
4.6,1.3412511703479,1.29810803570059,1.38582818416089
4.8,1.34041389213825,1.2969954587175,1.38528580818151
5,1.33925605980998,1.29572906835931,1.38424523886686
5.2,1.33778235104541,1.29436152509314,1.38265977786987
5.4,1.33599765189981,1.29292197663637,1.38050845923846
5.6,1.33390704657322,1.2914219512201,1.37778981317195
5.8,1.33151580710614,1.28985970783019,1.37451719269218
6,1.32882938302209,1.28822333403078,1.37071537406315
6.2,1.32585339093904,1.2864928981954,1.36641812537822
6.4,1.32259360417142,1.28464191836983,1.36166648213915
6.6,1.31905594234363,1.2826383633336,1.35650751511126
6.8,1.31524646103531,1.28044537576296,1.35099340121023
7,1.31117134147789,1.27802191184246,1.34518060354261
7.2,1.30683688032116,1.27532352866912,1.3391289295429
7.4,1.30224947948802,1.27230361255131,1.3329001742172
7.6,1.29741563613436,1.26891539626031,1.32655600038177
7.8,1.29234193273081,1.26511508766929,1.32015473325143
8,1.28703502728155,1.26086620998516,1.31374696881528
8.2,1.28150164369517,1.25614474382184,1.30737040525828
8.4,1.27574856232136,1.25094395828696,1.30104500963718
8.6,1.26978261066642,1.24527733316761,1.29477011699032
