"value","lag","rr","lo","hi"
0,0,1.11438395388025,1.03093516003409,1.20458748989094
0.2,0,1.11332253458328,1.03522526507997,1.19731145270608
0.4,0,1.11223992341019,1.03911141850994,1.19051491995098
0.6,0,1.11113363971467,1.04254804829207,1.18423123742656
0.8,0,1.11000121439028,1.04549466970257,1.17848778348953
1,0,1.10884019043196,1.04791959675324,1.17330239049504
1.2,0,1.10764812355178,1.0498041925573,1.16867923971528
1.4,0,1.10642258284855,1.05114697609299,1.16460491223347
1.6,0,1.10516115153041,1.05196658580846,1.16104559529651
1.8,0,1.10386142769003,1.05230257891208,1.15794646517129
2,0,1.10252102513147,1.05221347552605,1.15523383717287
2.2,0,1.10113757424808,1.05177223023035,1.15281990013693
2.4,0,1.09970872295057,1.0510600525522,1.15060911352971
2.6,0,1.09823213764445,1.05015981620447,1.14850502708654
2.8,0,1.09670637001894,1.04914855867399,1.14641997274465
3,0,1.09513432805893,1.04808437963937,1.14429641333434
3.2,0,1.09352026774169,1.04700624956945,1.14210070518068
3.4,0,1.09186842675242,1.04593817206035,1.1398156154779
3.6,0,1.09018302249848,1.04489202698291,1.13743716274271
3.8,0,1.08846825075885,1.04387016493535,1.13497173566926
4,0,1.08672828449488,1.04286770641508,1.13243353596677
4.2,0,1.08496727282115,1.04187458000849,1.12984231085029
4.4,0,1.08318934013507,1.04087736487447,1.12722130980699
4.6,0,1.08139858540365,1.03986100189744,1.12459540109607
4.8,0,1.07959908160604,1.03881041658917,1.12198930468132
5,0,1.07779487533004,1.03771206235226,1.11942593271442
5.2,0,1.07598998652103,1.03655535160402,1.11692486976403
5.4,0,1.07418840838159,1.03533390284827,1.11450106436867
5.6,0,1.07239410741996,1.0340465045652,1.1121638306902
5.8,0,1.07061102364584,1.03269769183199,1.10991626399265
6,0,1.06884307091158,1.03129785382765,1.10775515142943
6.2,0,1.0670941373972,1.02986283541804,1.10567141458724
6.4,0,1.06536808623758,1.02841304971393,1.10365106655273
6.6,0,1.06366875629013,1.02697216173572,1.10167662305043
6.8,0,1.06199996071499,1.02556541314801,1.09972889305683
7,0,1.06036402661636,1.02421330244943,1.09779072997109
7.2,0,1.05875930880629,1.02292106575927,1.09585315182842
7.4,0,1.05718351084659,1.02168692544319,1.09391335816606
7.6,0,1.05563435167333,1.02050509075861,1.09197288139385
7.8,0,1.05410956501416,1.01936687064351,1.09003638145794
8,0,1.05260689885458,1.01826166606684,1.08811057161366
8.2,0,1.05112411495267,1.01717786663908,1.08620325045578
8.4,0,1.04965898840173,1.01610366899556,1.08432242255524
8.6,0,1.04820930724025,1.01502782323845,1.08247550129171
8.8,0,1.04677287210877,1.01394030113686,1.08066860006874
9,0,1.04534749595307,1.01283286829827,1.07890592959465
9.2,0,1.04393100377327,1.01169953451122,1.0771893269335
9.4,0,1.04252123241836,1.01053685387118,1.07551794462477
9.6,0,1.04111603042578,1.00934405004468,1.07388812443246
9.8,0,1.03971325790553,1.00812295139715,1.0722934709168
10,0,1.03831078646848,1.00687773329069,1.07072512744262
10.2,0,1.03690649919841,1.00561447707154,1.06917224502469
10.4,0,1.03549829066738,1.00434056344476,1.06762262623086
10.6,0,1.03408406699404,1.00306391943306,1.06606352486023
10.8,0,1.03266174594443,1.00179213202283,1.06448258820293
11,0,1.03122928768367,1.00053142479033,1.0628690088364
11.2,0,1.02978642560874,0.999285296897595,1.06121853854986
11.4,0,1.02833558069724,0.998053805796192,1.0595361296021
11.6,0,1.02687938674521,0.996834537470153,1.05782979550284
11.8,0,1.02542046294172,0.995623565067613,1.05610911865892
12,0,1.02396141376618,0.994416290394037,1.05438435292181
12.2,0,1.02250482895203,0.993208203786719,1.05266561557192
12.4,0,1.02105328351628,0.991995566454756,1.05096216458435
12.6,0,1.01960933785404,0.990776009593919,1.0492817667893
12.8,0,1.01817553789771,0.989549036961665,1.04763017015948
13,0,1.01675441533987,0.988316413956193,1.04601069709538
