"value","fit","lo","hi"
0,2.00432183576796,1.78848279450281,2.24620892841914
0.2,1.97070489380033,1.77554263541693,2.18731879538144
0.4,1.93905109612723,1.76320587850638,2.13243342664967
0.6,1.90938574797364,1.75147169567228,2.08153745422959
0.8,1.88173346497746,1.74032979011015,2.03462634113271
1,1.85611890010298,1.72975935927432,1.99170905065363
1.2,1.83256747307612,1.71972910147358,1.95280962594572
1.4,1.8111061063488,1.71019971331114,1.91796624857529
1.6,1.79176397240343,1.70113120960792,1.88722546189889
1.8,1.77457325804951,1.69249793507686,1.86062870915199
2,1.75956995225928,1.68431292028886,1.83818955468367
2.2,1.74679466505755,1.67665846532541,1.81986472795538
2.4,1.73629348604375,1.66971213106998,1.80552983570053
2.6,1.7281188923071,1.66375313017874,1.79497477827609
2.8,1.72233071682691,1.65914158647995,1.7879264327399
3,1.71899219470011,1.65627370979077,1.78408565442556
3.2,1.71803876087407,1.65539015891368,1.78305831285278
3.4,1.71926478819074,1.65652037286768,1.7843857886248
3.6,1.72246512594323,1.65963375799727,1.78767519990125
3.8,1.72744037298988,1.664655162558,1.79259363101362
4,1.73399464769043,1.67147331599647,1.79885458502013
4.2,1.74193361252655,1.67994820748087,1.80620610619886
4.4,1.75106273794135,1.68991660468961,1.81442131741752
4.6,1.76118579616441,1.70119575542226,1.82329129303604
4.8,1.77210358117481,1.71358561407551,1.83261990332875
5,1.78361285555913,1.72686997742557,1.84222023667263
5.2,1.79550552887479,1.74081686258192,1.85191226803632
5.4,1.8075680752355,1.75517839153779,1.86152151961484
5.6,1.81958120017522,1.76969039558908,1.87087851766807
5.8,1.83131976838373,1.78407193878085,1.8798188689436
6,1.84255300458947,1.7980250047804,1.88818373809897
6.2,1.85304497963871,1.81123472984948,1.8958203704771
6.4,1.86255539262348,1.8233708361288,1.90258203205448
6.6,1.87084065769237,1.83409132919787,1.9083263252793
6.8,1.87765530089505,1.84304992145545,1.91291043608581
7,1.88275366804078,1.84990852820523,1.91618197358121
7.2,1.88589193909579,1.8543546935862,1.91796554254045
7.4,1.88683043814236,1.85612051919717,1.91804845939658
7.6,1.88533622044986,1.85499629047819,1.91617238394793
7.8,1.88118590989064,1.85083235886547,1.91203725751821
8,1.87416875094705,1.84352852039769,1.90531823520078
8.2,1.86408983013083,1.83301669028381,1.89568971914772
8.4,1.85077961806443,1.81925014669042,1.88285552752278
8.6,1.83428373118642,1.80236477843595,1.86676795216498
8.8,1.81488916143925,1.78269036145391,1.84766953338062
9,1.79290139853563,1.76054468393705,1.82585279101383
9.2,1.76862732446495,1.73622591293852,1.80163341045286
9.4,1.74237166376919,1.7100162155139,1.77533931384006
9.6,1.71443384952296,1.68218441113945,1.74730154727753
9.8,1.6851053188765,1.65298800247104,1.71784667006718
10,1.65466724075621,1.62267482890149,1.68729041017127
10.2,1.6233886685871,1.59148443426268,1.65593248200253
10.4,1.59152510277997,1.55964910480455,1.62405258014507
10.6,1.55931744121844,1.52739445777954,1.59190762419211
10.8,1.52699129104025,1.49493946803934,1.55973031200444
11,1.49475661154202,1.46249590557093,1.5277289455907
11.2,1.46280765592404,1.4302672835937,1.4960883624867
11.4,1.43132317868662,1.39844752917513,1.46497169118242
11.6,1.4004668756365,1.36721964106223,1.43452259669943
11.8,1.3703880245004,1.33675457965848,1.4048677044173
12,1.34122229591668,1.30721056145245,1.37611896668373
12.2,1.31309270693787,1.27873283926859,1.34837583274989
12.4,1.28611069199257,1.25145397017727,1.32172716813811
12.6,1.26037726940629,1.22549451979288,1.29625292939257
12.8,1.23598428496901,1.20096412624798,1.2720256328247
13,1.2130157175817,1.17796284287466,1.24911166765624
13.2,1.19154903565656,1.15658268713845,1.2275725031704
13.4,1.17165659664615,1.13690933761431,1.20746583306728
13.6,1.15340708581733,1.11902393607336,1.18884669284358
13.8,1.13686455139088,1.10300219289652,1.17176649016004
14,1.12200566943926,1.08882055530629,1.15620220073795
14.2,1.10870448318888,1.07633843782558,1.14204379203106
14.4,1.09683807314426,1.06541807668419,1.12918466940506
14.6,1.08629236548621,1.05593127963281,1.11752642058674
14.8,1.07696098278281,1.04775819532801,1.10697770116073
15,1.06874422064399,1.0407861681996,1.09745329449927
15.2,1.06154813551686,1.03490868504855,1.08887330863056
15.4,1.05528373108767,1.03002441377683,1.08116248333858
15.6,1.04986623271211,1.0260363318276,1.07424958785409
15.8,1.04521444098626,1.02285094096188,1.06806689410568
16,1.04125015703438,1.02037756532771,1.06254971332687
16.2,1.03789767335825,1.01852773119867,1.05763598512405
16.4,1.03508332519235,1.01721462942192,1.05326590780563
16.6,1.03273509826085,1.01635266605692,1.04938159636816
16.8,1.03078228965264,1.01585711393087,1.04592674903869
17,1.02915521923362,1.01564388952556,1.04284629307479
17.2,1.02778498961126,1.01562949792481,1.04008596346265
17.4,1.02660329316323,1.01573121538475,1.03759174235319
17.6,1.02554226504576,1.01586761311586,1.03530905387299
17.8,1.0245343814128,1.01595955532996,1.03318158010335
18,1.02351240230675,1.0159317948242,1.03114957422611
18.2,1.02240935882812,1.01571517358841,1.02914766284954
18.4,1.02115858425559,1.01524914269228,1.02710242279411
18.6,1.01969378877147,1.01448387967796,1.02493045349246
18.8,1.0179491773506,1.01338098878561,1.0225379587104
19,1.015859610195,1.01191205991295,1.01982256018799
19.2,1.01336218577879,1.01005653752345,1.01667865254772
19.4,1.01045257879819,1.00784679624562,1.01306509858774
19.6,1.00720385963887,1.00537658107886,1.00903445928969
19.8,1.00369395606442,1.00273422918654,1.00465460150641
20,1,1,1
20.2,0.996198159229889,0.99514937506749,0.99724804870195
20.4,0.992363527475649,0.990183896246905,0.994547956593261
20.6,0.988570071626864,0.985185891353747,0.991965876788464
20.8,0.984890634725158,0.980237961236885,0.989565392004759
21,0.98139699324976,0.975422408171306,0.987408173414159
21.2,0.978159967315086,0.970820905692336,0.985554509639979
21.4,0.975249582563424,0.966514357041794,0.984063755867214
21.6,0.972735282815275,0.962582904751216,0.982994738181296
21.8,0.97068619292337,0.959106065167876,0.982406137706099
22,0.969171431762448,0.956162969809889,0.982356871999792
22.2,0.968260475875866,0.953832701243979,0.982906486557489
22.4,0.968023574994529,0.952194715449739,0.98411556642865
22.6,0.968532221448512,0.951329345891895,0.986046176368648
22.8,0.969859676415339,0.951318387119629,0.988762337270142
23,0.972081557002789,0.952245757874065,0.992330546659087
23.2,0.975276489364406,0.954198245541707,0.996820351694291
23.4,0.979526834413139,0.957266335397331,1.00230498436695
23.6,0.984919494259367,0.961545129417009,1.00886207053047
23.8,0.991546809286931,0.967135360409815,1.01657442717272
24,0.999507557835806,0.974144507597417,1.02553096627812
24.2,1.00890807283305,0.982688019165615,1.03582772922375
24.4,1.01986349246622,0.9928906450246,1.04756908374297
24.6,1.03249767406899,1.00488620895905,1.06086782508657
24.8,1.04687221029164,1.01873808037619,1.07578331054063
25,1.06294998141006,1.03439889470065,1.09228912440652
25.2,1.08068763040436,1.05181427524289,1.11035358807931
25.4,1.10004221984133,1.07093013584193,1.12994568453534
25.6,1.1209699619114,1.09169113091747,1.1510340424325
25.8,1.14342496842958,1.11403917724327,1.17358588919956
26,1.16735801483545,1.13791206167806,1.19756594616896
26.2,1.19271531504458,1.16324215768764,1.22293523609027
26.4,1.21943730680889,1.18995528094799,1.24964977175668
26.6,1.24745745006783,1.21796971857646,1.27765909611328
26.8,1.27670104363499,1.24719546486976,1.30690465186137
27,1.30708406847163,1.27753368596809,1.33731797510898
27.2,1.33851206874177,1.3088764147919,1.36881873484766
27.4,1.37087908480092,1.34110644684994,1.40131267697566
27.6,1.40406665520542,1.37409737231794,1.4346895729334
27.8,1.43794290769036,1.4077136496814,1.46882130910997
28,1.47236176178257,1.44181061246305,1.50356027263256
28.2,1.50716226820975,1.47623431099794,1.53873818389954
28.4,1.54216811243857,1.51082112535906,1.5741654965654
28.6,1.57718731141327,1.5453971329206,1.60963144184299
28.8,1.61201213374902,1.5797772580078,1.64490475235163
29,1.64641927412971,1.61376425577246,1.67973507687359
29.2,1.68017031233235,1.64714757871695,1.71385510012524
29.4,1.71301248601446,1.67970214124059,1.74698341163878
29.6,1.74467980402746,1.71118693990623,1.77882822010556
29.8,1.77489452344242,1.74134341192457,1.80909207671115
30,1.80337092431005,1.76989510048049,1.83747991039921
30.2,1.82992859211452,1.79664808846667,1.86382557259508
30.4,1.85456326544909,1.82155642680026,1.88816819229413
30.6,1.87729674270563,1.8445864244621,1.9105871177605
30.8,1.89816209153465,1.86570604581979,1.93118274650605
31,1.91720297085948,1.88488869926294,1.95007123386635
31.2,1.93447290719473,1.90211866962894,1.96737747671676
31.4,1.95003453854513,1.91739785750174,1.98322673963637
31.6,1.96395883863914,1.93075261430757,1.99773616323813
31.8,1.97632433357504,1.94223881480907,2.01100803963943
32,1.98721632215686,1.95194348909065,2.02312655725825
32.2,1.99672611030265,1.95998246983969,2.03415858096446
32.4,2.00495026894887,1.96649494503327,2.04415759679979
32.6,2.01198992387912,1.97163664357552,2.05316911053648
32.8,2.01795008489807,1.97557328432786,2.06123588400597
33,2.02293902077675,1.97847524393529,2.06840206584613
