"value","fit","lo","hi"
0,1.88279919704586,1.71098210476761,2.0718701887756
0.2,1.87213627686221,1.71338437810937,2.04559717242837
0.4,1.86184501632021,1.71569670404022,2.02044269050198
0.6,1.85195808392398,1.71789748915284,1.99648044558393
0.8,1.84250757774149,1.71995848778794,1.97378843625519
1,1.83352510560656,1.72184331864983,1.95245076975163
1.2,1.82504187094282,1.7235059936752,1.93255947058931
1.4,1.81708876415579,1.72488990625858,1.91421583768387
1.6,1.80969645958685,1.72592819152542,1.89753043720007
1.8,1.80289551807295,1.72654705052124,1.88262013948952
2,1.79671649520973,1.72667428789574,1.86959995106712
2.2,1.79119005547204,1.72625515325923,1.85856755229054
2.4,1.78634709240642,1.72527521129093,1.84958081682585
2.6,1.78221885517361,1.72378470668326,1.84263384831154
2.8,1.77883708178777,1.7219135303571,1.83764242963292
3,1.77623413947116,1.71986683125243,1.8344488427196
3.2,1.77444317262126,1.71790118114896,1.83284615402402
3.4,1.77349825897029,1.71629223899063,1.83261102224668
3.6,1.77343457460718,1.71530706609708,1.83353188042784
3.8,1.77428856862875,1.71518783507691,1.83542575360296
4,1.77609600255858,1.71614361676375,1.8381427868218
4.2,1.77881916246541,1.71825695673612,1.8415159620623
4.4,1.78232839554241,1.7214602060444,1.84534879075493
4.6,1.78648837001725,1.7256522212371,1.84946923657591
4.8,1.79116327552381,1.73071220214415,1.85372581045567
5,1.79621637293476,1.73650408146029,1.85798196090948
5.2,1.80150964877094,1.74287935363829,1.86211226143674
5.4,1.80690357522192,1.74967882352951,1.86599991166589
5.6,1.81225697744822,1.75673362638543,1.86953520043179
5.8,1.81742701024113,1.76386576800984,1.87261468387178
6,1.82226924628607,1.7708883646352,1.87514090231432
6.2,1.82663787820342,1.77760572737171,1.87702249532064
6.4,1.83038603621988,1.78381343959525,1.87817457096238
6.6,1.83336622274749,1.78929862768375,1.87851913297588
6.8,1.83543086431321,1.79384074152373,1.87798525236527
7,1.83643298018723,1.79721334951687,1.87650847998984
7.2,1.83622696570782,1.7991876786812,1.8740287683962
7.4,1.83466948670153,1.79953874738763,1.87048605111729
7.6,1.83162047956618,1.79805462639267,1.86581293578206
7.8,1.82694424954137,1.79454823786198,1.85992508895098
8,1.82051065746873,1.78886920737189,1.85271178032427
8.2,1.81219638297971,1.78091173409106,1.84403059827154
8.4,1.80188624959143,1.7706150284698,1.83370975862134
8.6,1.78947459469823,1.75795601761375,1.82155827164385
8.8,1.77486666498324,1.7429375350077,1.80738070940379
9,1.75798001541658,1.72557637690909,1.79099214381914
9.2,1.73874588783436,1.70589414179349,1.77223028580333
9.4,1.71713114664673,1.68393043562777,1.75098644955906
9.6,1.69331408477494,1.65989927634112,1.72740155415788
9.8,1.6675851708316,1.63409594866417,1.70176072234357
10,1.64023105840541,1.60679565164733,1.67436221413687
10.2,1.61153074417164,1.57825549552174,1.64550755361182
