"value","lag","rr","lo","hi"
0,0,1.09354355130053,1.07294794143409,1.11149350576403
0.2,0,1.09354303661199,1.07315259621329,1.11149976353322
0.4,0,1.09354171235287,1.07323993897162,1.11150794274126
0.6,0,1.09353943602401,1.07343486488361,1.11149131230756
0.8,0,1.09353604913315,1.07369064402293,1.11137096165973
1,0,1.09353137596702,1.07392803384899,1.11133272462022
1.2,0,1.09352522230718,1.07420700995688,1.11132650418967
1.4,0,1.09351737408859,1.07435295313994,1.11144252989782
1.6,0,1.09350759600006,1.07483024468256,1.11134402120241
1.8,0,1.09349563002564,1.07511417001106,1.11114078443384
2,0,1.09348119392599,1.07540825873371,1.11099760892107
2.2,0,1.09346397965894,1.07565871303829,1.11089972923243
2.4,0,1.09344365173818,1.07593239413108,1.11082254213253
2.6,0,1.0934198455297,1.07602408254547,1.11080904386491
2.8,0,1.09339216548525,1.07600110904253,1.11079575546847
3,0,1.09336018331284,1.07607700308916,1.11077635541709
3.2,0,1.09332343608463,1.07627171368871,1.11074919511995
3.4,0,1.09328142428303,1.07633595086291,1.11068779389916
3.6,0,1.09323360978691,1.0766340826357,1.1106169718372
3.8,0,1.09317941380056,1.07681480647788,1.11054058131871
4,0,1.09311821472962,1.0769278800171,1.11043312136227
4.2,0,1.09304934600935,1.0770203215385,1.11018352989694
4.4,0,1.09297209389289,1.07711567898706,1.10971239082169
4.6,0,1.09288569520905,1.07726705910961,1.10950578400843
4.8,0,1.09278933510175,1.07736418472597,1.10934606093303
5,0,1.09268214476647,1.07724987421252,1.1091722530105
5.2,0,1.09256319920188,1.07712319563097,1.1089833234396
5.4,0,1.09243151499918,1.07698302866412,1.10877817689913
5.6,0,1.09228604819531,1.07697488959677,1.10846225635354
5.8,0,1.09212569222115,1.07693994441612,1.10811505798206
6,0,1.09194927598054,1.07674119067824,1.10775044721337
6.2,0,1.09175556210137,1.0765303674382,1.10751478477728
6.4,0,1.0915432454056,1.07638562126833,1.10727808737747
6.6,0,1.0913109516509,1.07621539369904,1.10702184531795
6.8,0,1.09105723660244,1.07593956746242,1.1066776445766
7,0,1.09078058549977,1.07564230204584,1.10629227189212
7.2,0,1.09047941298932,1.07541025239459,1.1058207206147
7.4,0,1.09015206359907,1.07543750534232,1.10534774501805
7.6,0,1.08979681283727,1.07538233892874,1.10490441605811
7.8,0,1.08941186900193,1.0750809186618,1.10449989512279
8,0,1.08899537579193,1.07455362631456,1.10406437838121
8.2,0,1.08854541581377,1.07423175524457,1.10347650418334
8.4,0,1.08806001508003,1.07389741164298,1.10298195204852
8.6,0,1.08753714859591,1.07339189730749,1.10242361611386
8.8,0,1.08697474712952,1.07281295420048,1.10175088319432
9,0,1.0863707052584,1.07218202979156,1.10103986879209
9.2,0,1.08572289077967,1.07145176539795,1.1002809569647
9.4,0,1.08502915556388,1.07066567582915,1.09938077392792
9.6,0,1.08428734792281,1.06983278594602,1.0984240742571
9.8,0,1.08349532654867,1.06921001287569,1.09733996917248
10,0,1.08265097606714,1.06838735593435,1.0963344108699
10.2,0,1.08175222422802,1.06764792884382,1.09537176135977
10.4,0,1.08079706073675,1.06676227698955,1.09422855577321
10.6,0,1.07978355770569,1.06562899733857,1.09296889134979
10.8,0,1.078709891678,1.06453189702023,1.09169136304028
11,0,1.07757436714748,1.06351266048992,1.09045303861752
11.2,0,1.07637544146732,1.06243309389384,1.0891919233404
11.4,0,1.07511175100707,1.06127324333202,1.08789616693696
11.6,0,1.07378213838391,1.05987036515864,1.08652419430218
11.8,0,1.07238568055876,1.0585324429762,1.08507426800616
12,0,1.0709217175538,1.05728496340722,1.0835465559491
12.2,0,1.06938988151314,1.05581571015175,1.08193809260185
12.4,0,1.06779012579664,1.05421911795356,1.08022107040578
12.6,0,1.06612275376625,1.05267787605868,1.07823062662787
12.8,0,1.06438844689741,1.05101852724878,1.07617693283559
13,0,1.06258829182558,1.04948108051531,1.07420504085465
13.2,0,1.06072380591965,1.04771872954654,1.072154713959
13.4,0,1.05879696096224,1.04588300590321,1.07002064968143
13.6,0,1.05681020451106,1.04396189440837,1.06764372654356
13.8,0,1.05476647851686,1.04208710615965,1.0654089746332
14,0,1.05266923478255,1.04019919757221,1.06274808090962
14.2,0,1.05052244686457,1.03832250313032,1.06017201014264
14.4,0,1.04833061804237,1.03642877433357,1.05773144610075
14.6,0,1.04609878501427,1.03453844636878,1.05523479937414
14.8,0,1.04383251701793,1.03263208374411,1.05264785597609
15,0,1.04153791012081,1.03058053065518,1.04993696261981
15.2,0,1.03922157647938,1.02858181254464,1.04718639365716
15.4,0,1.03689062842452,1.0264210093215,1.04461991459525
15.6,0,1.03455265729391,1.02455628334228,1.04196881502282
15.8,0,1.03221570699842,1.02257114385806,1.0393153998317
16,0,1.02988824237747,1.02065437521638,1.03671404704527
16.2,0,1.02757911246718,1.01872313867816,1.03409656117827
16.4,0,1.02529750887235,1.01676642230125,1.03142304869271
16.6,0,1.02305291949862,1.01489998301462,1.02882580443132
16.8,0,1.02085507796271,1.01318621815706,1.02637319242421
17,0,1.01871390905517,1.01154278252896,1.0238846011977
17.2,0,1.01663947068097,1.00985609143481,1.02140152909143
17.4,0,1.01464189274719,1.00825783305898,1.01904408714288
17.6,0,1.01273131350405,1.0069072342818,1.01681139477379
17.8,0,1.0109178138743,1.00556464401947,1.01464621692073
18,0,1.00921135032766,1.00430260063844,1.01258054605205
18.2,0,1.00762168687016,1.0031809832446,1.01063648367462
18.4,0,1.00615832672485,1.00221887448491,1.00881525104177
18.6,0,1.00483044427935,1.00135335454557,1.00711732940667
18.8,0,1.00364681786923,1.00066858520504,1.00558605775212
19,0,1.00261576395394,1.00008966154063,1.00425457666705
19.2,0,1.00174507322554,0.999731961925721,1.00302714179906
19.4,0,1.00104194917051,0.999526513289625,1.00198044113473
19.6,0,1.00051294958207,0.999501069350344,1.00114415514783
19.8,0,1.00016393149633,0.999656993974886,1.00047393522331
20,0,1,1,1
20.2,0,1.00002546133154,0.99972244551961,1.00053588419535
20.4,0,1.00024378067179,0.999647373882241,1.00127834663667
20.6,0,1.00065754499447,0.999753014301343,1.00222318424869
20.8,0,1.00126843132131,1.00005291258111,1.00335308859637
21,0,1.0020771807012,1.0005137522901,1.00469222720835
21.2,0,1.00308357820689,1.00120680108041,1.00624844221887
21.4,0,1.00428643921568,1.00212074523254,1.00803936068765
21.6,0,1.00568360221255,1.00325689047682,1.01007419460874
21.8,0,1.00727192832267,1.00451239601819,1.01229709929162
