"value","fit","lo","hi"
0,1.37301232880738,1.28900124498506,1.4676177630642
0.2,1.37226938642126,1.2906239377316,1.46449078148439
0.4,1.37146332100036,1.29167051492926,1.46120145266342
0.6,1.37059016894041,1.2930224107725,1.45783214940837
0.8,1.36964585622465,1.2943269440358,1.45457121502983
1,1.36862620826532,1.29532515313929,1.45095172410922
1.2,1.36752696093517,1.29630322327358,1.44690239029927
1.4,1.36634377275653,1.29783051337768,1.44191030247564
1.6,1.36507223819861,1.29925175644027,1.43720547799078
1.8,1.36370790201769,1.30014278086244,1.43236041267338
2,1.36224627455753,1.30174649190453,1.4280422438757
2.2,1.36068284791102,1.30270643276005,1.42404911303206
2.4,1.35901311282881,1.30322034801336,1.42008366308525
2.6,1.35723257624555,1.30386030454967,1.41565323759876
2.8,1.35533677928198,1.30409816999248,1.4110103790043
3,1.35332131557012,1.3045692177783,1.40653773118609
3.2,1.35118184974078,1.30496047447326,1.401554106277
3.4,1.34891413590733,1.30519281162904,1.39604172578172
3.6,1.3465140359785,1.30454268992588,1.39125235102527
3.8,1.34397753763499,1.30356496179713,1.38632122732752
4,1.34130077181171,1.3030318157131,1.38149144804822
4.2,1.33848002953891,1.30284953446313,1.37693072905328
4.4,1.3355117780114,1.30163945052151,1.37247442220889
4.6,1.33239267577689,1.29962498724403,1.36756596252912
4.8,1.32911958696004,1.29823679212862,1.36297530484221
5,1.32568959447048,1.29622724466093,1.35838111749708
5.2,1.32210001217838,1.29387112859734,1.35323875357104
5.4,1.31834839608086,1.29103228045462,1.34794155676741
5.6,1.31443255452596,1.28831033002464,1.34306306067579
5.8,1.31035055760648,1.2849638126687,1.33778505570243
6,1.30610074588374,1.28167151481654,1.33199096998999
6.2,1.30168173864937,1.2781486154887,1.32682549957114
6.4,1.29709244198059,1.27440059067914,1.32105450152196
6.6,1.29233205688917,1.27026044321763,1.3153346267189
6.8,1.28740008790594,1.2656977160178,1.309762776736
7,1.2822963524777,1.26060159430456,1.30458492147645
7.2,1.27702099158175,1.25560305653177,1.29923139084535
7.4,1.27157448198214,1.25057101620173,1.29335932144831
7.6,1.26595765055942,1.2452136005783,1.28722360679664
7.8,1.2601716911407,1.23932928600587,1.28134908827774
8,1.25421818423733,1.23316730746998,1.27561611256324
8.2,1.2480991200625,1.22681317683457,1.26972278636322
8.4,1.24181692514807,1.21987792873472,1.26353745044123
8.6,1.23537449281064,1.21366199754676,1.25724127217665
8.8,1.228775217628,1.20714638047622,1.25034888696425
9,1.22202303398091,1.20020987125007,1.24406057528846
9.2,1.21512245859142,1.19319691806859,1.23753081577197
9.4,1.20807863684908,1.18631326503361,1.23033419450361
9.6,1.20089739256274,1.17918001621187,1.22287682471386
9.8,1.19358528060995,1.17202321281254,1.21561345433508
10,1.18614964178352,1.16436965726837,1.20824474464427
10.2,1.17859865895731,1.15660631296682,1.20055925137975
10.4,1.17094141351741,1.14904439170925,1.19321993365552
10.6,1.16318794083508,1.14097729011101,1.18557657573921
10.8,1.15534928339948,1.13333792424826,1.17774621683683
11,1.14743754008757,1.1247967078416,1.16967593880176
